hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 222.857, -30.2619, 223.083, -150.291, 223.248, 89.7424, 5.3191E-005, -27.0872, 0.606217, 131.543, 0.519088, 11.5137, 0.605157, -108.452, 0.0555618, 47.4433
0, 120.00000, 222.857, -30.2619, 223.083, -150.291, 223.248, 89.7424, 5.3191E-005, -27.0876, 0.606218, 131.543, 0.519089, 11.5137, 0.605158, -108.452, 0.0555618, 47.443
0, 180.00000, 222.857, -30.2619, 223.083, -150.291, 223.248, 89.7424, 5.3191E-005, -27.0876, 0.606218, 131.543, 0.519089, 11.5137, 0.605158, -108.452, 0.0555618, 47.443
0, 240.00000, 222.857, -30.2619, 223.083, -150.291, 223.248, 89.7424, 5.3191E-005, -27.0876, 0.606218, 131.543, 0.519089, 11.5137, 0.605158, -108.452, 0.0555618, 47.443
0, 300.00000, 222.857, -30.2619, 223.083, -150.291, 223.248, 89.7424, 5.3191E-005, -27.0876, 0.606218, 131.543, 0.519089, 11.5137, 0.605158, -108.452, 0.0555618, 47.443
0, 360.00000, 222.761, -30.2888, 223.178, -150.289, 223.075, 89.7458, 0.000108226, -26.0562, 0.779759, 131.516, 0.605347, 11.5165, 0.77866, -108.449, 0.109307, 48.1837
0, 420.00000, 222.761, -30.2888, 223.178, -150.289, 223.075, 89.7458, 0.000108226, -26.0563, 0.77976, 131.516, 0.605347, 11.5165, 0.77866, -108.449, 0.109307, 48.1836
0, 480.00000, 222.761, -30.2888, 223.178, -150.289, 223.075, 89.7458, 0.000108226, -26.0563, 0.77976, 131.516, 0.605347, 11.5165, 0.77866, -108.449, 0.109307, 48.1836
0, 540.00000, 222.761, -30.2888, 223.178, -150.289, 223.075, 89.7458, 0.000108226, -26.0563, 0.77976, 131.516, 0.605347, 11.5165, 0.77866, -108.449, 0.109307, 48.1836
0, 600.00000, 222.761, -30.2888, 223.178, -150.289, 223.075, 89.7458, 0.000108226, -26.0563, 0.77976, 131.516, 0.605347, 11.5165, 0.77866, -108.449, 0.109307, 48.1836
