hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.116279, -0.0382339, -7.81575E-013, -1.76028E-013, -2.3027E-013, -4.96195E-014, -1.12158E-006, 1.46029E-005
0, 120.00000, -0.116279, -0.038234, -7.00851E-013, -1.56637E-013, -3.03432E-013, -4.28967E-014, -1.12236E-006, 1.46034E-005
0, 180.00000, -0.116279, -0.038234, 4.19466E-013, 3.53612E-013, 4.26921E-013, -2.33902E-013, -1.12236E-006, 1.46034E-005
0, 240.00000, -0.116279, -0.038234, -1.01009E-012, -4.04619E-013, -1.54265E-012, -3.33134E-013, -1.12236E-006, 1.46034E-005
0, 300.00000, -0.116279, -0.038234, 6.01322E-013, -4.6041E-013, -5.48477E-013, -3.75472E-013, -1.12236E-006, 1.46034E-005
0, 360.00000, -0.130817, -0.0430109, 4.54076E-013, 6.27223E-013, -8.84236E-013, -3.78968E-013, 1.91616E-006, 1.41201E-005
0, 420.00000, -0.130817, -0.0430109, 4.53097E-013, 3.69157E-013, -1.09694E-012, -2.07269E-013, 1.91395E-006, 1.41218E-005
0, 480.00000, -0.130817, -0.0430109, -2.18848E-013, 4.53312E-013, -2.84131E-013, -7.55044E-014, 1.91393E-006, 1.41218E-005
0, 540.00000, -0.130817, -0.0430109, -7.11552E-013, 6.28293E-013, 1.22234E-015, -2.39032E-013, 1.91393E-006, 1.41218E-005
0, 600.00000, -0.130817, -0.0430109, -4.2763E-013, 1.22213E-013, -1.02763E-012, -3.31562E-013, 1.91393E-006, 1.41218E-005
0, 660.00000, -0.101742, -0.0334521, 9.70263E-013, 2.0316E-014, -6.43562E-013, -2.48914E-013, -2.93019E-006, 1.0111E-005
0, 720.00000, -0.101742, -0.0334521, 7.98574E-013, 5.49858E-013, 5.04545E-013, -5.39584E-014, -2.92856E-006, 1.01091E-005
0, 780.00000, -0.101742, -0.0334521, 6.33186E-013, -3.86693E-013, -8.58578E-013, -6.5079E-014, -2.92855E-006, 1.01091E-005
0, 840.00000, -0.101742, -0.0334521, 2.29402E-014, 1.05225E-013, 1.03342E-013, -5.59934E-014, -2.92855E-006, 1.01091E-005
0, 900.00000, -0.101742, -0.0334521, -8.87778E-013, -1.70758E-013, -6.59927E-013, -5.40408E-013, -2.92855E-006, 1.01091E-005
0, 960.00000, -0.101749, -0.0334522, 1.21343E-013, 5.80241E-013, -4.13806E-013, -3.89968E-014, 3.9949E-006, 1.01625E-005
0, 1020.00000, -0.101749, -0.0334521, -6.89795E-013, -3.33974E-013, 8.29995E-014, -1.29831E-013, 3.99637E-006, 1.01628E-005
