hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.179084, -0.0588564, -0.156186, -0.0513306, -0.183168, -0.060198, 3.5554E-009, -4.57431E-009
0, 120.00000, -0.179086, -0.0588571, -0.156188, -0.0513311, -0.183168, -0.0601982, 3.55543E-009, -4.57413E-009
0, 180.00000, -0.179086, -0.0588571, -0.156188, -0.0513311, -0.183168, -0.0601982, 3.55543E-009, -4.57413E-009
0, 240.00000, -0.179086, -0.0588571, -0.156188, -0.0513311, -0.183168, -0.0601982, 3.55543E-009, -4.57413E-009
0, 300.00000, -0.179086, -0.0588571, -0.156188, -0.0513311, -0.183168, -0.0601982, 3.55543E-009, -4.57413E-009
0, 360.00000, -0.187251, -0.0615406, -0.179084, -0.0588554, -0.192577, -0.0632922, -6.82181E-010, -1.02767E-009
0, 420.00000, -0.187251, -0.0615406, -0.179087, -0.0588563, -0.192575, -0.0632915, -6.81652E-010, -1.02688E-009
0, 480.00000, -0.187251, -0.0615406, -0.179087, -0.0588563, -0.192575, -0.0632915, -6.81648E-010, -1.02688E-009
0, 540.00000, -0.187251, -0.0615406, -0.179087, -0.0588563, -0.192575, -0.0632915, -6.81648E-010, -1.02688E-009
0, 600.00000, -0.187251, -0.0615406, -0.179087, -0.0588563, -0.192575, -0.0632915, -6.81648E-010, -1.02688E-009
0, 660.00000, -0.206068, -0.067725, -0.160272, -0.0526754, -0.141456, -0.0464888, 6.41222E-009, -1.33757E-008
0, 720.00000, -0.206068, -0.0677251, -0.16027, -0.0526747, -0.141458, -0.0464892, 6.41246E-009, -1.33755E-008
0, 780.00000, -0.206068, -0.0677251, -0.16027, -0.0526747, -0.141458, -0.0464892, 6.41246E-009, -1.33755E-008
0, 840.00000, -0.206068, -0.0677251, -0.16027, -0.0526747, -0.141458, -0.0464892, 6.41246E-009, -1.33755E-008
0, 900.00000, -0.206068, -0.0677251, -0.16027, -0.0526747, -0.141458, -0.0464892, 6.41246E-009, -1.33755E-008
0, 960.00000, -0.14146, -0.046491, -0.173759, -0.0571056, -0.196658, -0.0646342, 1.61125E-009, -1.05157E-008
0, 1020.00000, -0.141458, -0.0464901, -0.173763, -0.0571067, -0.196658, -0.0646343, 1.61165E-009, -1.0517E-008
0, 1080.00000, -0.141457, -0.0464901, -0.173763, -0.0571067, -0.196658, -0.0646343, 1.61165E-009, -1.0517E-008
0, 1140.00000, -0.141457, -0.0464901, -0.173763, -0.0571067, -0.196658, -0.0646343, 1.61165E-009, -1.0517E-008
0, 1200.00000, -0.141457, -0.0464901, -0.173763, -0.0571067, -0.196658, -0.0646343, 1.61165E-009, -1.0517E-008
0, 1260.00000, -0.160266, -0.0526713, -0.196663, -0.0646338, -0.183169, -0.0601999, 4.38245E-009, -1.82496E-009
0, 1320.00000, -0.160271, -0.0526731, -0.196659, -0.0646328, -0.183168, -0.0601994, 4.38076E-009, -1.82266E-009
0, 1380.00000, -0.160271, -0.0526731, -0.196659, -0.0646327, -0.183168, -0.0601994, 4.38075E-009, -1.82265E-009
0, 1440.00000, -0.160271, -0.0526731, -0.196659, -0.0646327, -0.183168, -0.0601994, 4.38075E-009, -1.82265E-009
0, 1500.00000, -0.160271, -0.0526731, -0.196659, -0.0646327, -0.183168, -0.0601994, 4.38075E-009, -1.82265E-009
0, 1560.00000, -0.19666, -0.0646337, -0.210151, -0.0690668, -0.18849, -0.061948, 2.21378E-009, -2.19508E-009
0, 1620.00000, -0.196657, -0.0646331, -0.210149, -0.0690657, -0.188493, -0.061949, 2.21366E-009, -2.19299E-009
0, 1680.00000, -0.196657, -0.0646331, -0.210149, -0.0690657, -0.188493, -0.061949, 2.21367E-009, -2.19298E-009
0, 1740.00000, -0.196657, -0.0646331, -0.210149, -0.0690657, -0.188493, -0.061949, 2.21367E-009, -2.19298E-009
0, 1800.00000, -0.196657, -0.0646331, -0.210149, -0.0690657, -0.188493, -0.061949, 2.21367E-009, -2.19298E-009
0, 1860.00000, -0.192577, -0.0632891, -0.211391, -0.0694755, -0.196655, -0.0646321, -1.49796E-009, 2.53684E-011
0, 1920.00000, -0.192577, -0.0632891, -0.211391, -0.0694756, -0.196656, -0.0646324, -1.49809E-009, 2.525E-011
0, 1980.00000, -0.192577, -0.0632891, -0.211391, -0.0694756, -0.196656, -0.0646324, -1.49809E-009, 2.52493E-011
0, 2040.00000, -0.192577, -0.0632891, -0.211391, -0.0694756, -0.196656, -0.0646324, -1.49809E-009, 2.52493E-011
0, 2100.00000, -0.192577, -0.0632891, -0.211391, -0.0694756, -0.196656, -0.0646324, -1.49809E-009, 2.52493E-011
0, 2160.00000, -0.169678, -0.0557663, -0.150864, -0.0495813, -0.18317, -0.0601987, 3.25359E-009, -1.65458E-009
0, 2220.00000, -0.169678, -0.0557662, -0.150864, -0.0495813, -0.183169, -0.0601986, 3.25354E-009, -1.6545E-009
0, 2280.00000, -0.169678, -0.0557662, -0.150864, -0.0495813, -0.183169, -0.0601986, 3.25354E-009, -1.65451E-009
0, 2340.00000, -0.169678, -0.0557662, -0.150864, -0.0495813, -0.183169, -0.0601986, 3.25354E-009, -1.65451E-009
0, 2400.00000, -0.169678, -0.0557662, -0.150864, -0.0495813, -0.183169, -0.0601986, 3.25354E-009, -1.65451E-009
0, 2460.00000, -0.188494, -0.0619513, -0.13737, -0.0451459, -0.23305, -0.0765916, 2.86889E-008, -3.76977E-008
0, 2520.00000, -0.188493, -0.0619509, -0.137373, -0.045147, -0.233048, -0.0765911, 2.86868E-008, -3.76928E-008
0, 2580.00000, -0.188493, -0.0619509, -0.137373, -0.045147, -0.233048, -0.076591, 2.86868E-008, -3.76927E-008
0, 2640.00000, -0.188493, -0.0619509, -0.137373, -0.045147, -0.233048, -0.076591, 2.86868E-008, -3.76927E-008
0, 2700.00000, -0.188493, -0.0619509, -0.137373, -0.045147, -0.233048, -0.076591, 2.86868E-008, -3.76927E-008
0, 2760.00000, -0.160269, -0.0526729, -0.160273, -0.0526735, -0.21015, -0.0690679, 7.88832E-009, -1.31596E-008
0, 2820.00000, -0.160271, -0.0526737, -0.160271, -0.0526729, -0.210148, -0.0690671, 7.88816E-009, -1.31582E-008
0, 2880.00000, -0.160271, -0.0526737, -0.160271, -0.0526729, -0.210148, -0.0690671, 7.88817E-009, -1.31582E-008
0, 2940.00000, -0.160271, -0.0526737, -0.160271, -0.0526729, -0.210148, -0.0690671, 7.88817E-009, -1.31582E-008
0, 3000.00000, -0.160271, -0.0526737, -0.160271, -0.0526729, -0.210148, -0.0690671, 7.88817E-009, -1.31582E-008
0, 3060.00000, -0.173762, -0.057107, -0.183172, -0.0602006, -0.173755, -0.0571057, 5.54148E-011, -1.27436E-010
