hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.102599, -0.0337227, -0.102599, -0.0337227, -0.1368, -0.0449639, 3.16904E-009, -9.45514E-009
0, 120.00000, -0.1026, -0.033723, -0.1026, -0.033723, -0.1368, -0.0449639, 3.16891E-009, -9.45477E-009
0, 180.00000, -0.1026, -0.033723, -0.1026, -0.033723, -0.1368, -0.0449639, 3.16891E-009, -9.45476E-009
0, 240.00000, -0.1026, -0.033723, -0.1026, -0.033723, -0.1368, -0.0449639, 3.16891E-009, -9.45476E-009
0, 300.00000, -0.1026, -0.033723, -0.1026, -0.033723, -0.1368, -0.0449639, 3.16891E-009, -9.45476E-009
0, 360.00000, -0.1197, -0.0393435, -0.170998, -0.056204, -0.119702, -0.0393441, 8.97245E-009, -1.92966E-008
0, 420.00000, -0.1197, -0.0393434, -0.171, -0.0562049, -0.1197, -0.0393436, 8.97333E-009, -1.92988E-008
0, 480.00000, -0.1197, -0.0393434, -0.171, -0.0562049, -0.1197, -0.0393436, 8.97333E-009, -1.92988E-008
0, 540.00000, -0.1197, -0.0393434, -0.171, -0.0562049, -0.1197, -0.0393436, 8.97333E-009, -1.92988E-008
0, 600.00000, -0.1197, -0.0393434, -0.171, -0.0562049, -0.1197, -0.0393436, 8.97333E-009, -1.92988E-008
0, 660.00000, -0.1368, -0.044964, -0.0855011, -0.0281029, -0.136799, -0.0449635, 5.02583E-009, -2.42944E-008
0, 720.00000, -0.1368, -0.044964, -0.0854999, -0.0281025, -0.1368, -0.0449639, 5.02621E-009, -2.42958E-008
0, 780.00000, -0.1368, -0.044964, -0.0854999, -0.0281025, -0.1368, -0.0449639, 5.02621E-009, -2.42958E-008
0, 840.00000, -0.1368, -0.044964, -0.0854999, -0.0281025, -0.1368, -0.0449639, 5.02621E-009, -2.42958E-008
0, 900.00000, -0.1368, -0.044964, -0.0854999, -0.0281025, -0.1368, -0.0449639, 5.02621E-009, -2.42958E-008
0, 960.00000, -0.136802, -0.0449648, -0.136798, -0.0449633, -0.1197, -0.0393435, 1.06069E-009, -1.7195E-009
0, 1020.00000, -0.1368, -0.044964, -0.1368, -0.044964, -0.1197, -0.0393435, 1.06089E-009, -1.71925E-009
0, 1080.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1197, -0.0393435, 1.06089E-009, -1.71925E-009
0, 1140.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1197, -0.0393435, 1.06089E-009, -1.71925E-009
0, 1200.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1197, -0.0393435, 1.06089E-009, -1.71925E-009
0, 1260.00000, -0.136796, -0.0449626, -0.136803, -0.0449646, -0.102601, -0.0337231, 4.13255E-009, -8.16059E-009
0, 1320.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 4.13261E-009, -8.1617E-009
0, 1380.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 4.13261E-009, -8.16171E-009
0, 1440.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 4.13261E-009, -8.16171E-009
0, 1500.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 4.13261E-009, -8.16171E-009
0, 1560.00000, -0.136801, -0.0449642, -0.136802, -0.0449647, -0.102598, -0.0337224, 2.1852E-009, -1.08494E-008
0, 1620.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 2.18467E-009, -1.08476E-008
0, 1680.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 2.18467E-009, -1.08475E-008
0, 1740.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 2.18467E-009, -1.08475E-008
0, 1800.00000, -0.1368, -0.0449639, -0.1368, -0.044964, -0.1026, -0.033723, 2.18467E-009, -1.08475E-008
0, 1860.00000, -0.1368, -0.044964, -0.1026, -0.033723, -0.119699, -0.0393433, 1.32053E-009, -8.69607E-009
0, 1920.00000, -0.1368, -0.044964, -0.1026, -0.033723, -0.1197, -0.0393434, 1.32049E-009, -8.69597E-009
0, 1980.00000, -0.1368, -0.044964, -0.1026, -0.033723, -0.1197, -0.0393434, 1.32049E-009, -8.69597E-009
0, 2040.00000, -0.1368, -0.044964, -0.1026, -0.033723, -0.1197, -0.0393434, 1.32049E-009, -8.69597E-009
0, 2100.00000, -0.1368, -0.044964, -0.1026, -0.033723, -0.1197, -0.0393434, 1.32049E-009, -8.69597E-009
0, 2160.00000, -0.0855001, -0.0281026, -0.1368, -0.0449639, -0.1368, -0.0449641, 9.11454E-009, -1.85627E-008
0, 2220.00000, -0.0854999, -0.0281025, -0.1368, -0.0449639, -0.1368, -0.044964, 9.11457E-009, -1.85627E-008
0, 2280.00000, -0.0854999, -0.0281025, -0.1368, -0.0449639, -0.1368, -0.044964, 9.11457E-009, -1.85627E-008
0, 2340.00000, -0.0854999, -0.0281025, -0.1368, -0.0449639, -0.1368, -0.044964, 9.11457E-009, -1.85627E-008
0, 2400.00000, -0.0854999, -0.0281025, -0.1368, -0.0449639, -0.1368, -0.044964, 9.11457E-009, -1.85627E-008
0, 2460.00000, -0.1026, -0.0337232, -0.119698, -0.0393426, -0.119701, -0.039344, 1.20944E-009, -1.71971E-009
0, 2520.00000, -0.1026, -0.033723, -0.1197, -0.0393435, -0.1197, -0.0393435, 1.20959E-009, -1.71994E-009
0, 2580.00000, -0.1026, -0.033723, -0.1197, -0.0393435, -0.1197, -0.0393435, 1.20959E-009, -1.71994E-009
0, 2640.00000, -0.1026, -0.033723, -0.1197, -0.0393435, -0.1197, -0.0393435, 1.20959E-009, -1.71994E-009
0, 2700.00000, -0.1026, -0.033723, -0.1197, -0.0393435, -0.1197, -0.0393435, 1.20959E-009, -1.71994E-009
0, 2760.00000, -0.119699, -0.039343, -0.119701, -0.0393438, -0.119701, -0.0393439, -7.91665E-011, -8.5084E-013
0, 2820.00000, -0.1197, -0.0393435, -0.1197, -0.0393435, -0.1197, -0.0393435, -7.92231E-011, -9.46632E-013
