hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0445545, -0.0146442, -0.0509199, -0.0167365, -0.0445547, -0.0146446, 2.53215E-008, 4.83841E-009
0, 120.00000, -0.0445549, -0.0146443, -0.0509202, -0.0167366, -0.0445549, -0.0146447, 2.53217E-008, 4.83845E-009
0, 180.00000, -0.0445549, -0.0146443, -0.0509202, -0.0167366, -0.0445549, -0.0146447, 2.53217E-008, 4.83845E-009
0, 240.00000, -0.0445549, -0.0146443, -0.0509202, -0.0167366, -0.0445549, -0.0146447, 2.53217E-008, 4.83845E-009
0, 300.00000, -0.0445549, -0.0146443, -0.0509202, -0.0167366, -0.0445549, -0.0146447, 2.53217E-008, 4.83845E-009
0, 360.00000, -0.038189, -0.0125519, -0.0572859, -0.0188286, -0.0445552, -0.0146451, 1.78289E-007, 1.99076E-008
0, 420.00000, -0.0381897, -0.0125521, -0.0572856, -0.0188285, -0.0445549, -0.014645, 1.78274E-007, 1.99063E-008
0, 480.00000, -0.0381897, -0.0125521, -0.0572856, -0.0188285, -0.0445549, -0.014645, 1.78274E-007, 1.99063E-008
0, 540.00000, -0.0381897, -0.0125521, -0.0572856, -0.0188285, -0.0445549, -0.014645, 1.78274E-007, 1.99063E-008
0, 600.00000, -0.0381897, -0.0125521, -0.0572856, -0.0188285, -0.0445549, -0.014645, 1.78274E-007, 1.99063E-008
0, 660.00000, -0.0445555, -0.014645, -0.0445548, -0.0146442, -0.0572847, -0.0188284, 9.60793E-008, 2.10325E-009
0, 720.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.60969E-008, 2.10419E-009
0, 780.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.6097E-008, 2.1042E-009
0, 840.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.6097E-008, 2.1042E-009
0, 900.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.6097E-008, 2.1042E-009
0, 960.00000, -0.0445549, -0.0146448, -0.0445549, -0.0146442, -0.0572853, -0.0188286, 9.84339E-008, 3.37636E-009
0, 1020.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.84373E-008, 3.37652E-009
0, 1080.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.84373E-008, 3.37652E-009
0, 1140.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.84373E-008, 3.37652E-009
0, 1200.00000, -0.0445548, -0.0146448, -0.0445548, -0.0146442, -0.0572854, -0.0188287, 9.84373E-008, 3.37652E-009
0, 1260.00000, -0.0381894, -0.012552, -0.0509198, -0.0167364, -0.0381909, -0.012553, 1.03755E-007, 1.34048E-008
0, 1320.00000, -0.0381899, -0.0125522, -0.0509204, -0.0167367, -0.0381898, -0.0125527, 1.03771E-007, 1.34062E-008
0, 1380.00000, -0.0381899, -0.0125522, -0.0509204, -0.0167367, -0.0381898, -0.0125527, 1.03771E-007, 1.34062E-008
0, 1440.00000, -0.0381899, -0.0125522, -0.0509204, -0.0167367, -0.0381898, -0.0125527, 1.03771E-007, 1.34062E-008
0, 1500.00000, -0.0381899, -0.0125522, -0.0509204, -0.0167367, -0.0381898, -0.0125527, 1.03771E-007, 1.34062E-008
0, 1560.00000, -0.0509202, -0.0167367, -0.0509194, -0.0167364, -0.0509204, -0.0167367, 7.95613E-011, 2.42904E-011
0, 1620.00000, -0.05092, -0.0167366, -0.05092, -0.0167366, -0.05092, -0.0167366, 7.98772E-011, 2.48022E-011
0, 1680.00000, -0.05092, -0.0167366, -0.05092, -0.0167366, -0.05092, -0.0167366, 7.98807E-011, 2.48054E-011
0, 1740.00000, -0.05092, -0.0167366, -0.05092, -0.0167366, -0.05092, -0.0167366, 7.98808E-011, 2.48054E-011
0, 1800.00000, -0.05092, -0.0167366, -0.05092, -0.0167366, -0.05092, -0.0167366, 7.98808E-011, 2.48054E-011
0, 1860.00000, -0.0636502, -0.020921, -0.044555, -0.0146448, -0.0572844, -0.0188278, 1.85929E-007, 1.67936E-009
0, 1920.00000, -0.0636505, -0.0209212, -0.0445545, -0.0146447, -0.0572851, -0.018828, 1.85946E-007, 1.67981E-009
0, 1980.00000, -0.0636505, -0.0209212, -0.0445545, -0.0146447, -0.0572851, -0.0188281, 1.85946E-007, 1.67981E-009
0, 2040.00000, -0.0636505, -0.0209212, -0.0445545, -0.0146447, -0.0572851, -0.0188281, 1.85946E-007, 1.67981E-009
0, 2100.00000, -0.0636505, -0.0209212, -0.0445545, -0.0146447, -0.0572851, -0.0188281, 1.85946E-007, 1.67981E-009
0, 2160.00000, -0.0572857, -0.0188292, -0.05092, -0.0167366, -0.0636498, -0.0209203, 7.45036E-008, -5.99615E-010
0, 2220.00000, -0.057285, -0.0188291, -0.0509197, -0.0167364, -0.0636504, -0.0209205, 7.45147E-008, -5.99159E-010
0, 2280.00000, -0.057285, -0.0188291, -0.0509197, -0.0167364, -0.0636504, -0.0209205, 7.45147E-008, -5.99156E-010
0, 2340.00000, -0.057285, -0.0188291, -0.0509197, -0.0167364, -0.0636504, -0.0209205, 7.45147E-008, -5.99156E-010
0, 2400.00000, -0.057285, -0.0188291, -0.0509197, -0.0167364, -0.0636504, -0.0209205, 7.45147E-008, -5.99156E-010
0, 2460.00000, -0.0318246, -0.0104605, -0.044556, -0.0146444, -0.0509192, -0.0167366, 1.71501E-007, 1.12829E-008
0, 2520.00000, -0.0318247, -0.0104605, -0.0445551, -0.0146441, -0.0509204, -0.016737, 1.71515E-007, 1.12829E-008
0, 2580.00000, -0.0318247, -0.0104605, -0.0445551, -0.0146441, -0.0509204, -0.016737, 1.71515E-007, 1.1283E-008
0, 2640.00000, -0.0318247, -0.0104605, -0.0445551, -0.0146441, -0.0509204, -0.016737, 1.71515E-007, 1.1283E-008
0, 2700.00000, -0.0318247, -0.0104605, -0.0445551, -0.0146441, -0.0509204, -0.016737, 1.71515E-007, 1.1283E-008
0, 2760.00000, -0.0572848, -0.0188287, -0.0445552, -0.0146449, -0.05092, -0.0167363, 8.35684E-008, -9.40904E-010
0, 2820.00000, -0.0572854, -0.0188289, -0.0445547, -0.0146447, -0.05092, -0.0167362, 8.35817E-008, -9.4056E-010
0, 2880.00000, -0.0572854, -0.0188289, -0.0445547, -0.0146447, -0.05092, -0.0167362, 8.35818E-008, -9.40558E-010
0, 2940.00000, -0.0572854, -0.0188289, -0.0445547, -0.0146447, -0.05092, -0.0167362, 8.35818E-008, -9.40558E-010
0, 3000.00000, -0.0572854, -0.0188289, -0.0445547, -0.0146447, -0.05092, -0.0167362, 8.35818E-008, -9.40558E-010
0, 3060.00000, -0.0572868, -0.0188294, -0.0381883, -0.0125522, -0.0445551, -0.0146441, 1.85633E-007, 3.99048E-009
0, 3120.00000, -0.0572856, -0.0188289, -0.0381897, -0.0125527, -0.0445549, -0.014644, 1.85586E-007, 3.98874E-009
0, 3180.00000, -0.0572856, -0.0188289, -0.0381897, -0.0125527, -0.0445549, -0.014644, 1.85586E-007, 3.98873E-009
0, 3240.00000, -0.0572856, -0.0188289, -0.0381897, -0.0125527, -0.0445549, -0.014644, 1.85586E-007, 3.98873E-009
0, 3300.00000, -0.0572856, -0.0188289, -0.0381897, -0.0125527, -0.0445549, -0.014644, 1.85586E-007, 3.98873E-009
0, 3360.00000, -0.0509199, -0.0167374, -0.0381885, -0.0125519, -0.0636521, -0.0209207, 3.05108E-007, 7.08395E-009
0, 3420.00000, -0.05092, -0.0167373, -0.0381895, -0.0125522, -0.0636508, -0.0209203, 3.05052E-007, 7.08158E-009
0, 3480.00000, -0.05092, -0.0167373, -0.0381895, -0.0125522, -0.0636508, -0.0209203, 3.05052E-007, 7.08156E-009
0, 3540.00000, -0.05092, -0.0167373, -0.0381895, -0.0125522, -0.0636508, -0.0209203, 3.05052E-007, 7.08156E-009
1, 0.00000, -0.05092, -0.0167373, -0.0381895, -0.0125522, -0.0636508, -0.0209203, 3.05052E-007, 7.08156E-009
1, 60.00000, -0.0509205, -0.0167363, -0.0572869, -0.0188295, -0.0445546, -0.0146446, 8.19401E-008, 1.03628E-008
1, 120.00000, -0.0509201, -0.0167362, -0.0572853, -0.0188289, -0.0445547, -0.0146446, 8.19193E-008, 1.03606E-008
1, 180.00000, -0.0509201, -0.0167362, -0.0572853, -0.0188289, -0.0445547, -0.0146446, 8.19192E-008, 1.03606E-008
1, 240.00000, -0.0509201, -0.0167362, -0.0572853, -0.0188289, -0.0445547, -0.0146446, 8.19192E-008, 1.03606E-008
1, 300.00000, -0.0509201, -0.0167362, -0.0572853, -0.0188289, -0.0445547, -0.0146446, 8.19192E-008, 1.03606E-008
1, 360.00000, -0.0318243, -0.0104602, -0.0445551, -0.0146442, -0.0445559, -0.0146451, 9.69079E-008, 9.5513E-009
1, 420.00000, -0.0318248, -0.0104603, -0.0445552, -0.0146442, -0.0445551, -0.0146448, 9.6895E-008, 9.55066E-009
1, 480.00000, -0.0318248, -0.0104603, -0.0445552, -0.0146442, -0.0445551, -0.0146448, 9.68949E-008, 9.55065E-009
1, 540.00000, -0.0318248, -0.0104603, -0.0445552, -0.0146442, -0.0445551, -0.0146448, 9.68949E-008, 9.55065E-009
1, 600.00000, -0.0318248, -0.0104603, -0.0445552, -0.0146442, -0.0445551, -0.0146448, 9.68949E-008, 9.55065E-009
1, 660.00000, -0.03819, -0.0125521, -0.0572858, -0.0188288, -0.0381894, -0.0125527, 2.31441E-007, 2.52425E-008
1, 720.00000, -0.0381898, -0.012552, -0.0572857, -0.0188287, -0.0381897, -0.0125528, 2.31436E-007, 2.5242E-008
1, 780.00000, -0.0381898, -0.012552, -0.0572857, -0.0188287, -0.0381897, -0.0125528, 2.31436E-007, 2.5242E-008
1, 840.00000, -0.0381898, -0.012552, -0.0572857, -0.0188287, -0.0381897, -0.0125528, 2.31436E-007, 2.5242E-008
1, 900.00000, -0.0381898, -0.012552, -0.0572857, -0.0188287, -0.0381897, -0.0125528, 2.31436E-007, 2.5242E-008
1, 960.00000, -0.0509194, -0.0167365, -0.0381901, -0.0125527, -0.0445552, -0.0146443, 8.12315E-008, 4.04585E-012
1, 1020.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.12475E-008, 4.63547E-012
1, 1080.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.12476E-008, 4.639E-012
1, 1140.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.12476E-008, 4.63902E-012
1, 1200.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.12476E-008, 4.63902E-012
1, 1260.00000, -0.0509213, -0.0167371, -0.0381897, -0.0125525, -0.0445544, -0.014644, 8.07163E-008, 1.36847E-010
1, 1320.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.07033E-008, 1.36184E-010
1, 1380.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.07032E-008, 1.3618E-010
1, 1440.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.07032E-008, 1.3618E-010
1, 1500.00000, -0.0509203, -0.0167368, -0.0381898, -0.0125526, -0.044555, -0.0146442, 8.07032E-008, 1.3618E-010
1, 1560.00000, -0.0381894, -0.0125526, -0.0381903, -0.0125523, -0.0509203, -0.0167366, 9.72387E-008, 2.45375E-009
1, 1620.00000, -0.0381898, -0.0125527, -0.0381899, -0.0125522, -0.0509204, -0.0167366, 9.724E-008, 2.45356E-009
1, 1680.00000, -0.0381898, -0.0125527, -0.0381899, -0.0125522, -0.0509204, -0.0167366, 9.724E-008, 2.45356E-009
1, 1740.00000, -0.0381898, -0.0125527, -0.0381899, -0.0125522, -0.0509204, -0.0167366, 9.724E-008, 2.45356E-009
1, 1800.00000, -0.0381898, -0.0125527, -0.0381899, -0.0125522, -0.0509204, -0.0167366, 9.724E-008, 2.45356E-009
1, 1860.00000, -0.0445547, -0.0146442, -0.044555, -0.0146447, -0.0381903, -0.0125526, 2.90938E-008, 3.09846E-009
1, 1920.00000, -0.0445551, -0.0146444, -0.0445551, -0.0146447, -0.0381898, -0.0125524, 2.91005E-008, 3.09883E-009
1, 1980.00000, -0.0445551, -0.0146444, -0.0445551, -0.0146447, -0.0381898, -0.0125524, 2.91005E-008, 3.09884E-009
1, 2040.00000, -0.0445551, -0.0146444, -0.0445551, -0.0146447, -0.0381898, -0.0125524, 2.91005E-008, 3.09884E-009
1, 2100.00000, -0.0445551, -0.0146444, -0.0445551, -0.0146447, -0.0381898, -0.0125524, 2.91005E-008, 3.09884E-009
1, 2160.00000, -0.0445553, -0.0146446, -0.0509201, -0.0167365, -0.0509196, -0.0167366, 2.17646E-008, 3.51498E-009
1, 2220.00000, -0.0445548, -0.0146445, -0.0509201, -0.0167365, -0.0509201, -0.0167368, 2.17693E-008, 3.51529E-009
1, 2280.00000, -0.0445548, -0.0146445, -0.0509201, -0.0167365, -0.0509201, -0.0167368, 2.17693E-008, 3.51529E-009
1, 2340.00000, -0.0445548, -0.0146445, -0.0509201, -0.0167365, -0.0509201, -0.0167368, 2.17693E-008, 3.51529E-009
1, 2400.00000, -0.0445548, -0.0146445, -0.0509201, -0.0167365, -0.0509201, -0.0167368, 2.17693E-008, 3.51529E-009
1, 2460.00000, -0.0445592, -0.0146454, -0.057288, -0.0188301, -0.0381861, -0.0125516, 1.83803E-007, 2.05059E-008
1, 2520.00000, -0.044555, -0.014644, -0.0572856, -0.0188289, -0.0381896, -0.0125527, 1.8371E-007, 2.05001E-008
1, 2580.00000, -0.044555, -0.014644, -0.0572856, -0.0188289, -0.0381897, -0.0125527, 1.8371E-007, 2.05E-008
1, 2640.00000, -0.044555, -0.014644, -0.0572856, -0.0188289, -0.0381897, -0.0125527, 1.8371E-007, 2.05E-008
1, 2700.00000, -0.044555, -0.014644, -0.0572856, -0.0188289, -0.0381897, -0.0125527, 1.8371E-007, 2.05E-008
1, 2760.00000, -0.0445528, -0.0146441, -0.0318209, -0.0104593, -0.0445554, -0.0146442, 1.03723E-007, 5.90569E-010
1, 2820.00000, -0.0445552, -0.0146448, -0.0318247, -0.0104604, -0.0445552, -0.0146442, 1.03681E-007, 5.88953E-010
1, 2880.00000, -0.0445552, -0.0146448, -0.0318247, -0.0104604, -0.0445552, -0.0146442, 1.03681E-007, 5.88946E-010
