hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0360988, -0.0118652, -0.0577601, -0.0189838, -0.05776, -0.0189856, 3.63644E-007, 4.87671E-008
0, 120.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.63641E-007, 4.87673E-008
0, 180.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.63641E-007, 4.87673E-008
0, 240.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.63641E-007, 4.87673E-008
0, 300.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.63641E-007, 4.87673E-008
0, 360.00000, -0.0577588, -0.018984, -0.0577607, -0.0189853, -0.0505404, -0.0166119, 5.09274E-008, 7.51583E-009
0, 420.00000, -0.0577602, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.09438E-008, 7.51638E-009
0, 480.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.09438E-008, 7.51638E-009
0, 540.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.09438E-008, 7.51638E-009
0, 600.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.09438E-008, 7.51638E-009
0, 660.00000, -0.0433206, -0.0142393, -0.0505398, -0.0166109, -0.0649794, -0.0213577, 2.89888E-007, 2.12151E-008
0, 720.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89959E-007, 2.12203E-008
0, 780.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89959E-007, 2.12203E-008
0, 840.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89959E-007, 2.12203E-008
0, 900.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89959E-007, 2.12203E-008
0, 960.00000, -0.05054, -0.0166114, -0.0577604, -0.0189849, -0.0505395, -0.0166118, 4.46269E-008, 1.39332E-008
0, 1020.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.46247E-008, 1.39329E-008
