hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.140602, -0.0462085, -0.12654, -0.0415963, -0.0843563, -0.0277266, 2.04177E-006, 1.06226E-007
0, 120.00000, -0.140604, -0.0462091, -0.126541, -0.0415966, -0.0843568, -0.0277268, 2.04185E-006, 1.06229E-007
0, 180.00000, -0.140604, -0.0462091, -0.126541, -0.0415966, -0.0843568, -0.0277268, 2.04185E-006, 1.06229E-007
0, 240.00000, -0.140604, -0.0462091, -0.126541, -0.0415966, -0.0843568, -0.0277268, 2.04185E-006, 1.06229E-007
0, 300.00000, -0.140604, -0.0462091, -0.126541, -0.0415966, -0.0843568, -0.0277268, 2.04185E-006, 1.06229E-007
0, 360.00000, -0.112478, -0.0369672, -0.112482, -0.0369731, -0.0843589, -0.0277279, 6.59723E-007, 5.63714E-008
0, 420.00000, -0.112482, -0.0369682, -0.112481, -0.0369728, -0.084358, -0.0277276, 6.59814E-007, 5.63673E-008
0, 480.00000, -0.112482, -0.0369682, -0.112481, -0.0369728, -0.084358, -0.0277276, 6.59814E-007, 5.63673E-008
0, 540.00000, -0.112482, -0.0369682, -0.112481, -0.0369728, -0.084358, -0.0277276, 6.59814E-007, 5.63673E-008
0, 600.00000, -0.112482, -0.0369682, -0.112481, -0.0369728, -0.084358, -0.0277276, 6.59814E-007, 5.63673E-008
0, 660.00000, -0.126546, -0.0415951, -0.0843576, -0.0277283, -0.112479, -0.0369664, 1.08013E-006, 1.79185E-008
0, 720.00000, -0.126543, -0.0415941, -0.0843577, -0.0277286, -0.112481, -0.0369672, 1.08001E-006, 1.79062E-008
0, 780.00000, -0.126543, -0.0415941, -0.0843577, -0.0277286, -0.112481, -0.0369672, 1.08001E-006, 1.79061E-008
0, 840.00000, -0.126543, -0.0415941, -0.0843577, -0.0277286, -0.112481, -0.0369672, 1.08001E-006, 1.79061E-008
0, 900.00000, -0.126543, -0.0415941, -0.0843577, -0.0277286, -0.112481, -0.0369672, 1.08001E-006, 1.79061E-008
0, 960.00000, -0.112482, -0.0369715, -0.0843587, -0.0277287, -0.0984195, -0.0323471, 4.7525E-007, -2.55511E-008
0, 1020.00000, -0.112482, -0.0369714, -0.0843586, -0.0277287, -0.0984199, -0.0323472, 4.75244E-007, -2.55522E-008
0, 1080.00000, -0.112482, -0.0369714, -0.0843586, -0.0277287, -0.0984199, -0.0323472, 4.75244E-007, -2.55522E-008
0, 1140.00000, -0.112482, -0.0369714, -0.0843586, -0.0277287, -0.0984199, -0.0323472, 4.75244E-007, -2.55522E-008
0, 1200.00000, -0.112482, -0.0369714, -0.0843586, -0.0277287, -0.0984199, -0.0323472, 4.75244E-007, -2.55522E-008
0, 1260.00000, -0.12654, -0.0415921, -0.0984167, -0.0323496, -0.112483, -0.0369695, 4.43587E-007, -6.24964E-009
0, 1320.00000, -0.126542, -0.0415928, -0.0984185, -0.03235, -0.11248, -0.0369684, 4.43604E-007, -6.24672E-009
0, 1380.00000, -0.126542, -0.0415928, -0.0984185, -0.03235, -0.11248, -0.0369684, 4.43605E-007, -6.24668E-009
0, 1440.00000, -0.126542, -0.0415928, -0.0984185, -0.03235, -0.11248, -0.0369684, 4.43605E-007, -6.24668E-009
0, 1500.00000, -0.126542, -0.0415928, -0.0984185, -0.03235, -0.11248, -0.0369684, 4.43605E-007, -6.24668E-009
0, 1560.00000, -0.112482, -0.0369705, -0.0984176, -0.0323495, -0.0984206, -0.0323484, 1.6256E-007, 7.78068E-010
0, 1620.00000, -0.112481, -0.0369704, -0.0984194, -0.0323501, -0.0984194, -0.0323481, 1.62545E-007, 7.80868E-010
0, 1680.00000, -0.112481, -0.0369704, -0.0984195, -0.0323501, -0.0984194, -0.0323481, 1.62545E-007, 7.80893E-010
0, 1740.00000, -0.112481, -0.0369704, -0.0984195, -0.0323501, -0.0984194, -0.0323481, 1.62545E-007, 7.80893E-010
0, 1800.00000, -0.112481, -0.0369704, -0.0984195, -0.0323501, -0.0984194, -0.0323481, 1.62545E-007, 7.80893E-010
0, 1860.00000, -0.112478, -0.0369658, -0.154668, -0.0508371, -0.0984153, -0.032351, 1.9669E-006, 2.17186E-007
0, 1920.00000, -0.112479, -0.0369661, -0.154666, -0.0508364, -0.098417, -0.0323515, 1.96664E-006, 2.17163E-007
0, 1980.00000, -0.112479, -0.0369661, -0.154666, -0.0508364, -0.0984171, -0.0323515, 1.96664E-006, 2.17163E-007
0, 2040.00000, -0.112479, -0.0369661, -0.154666, -0.0508364, -0.0984171, -0.0323515, 1.96664E-006, 2.17163E-007
0, 2100.00000, -0.112479, -0.0369661, -0.154666, -0.0508364, -0.0984171, -0.0323515, 1.96664E-006, 2.17163E-007
0, 2160.00000, -0.140606, -0.046215, -0.0984189, -0.0323512, -0.112478, -0.0369667, 1.08211E-006, -4.32058E-009
0, 2220.00000, -0.140604, -0.0462143, -0.0984179, -0.032351, -0.112479, -0.0369672, 1.08201E-006, -4.32912E-009
0, 2280.00000, -0.140604, -0.0462143, -0.0984179, -0.032351, -0.112479, -0.0369672, 1.082E-006, -4.32918E-009
0, 2340.00000, -0.140604, -0.0462143, -0.0984179, -0.032351, -0.112479, -0.0369672, 1.082E-006, -4.32918E-009
0, 2400.00000, -0.140604, -0.0462143, -0.0984179, -0.032351, -0.112479, -0.0369672, 1.082E-006, -4.32918E-009
0, 2460.00000, -0.126543, -0.0415916, -0.0984217, -0.0323518, -0.098416, -0.0323463, 6.33605E-007, -7.42482E-009
0, 2520.00000, -0.126543, -0.0415917, -0.0984189, -0.032351, -0.0984189, -0.0323472, 6.33601E-007, -7.43368E-009
0, 2580.00000, -0.126543, -0.0415917, -0.0984189, -0.032351, -0.0984189, -0.0323472, 6.33601E-007, -7.43376E-009
0, 2640.00000, -0.126543, -0.0415917, -0.0984189, -0.032351, -0.0984189, -0.0323472, 6.33601E-007, -7.43376E-009
0, 2700.00000, -0.126543, -0.0415917, -0.0984189, -0.032351, -0.0984189, -0.0323472, 6.33601E-007, -7.43376E-009
0, 2760.00000, -0.126542, -0.0415899, -0.098421, -0.0323524, -0.0843583, -0.0277262, 1.0839E-006, 2.12409E-008
0, 2820.00000, -0.126543, -0.0415906, -0.0984194, -0.0323519, -0.0843582, -0.0277262, 1.08402E-006, 2.1242E-008
0, 2880.00000, -0.126543, -0.0415906, -0.0984194, -0.0323519, -0.0843582, -0.0277262, 1.08402E-006, 2.1242E-008
0, 2940.00000, -0.126543, -0.0415906, -0.0984194, -0.0323519, -0.0843582, -0.0277262, 1.08402E-006, 2.1242E-008
0, 3000.00000, -0.126543, -0.0415906, -0.0984194, -0.0323519, -0.0843582, -0.0277262, 1.08402E-006, 2.1242E-008
0, 3060.00000, -0.0984225, -0.032349, -0.126537, -0.0415891, -0.112481, -0.0369723, 4.39534E-007, 6.53005E-008
0, 3120.00000, -0.0984186, -0.032348, -0.126542, -0.0415908, -0.11248, -0.0369724, 4.39813E-007, 6.53297E-008
0, 3180.00000, -0.0984186, -0.032348, -0.126542, -0.0415908, -0.11248, -0.0369724, 4.39815E-007, 6.53299E-008
0, 3240.00000, -0.0984186, -0.032348, -0.126542, -0.0415908, -0.11248, -0.0369724, 4.39815E-007, 6.53299E-008
0, 3300.00000, -0.0984186, -0.032348, -0.126542, -0.0415908, -0.11248, -0.0369724, 4.39815E-007, 6.53299E-008
0, 3360.00000, -0.0984181, -0.0323485, -0.126538, -0.0415884, -0.126544, -0.0415949, 5.39688E-007, 6.25936E-008
0, 3420.00000, -0.0984181, -0.0323489, -0.126541, -0.0415897, -0.126541, -0.0415939, 5.39702E-007, 6.26018E-008
