hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -18.7933, -6.12949, -18.7029, -6.11135, -18.1152, -5.91469, -0.000129762, -4.82222E-006
0, 120.00000, -18.7934, -6.12954, -18.703, -6.11139, -18.1153, -5.9147, -0.000129784, -4.81861E-006
0, 180.00000, -18.7934, -6.12954, -18.703, -6.11139, -18.1153, -5.9147, -0.000129784, -4.81857E-006
0, 240.00000, -18.7934, -6.12954, -18.703, -6.11139, -18.1153, -5.9147, -0.000129784, -4.81857E-006
0, 300.00000, -18.7934, -6.12954, -18.703, -6.11139, -18.1153, -5.9147, -0.000129784, -4.81857E-006
0, 360.00000, -19.2291, -6.26684, -19.0286, -6.21982, -18.7336, -6.11668, -7.29628E-005, 1.21311E-005
0, 420.00000, -19.2292, -6.26688, -19.0286, -6.21984, -18.7335, -6.11665, -7.30119E-005, 1.21392E-005
0, 480.00000, -19.2292, -6.26689, -19.0286, -6.21984, -18.7335, -6.11665, -7.30122E-005, 1.21393E-005
0, 540.00000, -19.2292, -6.26689, -19.0286, -6.21984, -18.7335, -6.11665, -7.30122E-005, 1.21393E-005
0, 600.00000, -19.2292, -6.26689, -19.0286, -6.21984, -18.7335, -6.11665, -7.30122E-005, 1.21393E-005
0, 660.00000, -19.0748, -6.22173, -18.6633, -6.09716, -18.4077, -6.00996, -0.000108396, 3.18622E-005
0, 720.00000, -19.0747, -6.22169, -18.6632, -6.09714, -18.4078, -6.01002, -0.000108332, 3.18588E-005
0, 780.00000, -19.0747, -6.22169, -18.6632, -6.09714, -18.4078, -6.01002, -0.000108331, 3.18587E-005
0, 840.00000, -19.0747, -6.22169, -18.6632, -6.09714, -18.4078, -6.01002, -0.000108331, 3.18587E-005
0, 900.00000, -19.0747, -6.22169, -18.6632, -6.09714, -18.4078, -6.01002, -0.000108331, 3.18587E-005
0, 960.00000, -18.7831, -6.12637, -19.1467, -6.25219, -18.7991, -6.14142, -2.68315E-005, -4.04753E-005
