hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 60.00000, 0.303999, 0.0999191, -2.03693E-008, 1.06753E-007
0, 120.00000, 0.304, 0.0999199, -2.03714E-008, 1.06748E-007
0, 180.00000, 0.304, 0.0999199, -2.03714E-008, 1.06748E-007
0, 240.00000, 0.304, 0.0999199, -2.03714E-008, 1.06748E-007
0, 300.00000, 0.304, 0.0999199, -2.03714E-008, 1.06748E-007
0, 360.00000, 0.266002, 0.0874291, -1.85267E-007, -2.56059E-007
0, 420.00000, 0.266, 0.0874302, -1.85262E-007, -2.56094E-007
0, 480.00000, 0.266, 0.0874302, -1.85262E-007, -2.56094E-007
0, 540.00000, 0.266, 0.0874302, -1.85262E-007, -2.56094E-007
0, 600.00000, 0.266, 0.0874302, -1.85262E-007, -2.56094E-007
0, 660.00000, 0.227999, 0.0749417, 2.46963E-007, -4.24442E-008
0, 720.00000, 0.228, 0.07494, 2.46977E-007, -4.24145E-008
0, 780.00000, 0.228, 0.07494, 2.46978E-007, -4.24143E-008
0, 840.00000, 0.228, 0.07494, 2.46978E-007, -4.24143E-008
0, 900.00000, 0.228, 0.07494, 2.46978E-007, -4.24143E-008
0, 960.00000, 0.228, 0.0749404, 1.74414E-007, -1.92295E-007
0, 1020.00000, 0.228, 0.0749402, 1.74417E-007, -1.92291E-007
0, 1080.00000, 0.228, 0.0749402, 1.74417E-007, -1.92291E-007
0, 1140.00000, 0.228, 0.0749402, 1.74417E-007, -1.92291E-007
0, 1200.00000, 0.228, 0.0749402, 1.74417E-007, -1.92291E-007
0, 1260.00000, 0.265998, 0.0874266, -9.72704E-009, -1.65472E-008
0, 1320.00000, 0.266, 0.08743, -9.76892E-009, -1.6575E-008
0, 1380.00000, 0.266, 0.08743, -9.76914E-009, -1.65753E-008
0, 1440.00000, 0.266, 0.08743, -9.76914E-009, -1.65753E-008
0, 1500.00000, 0.266, 0.08743, -9.76914E-009, -1.65753E-008
0, 1560.00000, 0.341997, 0.112408, -1.4709E-007, 3.74202E-008
0, 1620.00000, 0.342, 0.11241, -1.47129E-007, 3.74266E-008
0, 1680.00000, 0.342, 0.11241, -1.4713E-007, 3.74266E-008
0, 1740.00000, 0.342, 0.11241, -1.4713E-007, 3.74266E-008
0, 1800.00000, 0.342, 0.11241, -1.4713E-007, 3.74266E-008
0, 1860.00000, 0.304002, 0.0999216, 9.41832E-008, 4.97971E-008
0, 1920.00000, 0.304, 0.0999199, 9.4218E-008, 4.97937E-008
0, 1980.00000, 0.304, 0.0999199, 9.42183E-008, 4.97938E-008
0, 2040.00000, 0.304, 0.0999199, 9.42183E-008, 4.97938E-008
0, 2100.00000, 0.304, 0.0999199, 9.42183E-008, 4.97938E-008
0, 2160.00000, 0.266001, 0.087432, 9.29462E-008, -6.5289E-008
0, 2220.00000, 0.266, 0.08743, 9.29654E-008, -6.52662E-008
0, 2280.00000, 0.266, 0.08743, 9.29655E-008, -6.5266E-008
0, 2340.00000, 0.266, 0.08743, 9.29655E-008, -6.5266E-008
0, 2400.00000, 0.266, 0.08743, 9.29655E-008, -6.5266E-008
0, 2460.00000, 0.266004, 0.0874331, -6.88696E-009, -1.55832E-008
0, 2520.00000, 0.266, 0.08743, -6.83855E-009, -1.5577E-008
0, 2580.00000, 0.266, 0.08743, -6.83823E-009, -1.55769E-008
0, 2640.00000, 0.266, 0.08743, -6.83823E-009, -1.55769E-008
0, 2700.00000, 0.266, 0.08743, -6.83823E-009, -1.55769E-008
0, 2760.00000, 0.266003, 0.0874304, 9.36456E-008, -6.70308E-008
0, 2820.00000, 0.266, 0.08743, 9.36578E-008, -6.70514E-008
0, 2880.00000, 0.266, 0.08743, 9.36579E-008, -6.70515E-008
0, 2940.00000, 0.266, 0.08743, 9.36579E-008, -6.70515E-008
0, 3000.00000, 0.266, 0.08743, 9.36579E-008, -6.70515E-008
0, 3060.00000, 0.303992, 0.0999181, -1.17231E-007, -9.17574E-008
0, 3120.00000, 0.304, 0.09992, -1.17292E-007, -9.17042E-008
0, 3180.00000, 0.304, 0.0999201, -1.17292E-007, -9.1704E-008
0, 3240.00000, 0.304, 0.0999201, -1.17292E-007, -9.1704E-008
0, 3300.00000, 0.304, 0.0999201, -1.17292E-007, -9.1704E-008
0, 3360.00000, 0.265995, 0.0874259, 6.69801E-008, 2.72829E-007
0, 3420.00000, 0.266, 0.0874297, 6.69194E-008, 2.72827E-007
0, 3480.00000, 0.266, 0.0874297, 6.6919E-008, 2.72827E-007
0, 3540.00000, 0.266, 0.0874297, 6.6919E-008, 2.72827E-007
1, 0.00000, 0.266, 0.0874297, 6.6919E-008, 2.72827E-007
1, 60.00000, 0.228005, 0.0749426, 6.63975E-008, 1.37393E-007
1, 120.00000, 0.228, 0.0749399, 6.64277E-008, 1.37387E-007
1, 180.00000, 0.228, 0.0749398, 6.64279E-008, 1.37387E-007
1, 240.00000, 0.228, 0.0749398, 6.64279E-008, 1.37387E-007
1, 300.00000, 0.228, 0.0749398, 6.64279E-008, 1.37387E-007
1, 360.00000, 0.228, 0.0749382, 7.37345E-009, -2.02722E-007
1, 420.00000, 0.228, 0.0749402, 7.35902E-009, -2.02749E-007
1, 480.00000, 0.228, 0.0749402, 7.35898E-009, -2.02749E-007
1, 540.00000, 0.228, 0.0749402, 7.35898E-009, -2.02749E-007
1, 600.00000, 0.228, 0.0749402, 7.35898E-009, -2.02749E-007
1, 660.00000, 0.304, 0.0999213, -2.40394E-007, 9.06562E-008
1, 720.00000, 0.304, 0.0999199, -2.40381E-007, 9.06692E-008
1, 780.00000, 0.304, 0.0999199, -2.40381E-007, 9.06693E-008
1, 840.00000, 0.304, 0.0999199, -2.40381E-007, 9.06693E-008
1, 900.00000, 0.304, 0.0999199, -2.40381E-007, 9.06693E-008
1, 960.00000, 0.228002, 0.0749395, 7.88114E-009, -2.03922E-007
1, 1020.00000, 0.228, 0.0749402, 7.88741E-009, -2.0395E-007
1, 1080.00000, 0.228, 0.0749402, 7.8875E-009, -2.0395E-007
1, 1140.00000, 0.228, 0.0749402, 7.8875E-009, -2.0395E-007
1, 1200.00000, 0.228, 0.0749402, 7.8875E-009, -2.0395E-007
1, 1260.00000, 0.227999, 0.0749416, 6.58164E-008, 1.36848E-007
1, 1320.00000, 0.228, 0.0749398, 6.58288E-008, 1.36875E-007
1, 1380.00000, 0.228, 0.0749398, 6.58288E-008, 1.36875E-007
1, 1440.00000, 0.228, 0.0749398, 6.58288E-008, 1.36875E-007
1, 1500.00000, 0.228, 0.0749398, 6.58288E-008, 1.36875E-007
1, 1560.00000, 0.304003, 0.0999205, -1.14599E-007, -9.35725E-008
1, 1620.00000, 0.304, 0.0999201, -1.14581E-007, -9.35941E-008
1, 1680.00000, 0.304, 0.0999201, -1.14581E-007, -9.35942E-008
1, 1740.00000, 0.304, 0.0999201, -1.14581E-007, -9.35942E-008
1, 1800.00000, 0.304, 0.0999201, -1.14581E-007, -9.35942E-008
1, 1860.00000, 0.19, 0.0624491, 7.9084E-008, -2.02742E-007
1, 1920.00000, 0.19, 0.0624502, 7.90766E-008, -2.02758E-007
1, 1980.00000, 0.19, 0.0624502, 7.90766E-008, -2.02758E-007
1, 2040.00000, 0.19, 0.0624502, 7.90766E-008, -2.02758E-007
1, 2100.00000, 0.19, 0.0624502, 7.90766E-008, -2.02758E-007
1, 2160.00000, 0.265999, 0.0874311, -1.64931E-008, 9.4364E-008
1, 2220.00000, 0.266, 0.0874299, -1.64828E-008, 9.43832E-008
1, 2280.00000, 0.266, 0.0874299, -1.64828E-008, 9.43833E-008
1, 2340.00000, 0.266, 0.0874299, -1.64828E-008, 9.43833E-008
1, 2400.00000, 0.266, 0.0874299, -1.64828E-008, 9.43833E-008
1, 2460.00000, 0.266008, 0.0874457, -1.56222E-008, 9.42989E-008
1, 2520.00000, 0.266, 0.08743, -1.54673E-008, 9.44225E-008
1, 2580.00000, 0.266, 0.0874299, -1.54667E-008, 9.44237E-008
1, 2640.00000, 0.266, 0.0874299, -1.54667E-008, 9.44237E-008
1, 2700.00000, 0.266, 0.0874299, -1.54667E-008, 9.44237E-008
1, 2760.00000, 0.303974, 0.0999065, -1.1386E-007, -9.27705E-008
1, 2820.00000, 0.304, 0.09992, -1.14031E-007, -9.27839E-008
1, 2880.00000, 0.304, 0.0999201, -1.14032E-007, -9.27843E-008
1, 2940.00000, 0.304, 0.0999201, -1.14032E-007, -9.27843E-008
1, 3000.00000, 0.304, 0.0999201, -1.14032E-007, -9.27843E-008
1, 3060.00000, 0.266014, 0.0874233, -9.08226E-008, -1.90312E-007
1, 3120.00000, 0.266, 0.0874301, -9.08369E-008, -1.90497E-007
1, 3180.00000, 0.266, 0.0874302, -9.08366E-008, -1.90498E-007
1, 3240.00000, 0.266, 0.0874302, -9.08366E-008, -1.90498E-007
1, 3300.00000, 0.266, 0.0874302, -9.08366E-008, -1.90498E-007
