hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.128345, -0.0421849, -0.11001, -0.0361585, -0.128345, -0.0421849, 7.86946E-010, -2.84302E-009
0, 120.00000, -0.128345, -0.042185, -0.11001, -0.0361586, -0.128345, -0.0421849, 7.86944E-010, -2.84302E-009
0, 180.00000, -0.128345, -0.042185, -0.11001, -0.0361586, -0.128345, -0.0421849, 7.86944E-010, -2.84302E-009
0, 240.00000, -0.128345, -0.042185, -0.11001, -0.0361586, -0.128345, -0.0421849, 7.86944E-010, -2.84302E-009
0, 300.00000, -0.128345, -0.042185, -0.11001, -0.0361586, -0.128345, -0.0421849, 7.86944E-010, -2.84302E-009
0, 360.00000, -0.165015, -0.0542378, -0.128345, -0.042185, -0.165015, -0.0542377, 3.20738E-009, -1.13638E-008
0, 420.00000, -0.165015, -0.0542378, -0.128345, -0.042185, -0.165015, -0.0542377, 3.20738E-009, -1.13638E-008
0, 480.00000, -0.165015, -0.0542378, -0.128345, -0.042185, -0.165015, -0.0542377, 3.20738E-009, -1.13638E-008
0, 540.00000, -0.165015, -0.0542378, -0.128345, -0.042185, -0.165015, -0.0542377, 3.20738E-009, -1.13638E-008
0, 600.00000, -0.165015, -0.0542378, -0.128345, -0.042185, -0.165015, -0.0542377, 3.20738E-009, -1.13638E-008
0, 660.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.23478E-009, -2.06478E-009
0, 720.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.23479E-009, -2.0648E-009
0, 780.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.23479E-009, -2.0648E-009
0, 840.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.23479E-009, -2.0648E-009
0, 900.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.23479E-009, -2.0648E-009
0, 960.00000, -0.183356, -0.0602663, -0.146673, -0.0482096, -0.128344, -0.0421844, 4.04591E-009, -2.14109E-008
0, 1020.00000, -0.18335, -0.0602641, -0.14668, -0.0482115, -0.128345, -0.0421849, 4.04408E-009, -2.14044E-008
0, 1080.00000, -0.18335, -0.0602641, -0.14668, -0.0482115, -0.128345, -0.042185, 4.04408E-009, -2.14044E-008
0, 1140.00000, -0.18335, -0.0602641, -0.14668, -0.0482115, -0.128345, -0.042185, 4.04408E-009, -2.14044E-008
0, 1200.00000, -0.18335, -0.0602641, -0.14668, -0.0482115, -0.128345, -0.042185, 4.04408E-009, -2.14044E-008
0, 1260.00000, -0.11001, -0.0361585, -0.165015, -0.0542377, -0.11001, -0.0361587, 1.06197E-008, -1.98598E-008
0, 1320.00000, -0.11001, -0.0361585, -0.165015, -0.0542377, -0.11001, -0.0361586, 1.06198E-008, -1.986E-008
0, 1380.00000, -0.11001, -0.0361585, -0.165015, -0.0542377, -0.11001, -0.0361586, 1.06198E-008, -1.986E-008
0, 1440.00000, -0.11001, -0.0361585, -0.165015, -0.0542377, -0.11001, -0.0361586, 1.06198E-008, -1.986E-008
0, 1500.00000, -0.11001, -0.0361585, -0.165015, -0.0542377, -0.11001, -0.0361586, 1.06198E-008, -1.986E-008
0, 1560.00000, -0.14668, -0.0482113, -0.165015, -0.0542378, -0.11001, -0.0361586, 5.96532E-009, -1.88156E-008
0, 1620.00000, -0.14668, -0.0482113, -0.165015, -0.0542378, -0.11001, -0.0361586, 5.96531E-009, -1.88155E-008
0, 1680.00000, -0.14668, -0.0482113, -0.165015, -0.0542378, -0.11001, -0.0361586, 5.96531E-009, -1.88155E-008
0, 1740.00000, -0.14668, -0.0482113, -0.165015, -0.0542378, -0.11001, -0.0361586, 5.96531E-009, -1.88155E-008
0, 1800.00000, -0.14668, -0.0482113, -0.165015, -0.0542378, -0.11001, -0.0361586, 5.96531E-009, -1.88155E-008
0, 1860.00000, -0.14668, -0.0482113, -0.14668, -0.0482114, -0.128345, -0.0421849, 2.77311E-010, -3.15078E-009
0, 1920.00000, -0.14668, -0.0482113, -0.14668, -0.0482114, -0.128345, -0.042185, 2.77297E-010, -3.15076E-009
0, 1980.00000, -0.14668, -0.0482113, -0.14668, -0.0482114, -0.128345, -0.042185, 2.77297E-010, -3.15076E-009
0, 2040.00000, -0.14668, -0.0482113, -0.14668, -0.0482114, -0.128345, -0.042185, 2.77297E-010, -3.15076E-009
0, 2100.00000, -0.14668, -0.0482113, -0.14668, -0.0482114, -0.128345, -0.042185, 2.77297E-010, -3.15076E-009
0, 2160.00000, -0.14668, -0.0482113, -0.11001, -0.0361586, -0.0733399, -0.0241057, 1.09425E-008, -3.16203E-008
0, 2220.00000, -0.14668, -0.0482113, -0.11001, -0.0361586, -0.0733399, -0.0241057, 1.09424E-008, -3.16203E-008
0, 2280.00000, -0.14668, -0.0482113, -0.11001, -0.0361586, -0.0733399, -0.0241057, 1.09424E-008, -3.16203E-008
0, 2340.00000, -0.14668, -0.0482113, -0.11001, -0.0361586, -0.0733399, -0.0241057, 1.09424E-008, -3.16203E-008
0, 2400.00000, -0.14668, -0.0482113, -0.11001, -0.0361586, -0.0733399, -0.0241057, 1.09424E-008, -3.16203E-008
0, 2460.00000, -0.165015, -0.0542378, -0.14668, -0.0482115, -0.165015, -0.0542377, 3.80548E-010, -3.34914E-009
0, 2520.00000, -0.165015, -0.0542378, -0.14668, -0.0482114, -0.165015, -0.0542378, 3.80589E-010, -3.34927E-009
0, 2580.00000, -0.165015, -0.0542378, -0.14668, -0.0482114, -0.165015, -0.0542378, 3.80589E-010, -3.34927E-009
0, 2640.00000, -0.165015, -0.0542378, -0.14668, -0.0482114, -0.165015, -0.0542378, 3.80589E-010, -3.34927E-009
0, 2700.00000, -0.165015, -0.0542378, -0.14668, -0.0482114, -0.165015, -0.0542378, 3.80589E-010, -3.34927E-009
0, 2760.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.165015, -0.0542378, 3.5181E-009, -6.75225E-009
0, 2820.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.165015, -0.0542378, 3.51807E-009, -6.75219E-009
0, 2880.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.165015, -0.0542378, 3.51807E-009, -6.75219E-009
0, 2940.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.165015, -0.0542378, 3.51807E-009, -6.75219E-009
0, 3000.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.165015, -0.0542378, 3.51807E-009, -6.75219E-009
0, 3060.00000, -0.128345, -0.042185, -0.14668, -0.0482113, -0.14668, -0.0482114, 1.51819E-009, -1.51467E-009
0, 3120.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.51824E-009, -1.51475E-009
0, 3180.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.51824E-009, -1.51475E-009
0, 3240.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.51824E-009, -1.51475E-009
0, 3300.00000, -0.128345, -0.042185, -0.14668, -0.0482114, -0.14668, -0.0482114, 1.51824E-009, -1.51475E-009
0, 3360.00000, -0.11001, -0.0361585, -0.18335, -0.060264, -0.11001, -0.0361587, 1.7112E-008, -3.75907E-008
0, 3420.00000, -0.11001, -0.0361585, -0.18335, -0.0602641, -0.11001, -0.0361587, 1.71123E-008, -3.75911E-008
0, 3480.00000, -0.11001, -0.0361585, -0.18335, -0.0602641, -0.11001, -0.0361587, 1.71123E-008, -3.75911E-008
0, 3540.00000, -0.11001, -0.0361585, -0.18335, -0.0602641, -0.11001, -0.0361587, 1.71123E-008, -3.75911E-008
1, 0.00000, -0.11001, -0.0361585, -0.18335, -0.0602641, -0.11001, -0.0361587, 1.71123E-008, -3.75911E-008
1, 60.00000, -0.0916751, -0.0301322, -0.128345, -0.042185, -0.0916752, -0.0301322, 4.04122E-009, -9.56563E-009
1, 120.00000, -0.091675, -0.0301321, -0.128345, -0.0421849, -0.091675, -0.0301322, 4.04119E-009, -9.56557E-009
1, 180.00000, -0.091675, -0.0301321, -0.128345, -0.0421849, -0.091675, -0.0301322, 4.04119E-009, -9.56557E-009
1, 240.00000, -0.091675, -0.0301321, -0.128345, -0.0421849, -0.091675, -0.0301322, 4.04119E-009, -9.56557E-009
1, 300.00000, -0.091675, -0.0301321, -0.128345, -0.0421849, -0.091675, -0.0301322, 4.04119E-009, -9.56557E-009
1, 360.00000, -0.11001, -0.0361585, -0.11001, -0.0361585, -0.128345, -0.042185, 9.64707E-010, -2.54793E-009
1, 420.00000, -0.11001, -0.0361586, -0.11001, -0.0361585, -0.128345, -0.0421849, 9.64678E-010, -2.54786E-009
1, 480.00000, -0.11001, -0.0361586, -0.11001, -0.0361585, -0.128345, -0.0421849, 9.64678E-010, -2.54786E-009
1, 540.00000, -0.11001, -0.0361586, -0.11001, -0.0361585, -0.128345, -0.0421849, 9.64678E-010, -2.54786E-009
1, 600.00000, -0.11001, -0.0361586, -0.11001, -0.0361585, -0.128345, -0.0421849, 9.64678E-010, -2.54786E-009
1, 660.00000, -0.128345, -0.0421849, -0.11001, -0.0361586, -0.0916749, -0.0301321, 2.03179E-009, -8.89277E-009
1, 720.00000, -0.128345, -0.0421849, -0.11001, -0.0361586, -0.091675, -0.0301321, 2.03177E-009, -8.89274E-009
1, 780.00000, -0.128345, -0.0421849, -0.11001, -0.0361586, -0.091675, -0.0301321, 2.03177E-009, -8.89274E-009
1, 840.00000, -0.128345, -0.0421849, -0.11001, -0.0361586, -0.091675, -0.0301321, 2.03177E-009, -8.89274E-009
1, 900.00000, -0.128345, -0.0421849, -0.11001, -0.0361586, -0.091675, -0.0301321, 2.03177E-009, -8.89274E-009
1, 960.00000, -0.165015, -0.0542376, -0.091675, -0.0301322, -0.07334, -0.0241057, 1.71417E-008, -5.77537E-008
1, 1020.00000, -0.165015, -0.0542377, -0.091675, -0.0301322, -0.0733399, -0.0241057, 1.71418E-008, -5.7754E-008
