hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0360996, -0.0118655, -0.0577606, -0.018984, -0.0577605, -0.0189857, 3.6244E-007, 4.85655E-008
0, 120.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.62443E-007, 4.8566E-008
0, 180.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.62443E-007, 4.8566E-008
0, 240.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.62443E-007, 4.8566E-008
0, 300.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.62443E-007, 4.8566E-008
0, 360.00000, -0.0577589, -0.018984, -0.0577608, -0.0189853, -0.0505403, -0.0166118, 5.0625E-008, 7.48538E-009
0, 420.00000, -0.0577602, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.06402E-008, 7.48581E-009
0, 480.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.06402E-008, 7.4858E-009
0, 540.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.06402E-008, 7.4858E-009
0, 600.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 5.06402E-008, 7.4858E-009
0, 660.00000, -0.0433205, -0.0142393, -0.0505397, -0.0166109, -0.0649794, -0.0213577, 2.89069E-007, 2.11348E-008
0, 720.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89138E-007, 2.11401E-008
0, 780.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89139E-007, 2.11401E-008
0, 840.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89139E-007, 2.11401E-008
0, 900.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.89139E-007, 2.11401E-008
0, 960.00000, -0.05054, -0.0166113, -0.057761, -0.0189851, -0.0505382, -0.0166114, 4.44606E-008, 1.3881E-008
0, 1020.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505397, -0.0166119, 4.44411E-008, 1.38777E-008
0, 1080.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.4441E-008, 1.38776E-008
0, 1140.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.4441E-008, 1.38776E-008
0, 1200.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.4441E-008, 1.38776E-008
0, 1260.00000, -0.0577594, -0.0189844, -0.0577591, -0.0189848, -0.0505418, -0.0166124, 5.45015E-008, 8.38839E-009
0, 1320.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.45419E-008, 8.39328E-009
0, 1380.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.45422E-008, 8.3933E-009
0, 1440.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.45422E-008, 8.3933E-009
0, 1500.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.45422E-008, 8.3933E-009
0, 1560.00000, -0.0505403, -0.0166113, -0.0577592, -0.0189848, -0.0433203, -0.0142391, 1.45768E-007, 2.53885E-008
0, 1620.00000, -0.0505401, -0.0166111, -0.0577605, -0.0189852, -0.0433195, -0.0142388, 1.45807E-007, 2.5394E-008
0, 1680.00000, -0.0505401, -0.0166111, -0.0577605, -0.0189852, -0.0433195, -0.0142388, 1.45808E-007, 2.5394E-008
0, 1740.00000, -0.0505401, -0.0166111, -0.0577605, -0.0189852, -0.0433195, -0.0142388, 1.45808E-007, 2.5394E-008
0, 1800.00000, -0.0505401, -0.0166111, -0.0577605, -0.0189852, -0.0433195, -0.0142388, 1.45808E-007, 2.5394E-008
0, 1860.00000, -0.0505391, -0.0166114, -0.0649816, -0.0213578, -0.0649788, -0.0213581, 1.55472E-007, 2.19998E-008
0, 1920.00000, -0.0505395, -0.0166116, -0.0649805, -0.0213573, -0.0649802, -0.0213585, 1.55464E-007, 2.19958E-008
0, 1980.00000, -0.0505395, -0.0166116, -0.0649804, -0.0213573, -0.0649803, -0.0213586, 1.55464E-007, 2.19958E-008
0, 2040.00000, -0.0505395, -0.0166116, -0.0649804, -0.0213573, -0.0649803, -0.0213586, 1.55464E-007, 2.19958E-008
0, 2100.00000, -0.0505395, -0.0166116, -0.0649804, -0.0213573, -0.0649803, -0.0213586, 1.55464E-007, 2.19958E-008
0, 2160.00000, -0.0505406, -0.016611, -0.0722019, -0.0237316, -0.0505385, -0.0166121, 3.91446E-007, 6.63527E-008
0, 2220.00000, -0.0505397, -0.0166108, -0.0722013, -0.0237312, -0.0505394, -0.0166124, 3.9142E-007, 6.63488E-008
0, 2280.00000, -0.0505397, -0.0166108, -0.0722013, -0.0237312, -0.0505394, -0.0166124, 3.9142E-007, 6.63489E-008
0, 2340.00000, -0.0505397, -0.0166108, -0.0722013, -0.0237312, -0.0505394, -0.0166124, 3.9142E-007, 6.63489E-008
0, 2400.00000, -0.0505397, -0.0166108, -0.0722013, -0.0237312, -0.0505394, -0.0166124, 3.9142E-007, 6.63489E-008
