hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.13566, -0.0445894, -0.13566, -0.0445892, -0.17442, -0.0573291, 6.24077E-009, -6.95545E-009
0, 120.00000, -0.13566, -0.0445893, -0.13566, -0.0445893, -0.17442, -0.0573291, 6.24074E-009, -6.9554E-009
0, 180.00000, -0.13566, -0.0445893, -0.13566, -0.0445893, -0.17442, -0.0573291, 6.24074E-009, -6.9554E-009
0, 240.00000, -0.13566, -0.0445893, -0.13566, -0.0445893, -0.17442, -0.0573291, 6.24074E-009, -6.9554E-009
0, 300.00000, -0.13566, -0.0445893, -0.13566, -0.0445893, -0.17442, -0.0573291, 6.24074E-009, -6.9554E-009
0, 360.00000, -0.174418, -0.0573284, -0.155041, -0.0509593, -0.174421, -0.0573294, 1.12948E-009, -2.52127E-009
0, 420.00000, -0.17442, -0.0573291, -0.15504, -0.0509592, -0.17442, -0.0573291, 1.12964E-009, -2.5216E-009
0, 480.00000, -0.17442, -0.0573291, -0.15504, -0.0509592, -0.17442, -0.057329, 1.12964E-009, -2.52161E-009
0, 540.00000, -0.17442, -0.0573291, -0.15504, -0.0509592, -0.17442, -0.057329, 1.12964E-009, -2.52161E-009
0, 600.00000, -0.17442, -0.0573291, -0.15504, -0.0509592, -0.17442, -0.057329, 1.12964E-009, -2.52161E-009
0, 660.00000, -0.174422, -0.0573296, -0.11628, -0.0382194, -0.116278, -0.038219, 1.40573E-008, -1.85205E-008
0, 720.00000, -0.17442, -0.057329, -0.11628, -0.0382195, -0.11628, -0.0382194, 1.40559E-008, -1.85188E-008
0, 780.00000, -0.17442, -0.057329, -0.11628, -0.0382195, -0.11628, -0.0382194, 1.40558E-008, -1.85188E-008
0, 840.00000, -0.17442, -0.057329, -0.11628, -0.0382195, -0.11628, -0.0382194, 1.40558E-008, -1.85188E-008
0, 900.00000, -0.17442, -0.057329, -0.11628, -0.0382195, -0.11628, -0.0382194, 1.40558E-008, -1.85188E-008
0, 960.00000, -0.116281, -0.0382198, -0.155041, -0.0509595, -0.193795, -0.0636974, 2.00053E-008, -1.95924E-008
0, 1020.00000, -0.11628, -0.0382195, -0.15504, -0.0509591, -0.1938, -0.063699, 2.00083E-008, -1.95956E-008
0, 1080.00000, -0.11628, -0.0382195, -0.15504, -0.0509591, -0.1938, -0.063699, 2.00083E-008, -1.95956E-008
0, 1140.00000, -0.11628, -0.0382195, -0.15504, -0.0509591, -0.1938, -0.063699, 2.00083E-008, -1.95956E-008
0, 1200.00000, -0.11628, -0.0382195, -0.15504, -0.0509591, -0.1938, -0.063699, 2.00083E-008, -1.95956E-008
0, 1260.00000, -0.135659, -0.044589, -0.155039, -0.0509586, -0.174423, -0.0573301, 5.0077E-009, -4.28587E-009
