hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -15.8467, -6.11573, -15.7608, -6.09586, -15.1805, -5.90224, -0.000116875, 3.89422E-007
0, 120.00000, -15.8466, -6.11578, -15.7608, -6.0959, -15.1805, -5.90227, -0.000116887, 3.8681E-007
0, 180.00000, -15.8466, -6.11578, -15.7608, -6.0959, -15.1805, -5.90227, -0.000116887, 3.86797E-007
0, 240.00000, -15.8466, -6.11578, -15.7608, -6.0959, -15.1805, -5.90227, -0.000116887, 3.86797E-007
0, 300.00000, -15.8466, -6.11578, -15.7608, -6.0959, -15.1805, -5.90227, -0.000116887, 3.86797E-007
0, 360.00000, -16.2825, -6.25395, -16.0819, -6.20366, -15.7976, -6.103, -6.34052E-005, 1.34574E-005
0, 420.00000, -16.2826, -6.254, -16.0818, -6.20365, -15.7975, -6.10298, -6.34426E-005, 1.34774E-005
0, 480.00000, -16.2826, -6.254, -16.0818, -6.20365, -15.7975, -6.10298, -6.34428E-005, 1.34776E-005
0, 540.00000, -16.2826, -6.254, -16.0818, -6.20365, -15.7975, -6.10298, -6.34428E-005, 1.34776E-005
0, 600.00000, -16.2826, -6.254, -16.0818, -6.20365, -15.7975, -6.10298, -6.34428E-005, 1.34776E-005
0, 660.00000, -16.1284, -6.20846, -15.7199, -6.0814, -15.4734, -5.99726, -9.51953E-005, 3.08754E-005
0, 720.00000, -16.1282, -6.20841, -15.7199, -6.0814, -15.4736, -5.99731, -9.51313E-005, 3.08606E-005
0, 780.00000, -16.1282, -6.20841, -15.7199, -6.0814, -15.4736, -5.99731, -9.51309E-005, 3.08604E-005
0, 840.00000, -16.1282, -6.20841, -15.7199, -6.0814, -15.4736, -5.99731, -9.51309E-005, 3.08604E-005
0, 900.00000, -16.1282, -6.20841, -15.7199, -6.0814, -15.4736, -5.99731, -9.51309E-005, 3.08604E-005
0, 960.00000, -15.8415, -6.11385, -16.2008, -6.23733, -15.8624, -6.12709, -2.67955E-005, -3.35921E-005
0, 1020.00000, -15.8412, -6.11406, -16.201, -6.23722, -15.8627, -6.12703, -2.68374E-005, -3.36407E-005
0, 1080.00000, -15.8412, -6.11406, -16.201, -6.23722, -15.8627, -6.12703, -2.68372E-005, -3.36407E-005
0, 1140.00000, -15.8412, -6.11406, -16.201, -6.23722, -15.8627, -6.12703, -2.68372E-005, -3.36407E-005
0, 1200.00000, -15.8412, -6.11406, -16.201, -6.23722, -15.8627, -6.12703, -2.68372E-005, -3.36407E-005
0, 1260.00000, -16.0464, -6.17428, -16.3646, -6.29759, -15.5246, -6.01646, -0.00013673, -3.57252E-005
0, 1320.00000, -16.0465, -6.17433, -16.3647, -6.29761, -15.5243, -6.01638, -0.000136841, -3.57252E-005
0, 1380.00000, -16.0465, -6.17433, -16.3647, -6.29761, -15.5243, -6.01638, -0.000136842, -3.57251E-005
0, 1440.00000, -16.0465, -6.17433, -16.3647, -6.29761, -15.5243, -6.01638, -0.000136842, -3.57251E-005
0, 1500.00000, -16.0465, -6.17433, -16.3647, -6.29761, -15.5243, -6.01638, -0.000136842, -3.57251E-005
0, 1560.00000, -15.8755, -6.11977, -15.7043, -6.08083, -15.0766, -5.87032, -0.000143233, 8.9101E-006
0, 1620.00000, -15.8755, -6.11976, -15.7045, -6.08087, -15.0765, -5.8703, -0.000143267, 8.89708E-006
0, 1680.00000, -15.8755, -6.11976, -15.7045, -6.08087, -15.0765, -5.8703, -0.000143267, 8.89702E-006
0, 1740.00000, -15.8755, -6.11976, -15.7045, -6.08087, -15.0765, -5.8703, -0.000143267, 8.89702E-006
0, 1800.00000, -15.8755, -6.11976, -15.7045, -6.08087, -15.0765, -5.8703, -0.000143267, 8.89702E-006
0, 1860.00000, -16.3941, -6.29031, -16.0484, -6.19041, -15.9489, -6.1531, -5.35467E-005, 2.65784E-005
0, 1920.00000, -16.3942, -6.29033, -16.0483, -6.19038, -15.949, -6.15315, -5.35294E-005, 2.65964E-005
0, 1980.00000, -16.3942, -6.29033, -16.0483, -6.19038, -15.949, -6.15315, -5.35292E-005, 2.65965E-005
0, 2040.00000, -16.3942, -6.29033, -16.0483, -6.19038, -15.949, -6.15315, -5.35292E-005, 2.65965E-005
0, 2100.00000, -16.3942, -6.29033, -16.0483, -6.19038, -15.949, -6.15315, -5.35292E-005, 2.65965E-005
