hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 224.619, -30.2575, 224.607, -150.273, 224.7, 89.7425, 0.0400727, 77.8472, 75.6206, 128.639, 75.236, 8.58184, 72.4857, -111.504, 2.91658, -101.962
0, 120.00000, 224.619, -30.2575, 224.607, -150.273, 224.7, 89.7425, 0.0400741, 77.8458, 75.6207, 128.639, 75.2362, 8.58175, 72.4857, -111.504, 2.9168, -101.965
0, 180.00000, 224.619, -30.2575, 224.607, -150.273, 224.7, 89.7425, 0.0400741, 77.8458, 75.6207, 128.639, 75.2362, 8.58175, 72.4857, -111.504, 2.9168, -101.965
0, 240.00000, 224.619, -30.2575, 224.607, -150.273, 224.7, 89.7425, 0.0400741, 77.8458, 75.6207, 128.639, 75.2362, 8.58175, 72.4857, -111.504, 2.9168, -101.965
0, 300.00000, 224.619, -30.2575, 224.607, -150.273, 224.7, 89.7425, 0.0400741, 77.8458, 75.6207, 128.639, 75.2362, 8.58175, 72.4857, -111.504, 2.9168, -101.965
0, 360.00000, 224.598, -30.267, 224.599, -150.278, 224.666, 89.7329, 0.033694, 83.8196, 77.6597, 128.722, 76.7453, 8.62761, 75.3806, -111.39, 1.92371, -84.1975
0, 420.00000, 224.598, -30.267, 224.599, -150.278, 224.666, 89.7329, 0.0336991, 83.8276, 77.6605, 128.722, 76.745, 8.62757, 75.3803, -111.39, 1.92463, -84.1791
0, 480.00000, 224.598, -30.267, 224.599, -150.278, 224.666, 89.7329, 0.0336991, 83.8277, 77.6605, 128.722, 76.745, 8.62757, 75.3803, -111.39, 1.92464, -84.1789
0, 540.00000, 224.598, -30.267, 224.599, -150.278, 224.666, 89.7329, 0.0336991, 83.8277, 77.6605, 128.722, 76.745, 8.62757, 75.3803, -111.39, 1.92464, -84.1789
0, 600.00000, 224.598, -30.267, 224.599, -150.278, 224.666, 89.7329, 0.0336991, 83.8277, 77.6605, 128.722, 76.745, 8.62757, 75.3803, -111.39, 1.92464, -84.1789
0, 660.00000, 224.599, -30.2639, 224.618, -150.273, 224.685, 89.7397, 0.0375122, 91.6522, 76.9465, 128.682, 75.0396, 8.57744, 73.8588, -111.446, 2.66786, -70.378
0, 720.00000, 224.599, -30.2639, 224.618, -150.273, 224.685, 89.7397, 0.0375047, 91.6496, 76.9458, 128.682, 75.0396, 8.57747, 73.8595, -111.446, 2.66665, -70.3773
0, 780.00000, 224.599, -30.2639, 224.618, -150.273, 224.685, 89.7397, 0.0375046, 91.6495, 76.9458, 128.682, 75.0396, 8.57747, 73.8595, -111.446, 2.66664, -70.3774
0, 840.00000, 224.599, -30.2639, 224.618, -150.273, 224.685, 89.7397, 0.0375046, 91.6495, 76.9458, 128.682, 75.0396, 8.57747, 73.8595, -111.446, 2.66664, -70.3774
0, 900.00000, 224.599, -30.2639, 224.618, -150.273, 224.685, 89.7397, 0.0375046, 91.6495, 76.9458, 128.682, 75.0396, 8.57747, 73.8595, -111.446, 2.66664, -70.3774
0, 960.00000, 224.632, -30.2603, 224.591, -150.277, 224.652, 89.7293, 0.0264652, 59.0444, 75.5919, 128.636, 77.2962, 8.66671, 75.693, -111.39, 1.62364, -172.377
