Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
1,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
2,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
3,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
4,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
5,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
6,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
7,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
8,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
9,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
10,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
11,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
12,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
13,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
14,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
15,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
