hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.101743, -0.0334407, -0.130817, -0.0429958, -0.11628, -0.0382216, 4.85436E-007, 6.95671E-008
0, 120.00000, -0.101743, -0.0334407, -0.130817, -0.0429959, -0.11628, -0.0382216, 4.85436E-007, 6.95674E-008
0, 180.00000, -0.101743, -0.0334407, -0.130817, -0.0429959, -0.11628, -0.0382216, 4.85436E-007, 6.95674E-008
0, 240.00000, -0.101743, -0.0334407, -0.130817, -0.0429959, -0.11628, -0.0382216, 4.85436E-007, 6.95674E-008
0, 300.00000, -0.101743, -0.0334407, -0.130817, -0.0429959, -0.11628, -0.0382216, 4.85436E-007, 6.95674E-008
0, 360.00000, -0.116281, -0.038218, -0.116281, -0.0382209, -0.101744, -0.0334418, 2.00788E-007, 2.04174E-008
0, 420.00000, -0.116281, -0.0382181, -0.116281, -0.0382209, -0.101744, -0.0334418, 2.00791E-007, 2.04176E-008
0, 480.00000, -0.116281, -0.0382181, -0.116281, -0.0382209, -0.101744, -0.0334418, 2.00791E-007, 2.04176E-008
0, 540.00000, -0.116281, -0.0382181, -0.116281, -0.0382209, -0.101744, -0.0334418, 2.00791E-007, 2.04176E-008
0, 600.00000, -0.116281, -0.0382181, -0.116281, -0.0382209, -0.101744, -0.0334418, 2.00791E-007, 2.04176E-008
0, 660.00000, -0.130818, -0.0429968, -0.101744, -0.0334441, -0.101744, -0.0334398, 7.17293E-007, -1.44584E-009
0, 720.00000, -0.130818, -0.0429968, -0.101744, -0.0334441, -0.101744, -0.0334398, 7.1729E-007, -1.44583E-009
0, 780.00000, -0.130818, -0.0429968, -0.101744, -0.0334441, -0.101744, -0.0334398, 7.1729E-007, -1.44584E-009
0, 840.00000, -0.130818, -0.0429968, -0.101744, -0.0334441, -0.101744, -0.0334398, 7.1729E-007, -1.44584E-009
0, 900.00000, -0.130818, -0.0429968, -0.101744, -0.0334441, -0.101744, -0.0334398, 7.1729E-007, -1.44584E-009
0, 960.00000, -0.116286, -0.0382207, -0.101739, -0.0334413, -0.101743, -0.0334404, 1.9803E-007, -7.15931E-009
0, 1020.00000, -0.116282, -0.0382193, -0.101744, -0.0334432, -0.101744, -0.0334408, 1.97838E-007, -7.15342E-009
0, 1080.00000, -0.116282, -0.0382193, -0.101744, -0.0334432, -0.101744, -0.0334408, 1.97838E-007, -7.15342E-009
0, 1140.00000, -0.116282, -0.0382193, -0.101744, -0.0334432, -0.101744, -0.0334408, 1.97838E-007, -7.15342E-009
0, 1200.00000, -0.116282, -0.0382193, -0.101744, -0.0334432, -0.101744, -0.0334408, 1.97838E-007, -7.15342E-009
0, 1260.00000, -0.101745, -0.0334408, -0.116281, -0.0382196, -0.101744, -0.0334429, 1.70953E-007, 3.92632E-008
0, 1320.00000, -0.101745, -0.0334408, -0.116281, -0.0382197, -0.101744, -0.0334429, 1.7096E-007, 3.92643E-008
0, 1380.00000, -0.101745, -0.0334408, -0.116281, -0.0382197, -0.101744, -0.0334429, 1.7096E-007, 3.92643E-008
0, 1440.00000, -0.101745, -0.0334408, -0.116281, -0.0382197, -0.101744, -0.0334429, 1.7096E-007, 3.92643E-008
0, 1500.00000, -0.101745, -0.0334408, -0.116281, -0.0382197, -0.101744, -0.0334429, 1.7096E-007, 3.92643E-008
0, 1560.00000, -0.087209, -0.0286643, -0.101746, -0.0334411, -0.101745, -0.0334431, 1.60177E-007, 3.8156E-008
0, 1620.00000, -0.087209, -0.0286643, -0.101746, -0.0334411, -0.101745, -0.0334431, 1.60177E-007, 3.81559E-008
