hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.11628, -0.0382334, 3.77015E-015, 3.32503E-013, -1.91725E-013, 2.16913E-013, 2.82012E-009, 1.4008E-005
0, 120.00000, -0.11628, -0.0382334, -1.53389E-014, 1.12335E-013, -4.81878E-013, -1.8752E-013, 2.73448E-009, 1.40088E-005
0, 180.00000, -0.11628, -0.0382334, 2.66435E-014, -1.43449E-013, -4.51015E-013, 5.72587E-014, 2.73419E-009, 1.40088E-005
0, 240.00000, -0.11628, -0.0382334, 5.05961E-013, -3.85215E-013, -2.06705E-013, -2.74433E-013, 2.73419E-009, 1.40088E-005
0, 300.00000, -0.11628, -0.0382334, 7.63515E-013, 2.69479E-013, 2.97006E-013, -5.36488E-013, 2.73419E-009, 1.40088E-005
0, 360.00000, -0.130818, -0.0430102, 7.20007E-013, 6.22448E-013, 3.793E-013, -3.07802E-013, 3.15416E-006, 1.34331E-005
0, 420.00000, -0.130818, -0.0430102, -2.21285E-013, 1.31234E-013, -5.17588E-014, 1.66604E-013, 3.1511E-006, 1.34334E-005
0, 480.00000, -0.130818, -0.0430102, 4.28536E-013, 5.3819E-013, -1.16289E-013, -7.27285E-014, 3.15107E-006, 1.34334E-005
0, 540.00000, -0.130818, -0.0430102, -1.50618E-013, -3.53118E-014, -1.12338E-013, -3.61933E-014, 3.15107E-006, 1.34334E-005
0, 600.00000, -0.130818, -0.0430102, -5.09012E-013, 5.66561E-016, -3.03037E-013, -1.79618E-013, 3.15107E-006, 1.34334E-005
0, 660.00000, -0.101743, -0.0334516, -1.3146E-013, -4.52485E-013, -7.65335E-013, -2.54481E-013, -1.9451E-006, 9.58781E-006
0, 720.00000, -0.101743, -0.0334515, 2.5459E-013, 2.38051E-013, -6.14092E-013, -1.37684E-013, -1.94275E-006, 9.58656E-006
0, 780.00000, -0.101743, -0.0334515, 4.66496E-013, -2.29859E-013, 4.40467E-013, -1.57677E-013, -1.94272E-006, 9.58655E-006
0, 840.00000, -0.101743, -0.0334515, 1.99527E-013, 3.47937E-013, -1.14263E-012, 2.2998E-013, -1.94272E-006, 9.58655E-006
0, 900.00000, -0.101743, -0.0334515, -3.82315E-013, -3.0061E-013, -3.02409E-013, -1.16203E-013, -1.94272E-006, 9.58655E-006
0, 960.00000, -0.101751, -0.033452, -4.97999E-013, 1.74048E-013, -1.05735E-013, -2.15669E-013, 4.92175E-006, 9.64025E-006
0, 1020.00000, -0.10175, -0.0334516, -1.16069E-013, 1.21881E-013, 4.4149E-014, -6.57358E-014, 4.92596E-006, 9.64279E-006
0, 1080.00000, -0.10175, -0.0334516, 1.82918E-014, 2.73659E-013, 2.08061E-013, -6.20414E-014, 4.92597E-006, 9.64277E-006
0, 1140.00000, -0.10175, -0.0334516, -1.59525E-013, 2.32236E-013, 3.89597E-013, 2.05859E-013, 4.92597E-006, 9.64277E-006
0, 1200.00000, -0.10175, -0.0334516, 3.55807E-013, -1.01258E-013, -1.25914E-012, -2.35676E-013, 4.92597E-006, 9.64277E-006
0, 1260.00000, -0.101748, -0.0334565, 3.77921E-014, 2.24268E-013, 9.12604E-013, -2.66571E-013, 2.76813E-006, 1.45536E-005
0, 1320.00000, -0.101748, -0.0334565, 4.89663E-013, -5.01243E-014, 2.10927E-013, -2.04085E-013, 2.76614E-006, 1.45572E-005
0, 1380.00000, -0.101748, -0.0334565, -8.18543E-014, -1.72162E-013, -3.47661E-013, -4.1104E-013, 2.76612E-006, 1.45572E-005
0, 1440.00000, -0.101748, -0.0334565, -1.12206E-012, -1.38101E-014, 5.26293E-013, 3.4E-013, 2.76612E-006, 1.45572E-005
0, 1500.00000, -0.101748, -0.0334565, 9.65465E-014, 6.64398E-013, -3.63926E-013, 1.56229E-013, 2.76612E-006, 1.45572E-005
0, 1560.00000, -0.11628, -0.0382346, 3.75345E-014, 1.93382E-013, -1.54208E-013, 6.59515E-015, -3.58437E-007, 1.51461E-005
0, 1620.00000, -0.11628, -0.0382345, 6.15606E-013, 9.63805E-013, 3.50323E-013, 6.45715E-014, -3.57887E-007, 1.51482E-005
0, 1680.00000, -0.11628, -0.0382345, 1.74423E-013, 3.51393E-013, -2.62237E-013, 1.23837E-013, -3.57889E-007, 1.51482E-005
0, 1740.00000, -0.11628, -0.0382345, 1.04094E-012, 7.61795E-013, -5.67597E-013, 9.94306E-016, -3.57889E-007, 1.51482E-005
0, 1800.00000, -0.11628, -0.0382345, -2.04282E-013, -2.68724E-013, 1.90146E-013, -2.19618E-013, -3.57889E-007, 1.51482E-005
0, 1860.00000, -0.11628, -0.0382277, -3.1305E-013, -4.91403E-013, -1.29151E-013, 1.53881E-013, -2.11478E-007, 8.33005E-006
0, 1920.00000, -0.11628, -0.0382277, -8.8671E-013, 8.74157E-014, -2.47432E-013, -1.55482E-013, -2.12079E-007, 8.32727E-006
0, 1980.00000, -0.11628, -0.0382277, -1.75672E-013, -9.41573E-014, -1.07093E-012, -2.2066E-013, -2.12075E-007, 8.32725E-006
0, 2040.00000, -0.11628, -0.0382277, 1.1637E-013, 7.06466E-013, 1.84694E-014, 1.76918E-013, -2.12075E-007, 8.32725E-006
0, 2100.00000, -0.11628, -0.0382277, -2.06656E-013, 1.75143E-013, 1.53281E-013, -2.04782E-013, -2.12075E-007, 8.32725E-006
0, 2160.00000, -0.0872139, -0.0286738, -3.01494E-013, 2.65275E-013, 5.34289E-013, -1.83272E-013, 3.82006E-006, 9.20027E-006
0, 2220.00000, -0.0872138, -0.0286737, -3.63638E-013, 4.71641E-013, 3.06492E-014, -3.19147E-013, 3.82139E-006, 9.19898E-006
0, 2280.00000, -0.0872138, -0.0286737, 7.42339E-013, 1.88068E-013, -3.6934E-013, -5.88609E-014, 3.82141E-006, 9.19898E-006
0, 2340.00000, -0.0872138, -0.0286737, 1.73903E-013, 1.50101E-013, -9.36906E-013, -4.25044E-014, 3.82141E-006, 9.19898E-006
0, 2400.00000, -0.0872138, -0.0286737, -1.88324E-014, -1.52504E-013, 3.50356E-013, 8.58214E-014, 3.82141E-006, 9.19898E-006
0, 2460.00000, -0.0872092, -0.0286664, -8.00137E-013, -4.41295E-013, -9.65343E-013, -1.82135E-013, -7.52922E-007, 1.87968E-006
0, 2520.00000, -0.0872092, -0.0286664, 2.84923E-013, 5.06322E-013, -9.64422E-013, -1.80044E-013, -7.5249E-007, 1.87668E-006
0, 2580.00000, -0.0872092, -0.0286664, 5.04127E-014, 5.25357E-013, 8.04668E-013, 1.53284E-013, -7.52477E-007, 1.87666E-006
