hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.041348, -0.12619, -0.0217871, -0.119766, -0.0965581, -0.144349, 1.34711E-006, 6.14954E-008
0, 120.00000, -0.041345, -0.126209, -0.021786, -0.119775, -0.0965541, -0.144359, 1.34665E-006, 6.1479E-008
0, 180.00000, -0.041345, -0.126209, -0.021786, -0.119775, -0.0965541, -0.144359, 1.34665E-006, 6.1479E-008
0, 240.00000, -0.041345, -0.126209, -0.021786, -0.119775, -0.0965541, -0.144359, 1.34665E-006, 6.1479E-008
0, 300.00000, -0.041345, -0.126209, -0.021786, -0.119775, -0.0965541, -0.144359, 1.34665E-006, 6.1479E-008
0, 360.00000, -0.0315678, -0.122988, -0.125916, -0.153998, -0.0965409, -0.144362, 2.16513E-006, 1.75612E-007
0, 420.00000, -0.0315663, -0.122987, -0.125914, -0.154001, -0.0965433, -0.144361, 2.16535E-006, 1.75625E-007
0, 480.00000, -0.0315663, -0.122987, -0.125914, -0.154001, -0.0965433, -0.144361, 2.16535E-006, 1.75625E-007
0, 540.00000, -0.0315663, -0.122987, -0.125914, -0.154001, -0.0965433, -0.144361, 2.16535E-006, 1.75625E-007
0, 600.00000, -0.0315663, -0.122987, -0.125914, -0.154001, -0.0965433, -0.144361, 2.16535E-006, 1.75625E-007
0, 660.00000, -0.0640542, -0.133671, -0.0738398, -0.136893, -0.0836289, -0.140106, 7.70695E-008, 1.29602E-008
0, 720.00000, -0.0640557, -0.133673, -0.0738417, -0.136889, -0.083626, -0.140107, 7.69837E-008, 1.29526E-008
0, 780.00000, -0.0640557, -0.133673, -0.0738417, -0.136889, -0.083626, -0.140107, 7.69836E-008, 1.29525E-008
0, 840.00000, -0.0640557, -0.133673, -0.0738417, -0.136889, -0.083626, -0.140107, 7.69836E-008, 1.29525E-008
0, 900.00000, -0.0640557, -0.133673, -0.0738417, -0.136889, -0.083626, -0.140107, 7.69836E-008, 1.29525E-008
0, 960.00000, -0.0218002, -0.119661, -0.0835721, -0.140148, -0.116168, -0.150875, 2.09162E-006, 1.42797E-007
0, 1020.00000, -0.0217773, -0.119772, -0.0836335, -0.140103, -0.116119, -0.150794, 2.08605E-006, 1.42623E-007
0, 1080.00000, -0.0217776, -0.119773, -0.0836335, -0.140103, -0.116119, -0.150794, 2.08602E-006, 1.42621E-007
0, 1140.00000, -0.0217776, -0.119773, -0.0836335, -0.140103, -0.116119, -0.150794, 2.08602E-006, 1.42621E-007
0, 1200.00000, -0.0217776, -0.119773, -0.0836335, -0.140103, -0.116119, -0.150794, 2.08602E-006, 1.42621E-007
0, 1260.00000, -0.125907, -0.153998, -0.0738341, -0.136894, -0.0836311, -0.140104, 7.15656E-007, -1.82461E-008
