hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 219.014, -30.0531, 219.225, -150.086, 219.536, 89.9124, 0.00353183, 139.483, 0.173502, 131.752, 0.277341, 11.7202, 0.276951, -108.283, 0.10363, 131.85
0, 120.00000, 219.014, -30.0531, 219.225, -150.086, 219.536, 89.9124, 0.00353184, 139.484, 0.173502, 131.752, 0.277342, 11.7202, 0.276951, -108.283, 0.10363, 131.85
0, 180.00000, 219.014, -30.0531, 219.225, -150.086, 219.536, 89.9124, 0.00353184, 139.484, 0.173502, 131.752, 0.277342, 11.7202, 0.276951, -108.283, 0.10363, 131.85
0, 240.00000, 219.014, -30.0531, 219.225, -150.086, 219.536, 89.9124, 0.00353184, 139.484, 0.173502, 131.752, 0.277342, 11.7202, 0.276951, -108.283, 0.10363, 131.85
0, 300.00000, 219.014, -30.0531, 219.225, -150.086, 219.536, 89.9124, 0.00353184, 139.484, 0.173502, 131.752, 0.277342, 11.7202, 0.276951, -108.283, 0.10363, 131.85
0, 360.00000, 218.378, -30.0324, 219.156, -150.153, 219.774, 89.9483, 0.00144993, -98.7853, 0.278411, 131.773, 0.277432, 11.6524, 0.242069, -108.247, 0.0353519, -107.192
0, 420.00000, 218.377, -30.0324, 219.156, -150.153, 219.774, 89.9483, 0.00145014, -98.7735, 0.278418, 131.773, 0.277429, 11.6523, 0.242066, -108.247, 0.0353571, -107.178
0, 480.00000, 218.377, -30.0324, 219.156, -150.153, 219.774, 89.9483, 0.00145015, -98.7734, 0.278418, 131.773, 0.277429, 11.6523, 0.242066, -108.247, 0.0353571, -107.178
0, 540.00000, 218.377, -30.0324, 219.156, -150.153, 219.774, 89.9483, 0.00145015, -98.7734, 0.278418, 131.773, 0.277429, 11.6523, 0.242066, -108.247, 0.0353571, -107.178
0, 600.00000, 218.377, -30.0324, 219.156, -150.153, 219.774, 89.9483, 0.00145015, -98.7734, 0.278418, 131.773, 0.277429, 11.6523, 0.242066, -108.247, 0.0353571, -107.178
0, 660.00000, 218.832, -30.0796, 219.312, -150.073, 219.284, 89.9286, 0.00317497, 94.841, 0.208383, 131.725, 0.242574, 11.7325, 0.311922, -108.266, 0.0913581, 90.6582
0, 720.00000, 218.832, -30.0796, 219.312, -150.073, 219.284, 89.9286, 0.00317536, 94.842, 0.208377, 131.725, 0.242575, 11.7325, 0.311929, -108.266, 0.0913688, 90.6593
0, 780.00000, 218.832, -30.0796, 219.312, -150.073, 219.284, 89.9286, 0.00317537, 94.8421, 0.208377, 131.725, 0.242575, 11.7325, 0.311929, -108.266, 0.0913689, 90.6593
0, 840.00000, 218.832, -30.0796, 219.312, -150.073, 219.284, 89.9286, 0.00317537, 94.8421, 0.208377, 131.725, 0.242575, 11.7325, 0.311929, -108.266, 0.0913689, 90.6593
