hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 60.00000, -0.10784, 7.62724E-008, -1.75211E-008, 1.98756E-008
0, 120.00000, -0.10784, -2.04383E-008, -1.75162E-008, 1.98767E-008
0, 180.00000, -0.10784, -1.98821E-008, -1.75161E-008, 1.98768E-008
0, 240.00000, -0.10784, -1.98768E-008, -1.75161E-008, 1.98768E-008
0, 300.00000, -0.10784, -1.98768E-008, -1.75161E-008, 1.98768E-008
0, 360.00000, -0.107838, 7.07943E-008, -1.74999E-009, -2.98091E-010
0, 420.00000, -0.10784, 3.60223E-009, -1.81008E-009, -2.60434E-010
0, 480.00000, -0.10784, 3.08343E-010, -1.81069E-009, -2.60349E-010
0, 540.00000, -0.10784, 2.60856E-010, -1.81069E-009, -2.6035E-010
0, 600.00000, -0.10784, 2.60355E-010, -1.81069E-009, -2.6035E-010
0, 660.00000, -0.107841, 2.50715E-007, -1.99221E-008, 1.80762E-008
0, 720.00000, -0.10784, -1.86674E-008, -1.98767E-008, 1.80118E-008
0, 780.00000, -0.10784, -1.80417E-008, -1.98761E-008, 1.80114E-008
0, 840.00000, -0.10784, -1.80118E-008, -1.98761E-008, 1.80114E-008
0, 900.00000, -0.10784, -1.80114E-008, -1.98761E-008, 1.80114E-008
0, 960.00000, -0.10784, 2.64338E-007, 2.80083E-008, 7.41601E-008
0, 1020.00000, -0.10784, -6.85917E-008, 2.79866E-008, 7.41167E-008
0, 1080.00000, -0.10784, -7.40893E-008, 2.79866E-008, 7.4116E-008
0, 1140.00000, -0.10784, -7.4116E-008, 2.79866E-008, 7.4116E-008
0, 1200.00000, -0.10784, -7.4116E-008, 2.79866E-008, 7.4116E-008
0, 1260.00000, -0.107839, -1.01373E-006, -2.33603E-008, 6.60405E-008
0, 1320.00000, -0.10784, -7.11303E-008, -2.33592E-008, 6.6146E-008
0, 1380.00000, -0.10784, -6.61549E-008, -2.33595E-008, 6.61468E-008
0, 1440.00000, -0.10784, -6.61465E-008, -2.33595E-008, 6.61468E-008
0, 1500.00000, -0.10784, -6.61468E-008, -2.33595E-008, 6.61468E-008
0, 1560.00000, -0.10784, -6.85095E-007, 1.52356E-008, -2.2602E-008
0, 1620.00000, -0.10784, 1.66076E-008, 1.52778E-008, -2.25566E-008
0, 1680.00000, -0.10784, 2.25147E-008, 1.5278E-008, -2.25561E-008
0, 1740.00000, -0.10784, 2.25559E-008, 1.5278E-008, -2.25561E-008
0, 1800.00000, -0.10784, 2.25561E-008, 1.5278E-008, -2.25561E-008
0, 1860.00000, -0.107839, 7.34535E-007, -2.60381E-009, -7.10345E-010
0, 1920.00000, -0.10784, 7.01091E-009, -2.64718E-009, -7.61483E-010
0, 1980.00000, -0.10784, 8.05505E-010, -2.64737E-009, -7.62047E-010
0, 2040.00000, -0.10784, 7.62268E-010, -2.64737E-009, -7.62052E-010
0, 2100.00000, -0.10784, 7.62052E-010, -2.64737E-009, -7.62052E-010
0, 2160.00000, -0.107841, 4.63293E-007, 1.39314E-008, -2.21338E-008
0, 2220.00000, -0.10784, 2.37092E-008, 1.3946E-008, -2.21926E-008
0, 2280.00000, -0.10784, 2.21849E-008, 1.39463E-008, -2.2193E-008
0, 2340.00000, -0.10784, 2.21928E-008, 1.39463E-008, -2.2193E-008
0, 2400.00000, -0.10784, 2.2193E-008, 1.39463E-008, -2.2193E-008
0, 2460.00000, -0.10784, 1.1112E-006, 6.80728E-008, -1.61944E-008
0, 2520.00000, -0.10784, 2.39553E-008, 6.80324E-008, -1.62855E-008
0, 2580.00000, -0.10784, 1.63265E-008, 6.80324E-008, -1.62863E-008
0, 2640.00000, -0.10784, 1.62864E-008, 6.80324E-008, -1.62863E-008
0, 2700.00000, -0.10784, 1.62863E-008, 6.80324E-008, -1.62863E-008
0, 2760.00000, -0.107839, 3.55526E-007, -2.44111E-008, 6.64481E-008
0, 2820.00000, -0.10784, -6.147E-008, -2.44718E-008, 6.64465E-008
0, 2880.00000, -0.10784, -6.64E-008, -2.44722E-008, 6.64463E-008
0, 2940.00000, -0.10784, -6.6446E-008, -2.44722E-008, 6.64463E-008
0, 3000.00000, -0.10784, -6.64463E-008, -2.44722E-008, 6.64463E-008
0, 3060.00000, -0.107842, -1.3317E-006, 2.59168E-008, 3.15076E-009
0, 3120.00000, -0.10784, -1.72342E-008, 2.60583E-008, 3.19025E-009
0, 3180.00000, -0.10784, -3.31318E-009, 2.60592E-008, 3.19108E-009
0, 3240.00000, -0.10784, -3.19197E-009, 2.60592E-008, 3.19109E-009
0, 3300.00000, -0.10784, -3.1911E-009, 2.60592E-008, 3.19109E-009
0, 3360.00000, -0.10784, -1.29046E-006, -1.24101E-009, -2.91259E-009
0, 3420.00000, -0.10784, -7.0139E-009, -1.19204E-009, -2.80915E-009
0, 3480.00000, -0.10784, 2.74872E-009, -1.19195E-009, -2.80815E-009
0, 3540.00000, -0.10784, 2.80793E-009, -1.19196E-009, -2.80814E-009
1, 0.00000, -0.10784, 2.80814E-009, -1.19196E-009, -2.80814E-009
1, 60.00000, 0.0119215, 2.15515E-008, 2.88074E-009, 1.11822E-009
1, 120.00000, 0.0119211, -9.85505E-010, 2.8815E-009, 1.11582E-009
1, 180.00000, 0.0119211, -1.11211E-009, 2.88153E-009, 1.1158E-009
1, 240.00000, 0.0119211, -1.11574E-009, 2.88153E-009, 1.1158E-009
1, 300.00000, 0.0119211, -1.1158E-009, 2.88153E-009, 1.1158E-009
1, 360.00000, 0.0119208, 7.58629E-008, -1.57447E-009, -1.01E-008
1, 420.00000, 0.0119211, 9.20403E-009, -1.58467E-009, -1.00835E-008
1, 480.00000, 0.0119211, 1.00538E-008, -1.58489E-009, -1.00834E-008
1, 540.00000, 0.0119211, 1.00829E-008, -1.5849E-009, -1.00834E-008
1, 600.00000, 0.0119211, 1.00834E-008, -1.5849E-009, -1.00834E-008
1, 660.00000, 0.0119212, -4.01084E-008, -1.33466E-009, -2.1572E-009
1, 720.00000, 0.0119211, 2.44245E-009, -1.33049E-009, -2.16552E-009
1, 780.00000, 0.0119211, 2.17814E-009, -1.33039E-009, -2.16557E-009
1, 840.00000, 0.0119211, 2.16579E-009, -1.33038E-009, -2.16557E-009
1, 900.00000, 0.0119211, 2.16558E-009, -1.33038E-009, -2.16557E-009
1, 960.00000, 0.0119208, -8.50829E-008, 3.6828E-009, -4.12415E-009
1, 1020.00000, 0.0119211, 1.75616E-009, 3.66557E-009, -4.11923E-009
1, 1080.00000, 0.0119211, 4.08292E-009, 3.66534E-009, -4.1193E-009
1, 1140.00000, 0.0119211, 4.11891E-009, 3.66534E-009, -4.1193E-009
1, 1200.00000, 0.0119211, 4.1193E-009, 3.66534E-009, -4.1193E-009
1, 1260.00000, 0.0119215, -8.75492E-009, 1.77533E-009, -1.67353E-009
1, 1320.00000, 0.0119211, 3.24589E-009, 1.78987E-009, -1.68771E-009
1, 1380.00000, 0.0119211, 1.72277E-009, 1.79012E-009, -1.68776E-009
1, 1440.00000, 0.0119211, 1.68824E-009, 1.79013E-009, -1.68775E-009
1, 1500.00000, 0.0119211, 1.68776E-009, 1.79013E-009, -1.68775E-009
1, 1560.00000, 0.0119209, -1.05746E-007, -7.51798E-011, 5.44372E-010
1, 1620.00000, 0.0119211, -2.34395E-009, -8.73311E-011, 5.42854E-010
1, 1680.00000, 0.0119211, -5.63568E-010, -8.74511E-011, 5.42752E-010
1, 1740.00000, 0.0119211, -5.42898E-010, -8.74517E-011, 5.4275E-010
1, 1800.00000, 0.0119211, -5.4275E-010, -8.74517E-011, 5.4275E-010
1, 1860.00000, 0.0119209, 2.97359E-008, 2.42167E-009, 5.84624E-009
1, 1920.00000, 0.0119211, -6.44373E-009, 2.41504E-009, 5.85636E-009
1, 1980.00000, 0.0119211, -5.87522E-009, 2.4149E-009, 5.85642E-009
1, 2040.00000, 0.0119211, -5.85673E-009, 2.41489E-009, 5.85642E-009
1, 2100.00000, 0.0119211, -5.85642E-009, 2.41489E-009, 5.85642E-009
1, 2160.00000, 0.0119213, -1.20931E-008, -1.30081E-009, -2.00731E-009
1, 2220.00000, 0.0119211, 2.82984E-009, -1.29276E-009, -2.01618E-009
1, 2280.00000, 0.0119211, 2.03627E-009, -1.29261E-009, -2.01622E-009
1, 2340.00000, 0.0119211, 2.01651E-009, -1.29261E-009, -2.01622E-009
1, 2400.00000, 0.0119211, 2.01622E-009, -1.29261E-009, -2.01622E-009
1, 2460.00000, 0.0119222, -5.341E-007, -1.01815E-010, 6.25367E-010
1, 2520.00000, 0.0119211, -2.11464E-009, -9.41826E-011, 5.53392E-010
1, 2580.00000, 0.0119211, -4.91037E-010, -9.35547E-011, 5.52658E-010
1, 2640.00000, 0.0119211, -5.51089E-010, -9.35428E-011, 5.52655E-010
1, 2700.00000, 0.0119211, -5.52632E-010, -9.35426E-011, 5.52655E-010
1, 2760.00000, 0.011921, 5.53409E-008, 3.45778E-009, 8.71429E-009
1, 2820.00000, 0.0119211, -8.23084E-009, 3.45967E-009, 8.72027E-009
1, 2880.00000, 0.0119211, -8.72079E-009, 3.45965E-009, 8.72034E-009
1, 2940.00000, 0.0119211, -8.72044E-009, 3.45965E-009, 8.72035E-009
1, 3000.00000, 0.0119211, -8.72035E-009, 3.45965E-009, 8.72035E-009
1, 3060.00000, 0.011921, -2.60738E-008, 5.20828E-009, 6.3736E-009
1, 3120.00000, 0.0119211, -7.33279E-009, 5.20051E-009, 6.37808E-009
1, 3180.00000, 0.0119211, -6.39514E-009, 5.20039E-009, 6.37807E-009
1, 3240.00000, 0.0119211, -6.37828E-009, 5.20039E-009, 6.37807E-009
1, 3300.00000, 0.0119211, -6.37807E-009, 5.20039E-009, 6.37807E-009
