hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 60.00000, 0.1292, 0.0424657, -3.37089E-008, -1.60255E-008
0, 120.00000, 0.1292, 0.042466, -3.37104E-008, -1.60208E-008
0, 180.00000, 0.1292, 0.042466, -3.37104E-008, -1.60208E-008
0, 240.00000, 0.1292, 0.042466, -3.37104E-008, -1.60208E-008
0, 300.00000, 0.1292, 0.042466, -3.37104E-008, -1.60208E-008
0, 360.00000, 0.11305, 0.0371577, 2.38727E-008, -1.11736E-008
0, 420.00000, 0.11305, 0.0371577, 2.38741E-008, -1.11734E-008
0, 480.00000, 0.11305, 0.0371577, 2.38741E-008, -1.11734E-008
0, 540.00000, 0.11305, 0.0371577, 2.38741E-008, -1.11734E-008
0, 600.00000, 0.11305, 0.0371577, 2.38741E-008, -1.11734E-008
0, 660.00000, 0.1615, 0.0530824, -4.43683E-008, 6.2113E-008
0, 720.00000, 0.1615, 0.0530824, -4.43698E-008, 6.21125E-008
0, 780.00000, 0.1615, 0.0530824, -4.43698E-008, 6.21124E-008
0, 840.00000, 0.1615, 0.0530824, -4.43698E-008, 6.21124E-008
0, 900.00000, 0.1615, 0.0530824, -4.43698E-008, 6.21124E-008
0, 960.00000, 0.129201, 0.0424653, -3.02118E-009, 2.20116E-009
0, 1020.00000, 0.1292, 0.042466, -3.05507E-009, 2.22149E-009
0, 1080.00000, 0.1292, 0.042466, -3.05513E-009, 2.22145E-009
0, 1140.00000, 0.1292, 0.042466, -3.05513E-009, 2.22145E-009
0, 1200.00000, 0.1292, 0.042466, -3.05513E-009, 2.22145E-009
0, 1260.00000, 0.11305, 0.0371577, 2.95393E-008, -4.3E-008
0, 1320.00000, 0.11305, 0.0371578, 2.95429E-008, -4.29992E-008
0, 1380.00000, 0.11305, 0.0371578, 2.9543E-008, -4.29992E-008
0, 1440.00000, 0.11305, 0.0371578, 2.9543E-008, -4.29992E-008
0, 1500.00000, 0.11305, 0.0371578, 2.9543E-008, -4.29992E-008
0, 1560.00000, 0.11305, 0.0371578, -2.33883E-008, -4.46824E-008
0, 1620.00000, 0.11305, 0.0371578, -2.33893E-008, -4.46807E-008
0, 1680.00000, 0.11305, 0.0371578, -2.33893E-008, -4.46807E-008
0, 1740.00000, 0.11305, 0.0371578, -2.33893E-008, -4.46807E-008
0, 1800.00000, 0.11305, 0.0371578, -2.33893E-008, -4.46807E-008
0, 1860.00000, 0.1292, 0.0424659, 4.79853E-008, 1.08944E-007
0, 1920.00000, 0.1292, 0.0424659, 4.79841E-008, 1.08944E-007
0, 1980.00000, 0.1292, 0.0424659, 4.79841E-008, 1.08944E-007
0, 2040.00000, 0.1292, 0.0424659, 4.79841E-008, 1.08944E-007
