hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 224.342, -30.1686, 224.34, -150.191, 224.489, 89.8211, 0.0242791, 34.3958, 0.545631, 131.631, 2.12007E-012, -179.62, 2.61398E-012, -115.245, 0.545631, -48.369
0, 120.00000, 224.342, -30.1685, 224.339, -150.191, 224.489, 89.8211, 0.0243099, 34.442, 0.545622, 131.631, 3.2713E-012, 126.217, 2.45474E-012, 58.0189, 0.545622, -48.369
0, 180.00000, 224.342, -30.1685, 224.339, -150.191, 224.489, 89.8211, 0.0243096, 34.4431, 0.545622, 131.631, 7.77769E-013, 149.87, 1.48457E-012, 104.97, 0.545622, -48.369
0, 240.00000, 224.342, -30.1685, 224.339, -150.191, 224.489, 89.8211, 0.0243096, 34.4431, 0.545622, 131.631, 2.86098E-012, 4.29741, 2.62664E-012, -108.611, 0.545622, -48.369
0, 300.00000, 224.342, -30.1685, 224.339, -150.191, 224.489, 89.8211, 0.0243096, 34.4431, 0.545622, 131.631, 4.93806E-013, 85.0925, 3.18842E-012, -89.7616, 0.545622, -48.369
0, 360.00000, 224.319, -30.1731, 224.288, -150.197, 224.464, 89.8084, 0.021859, 19.6932, 0.613894, 131.628, 2.19619E-012, -166.433, 8.65679E-013, -140.73, 0.613894, -48.3722
0, 420.00000, 224.319, -30.173, 224.288, -150.197, 224.464, 89.8083, 0.0218637, 19.677, 0.613896, 131.628, 4.1283E-012, 116.909, 1.56194E-012, -115.901, 0.613896, -48.3722
0, 480.00000, 224.319, -30.173, 224.288, -150.197, 224.464, 89.8083, 0.0218638, 19.6771, 0.613896, 131.628, 4.21743E-012, -175.932, 1.38547E-012, 136.021, 0.613896, -48.3722
0, 540.00000, 224.319, -30.173, 224.288, -150.197, 224.464, 89.8083, 0.0218638, 19.6771, 0.613896, 131.628, 1.18336E-012, 117.13, 2.7664E-012, -55.55, 0.613896, -48.3722
0, 600.00000, 224.319, -30.173, 224.288, -150.197, 224.464, 89.8083, 0.0218638, 19.6771, 0.613896, 131.628, 1.89179E-012, -174.036, 3.6817E-012, -63.6702, 0.613896, -48.3722
0, 660.00000, 224.327, -30.1746, 224.356, -150.192, 224.485, 89.818, 0.01858, 44.9645, 0.47743, 131.626, 1.06702E-012, -87.0955, 1.99389E-012, -106.732, 0.47743, -48.374
0, 720.00000, 224.328, -30.1746, 224.356, -150.192, 224.485, 89.8179, 0.0185642, 44.8132, 0.477436, 131.626, 1.48213E-012, -119.247, 1.61965E-012, -126.688, 0.477436, -48.3741
0, 780.00000, 224.328, -30.1746, 224.356, -150.192, 224.485, 89.8179, 0.0185649, 44.8119, 0.477437, 131.626, 1.69424E-012, 54.0872, 9.40819E-013, 145.548, 0.477437, -48.3741
0, 840.00000, 224.328, -30.1746, 224.356, -150.192, 224.485, 89.8179, 0.0185649, 44.812, 0.477437, 131.626, 3.10494E-012, -140.6, 9.82684E-013, 11.2052, 0.477437, -48.3741
0, 900.00000, 224.328, -30.1746, 224.356, -150.192, 224.485, 89.8179, 0.0185649, 44.812, 0.477437, 131.626, 3.79746E-012, 101.838, 5.56867E-012, -89.8952, 0.477437, -48.3741
0, 960.00000, 224.408, -30.1685, 224.288, -150.192, 224.443, 89.8017, 0.0229144, 6.24563, 0.477294, 131.633, 1.26915E-012, 15.438, 5.42836E-012, -104.398, 0.477294, -48.3668
0, 1020.00000, 224.408, -30.1685, 224.288, -150.192, 224.443, 89.8017, 0.0229131, 6.21869, 0.477295, 131.633, 3.50186E-012, 148.141, 1.78744E-012, -131.776, 0.477295, -48.3669
0, 1080.00000, 224.408, -30.1685, 224.288, -150.192, 224.443, 89.8017, 0.0229133, 6.21859, 0.477295, 131.633, 4.73903E-013, -130.066, 1.32369E-012, -155.578, 0.477295, -48.3669
0, 1140.00000, 224.408, -30.1685, 224.288, -150.192, 224.443, 89.8017, 0.0229133, 6.2186, 0.477295, 131.633, 1.42386E-012, -72.4675, 1.80122E-012, 96.5832, 0.477295, -48.3669
0, 1200.00000, 224.408, -30.1685, 224.288, -150.192, 224.443, 89.8017, 0.0229133, 6.2186, 0.477295, 131.633, 1.73522E-012, -164.666, 1.63179E-012, -62.7446, 0.477295, -48.3669
0, 1260.00000, 224.311, -30.1689, 224.288, -150.203, 224.484, 89.8143, 0.0301545, 24.6083, 0.4775, 131.63, 4.55853E-012, 135.826, 2.96942E-012, -73.2772, 0.4775, -48.3701
0, 1320.00000, 224.311, -30.1689, 224.288, -150.203, 224.484, 89.8143, 0.0301672, 24.6279, 0.477499, 131.63, 1.95515E-012, -19.4103, 2.27664E-012, -152.168, 0.477499, -48.37
0, 1380.00000, 224.311, -30.1689, 224.288, -150.203, 224.484, 89.8143, 0.0301671, 24.6283, 0.477499, 131.63, 1.43299E-012, 48.3731, 7.06268E-013, 162.754, 0.477499, -48.37
0, 1440.00000, 224.311, -30.1689, 224.288, -150.203, 224.484, 89.8143, 0.0301671, 24.6283, 0.477499, 131.63, 5.35639E-012, 177.201, 3.98413E-012, -122.07, 0.477499, -48.37
0, 1500.00000, 224.311, -30.1689, 224.288, -150.203, 224.484, 89.8143, 0.0301671, 24.6283, 0.477499, 131.63, 1.65716E-012, 98.1537, 3.16252E-012, -88.607, 0.477499, -48.37
0, 1560.00000, 224.358, -30.1733, 224.39, -150.189, 224.491, 89.8243, 0.0262601, 36.3816, 0.545584, 131.626, 1.56053E-012, 14.1999, 1.34772E-012, 152.128, 0.545584, -48.3743
