hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 222.425, -29.8969, 222.281, -149.974, 222.833, 90.022, 0.000265845, 57.5373, 0.971118, 131.909, 1.13379, 11.8313, 1.45384, -108.173, 0.251662, 126.675
0, 120.00000, 222.423, -29.8963, 222.28, -149.974, 222.834, 90.0223, 0.000265961, 57.5183, 0.971123, 131.909, 1.1337, 11.8309, 1.45399, -108.173, 0.251763, 126.66
0, 180.00000, 222.423, -29.8963, 222.28, -149.974, 222.834, 90.0223, 0.000265963, 57.5186, 0.971121, 131.909, 1.1337, 11.8309, 1.454, -108.173, 0.251764, 126.66
0, 240.00000, 222.423, -29.8963, 222.28, -149.974, 222.834, 90.0223, 0.000265963, 57.5186, 0.971121, 131.909, 1.1337, 11.8309, 1.454, -108.173, 0.251764, 126.66
0, 300.00000, 222.423, -29.8963, 222.28, -149.974, 222.834, 90.0223, 0.000265963, 57.5186, 0.971121, 131.909, 1.1337, 11.8309, 1.454, -108.173, 0.251764, 126.66
0, 360.00000, 222.364, -29.8544, 221.856, -149.997, 222.987, 89.9889, 2.60178E-005, -119.561, 1.45704, 131.951, 1.46042, 11.8081, 1.45303, -108.206, 0.0233596, 61.0456
0, 420.00000, 222.364, -29.8544, 221.856, -149.997, 222.987, 89.9888, 2.6048E-005, -119.523, 1.45707, 131.951, 1.46041, 11.8078, 1.453, -108.206, 0.023365, 60.9741
0, 480.00000, 222.364, -29.8544, 221.856, -149.997, 222.987, 89.9888, 2.60478E-005, -119.522, 1.45707, 131.951, 1.46041, 11.8078, 1.453, -108.206, 0.0233655, 60.9741
0, 540.00000, 222.364, -29.8544, 221.856, -149.997, 222.987, 89.9888, 2.60478E-005, -119.522, 1.45707, 131.951, 1.46041, 11.8078, 1.453, -108.206, 0.0233655, 60.9741
0, 600.00000, 222.364, -29.8544, 221.856, -149.997, 222.987, 89.9888, 2.60478E-005, -119.522, 1.45707, 131.951, 1.46041, 11.8078, 1.453, -108.206, 0.0233655, 60.9741
