hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0881609, -0.0289758, -0.077146, -0.0253564, -0.0771312, -0.0253515, -1.24508E-010, -1.46449E-009
0, 120.00000, -0.0881602, -0.0289768, -0.0771399, -0.0253547, -0.0771399, -0.0253547, -1.24537E-010, -1.4642E-009
0, 180.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.07714, -0.0253547, -1.2454E-010, -1.46414E-009
0, 240.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.07714, -0.0253547, -1.2454E-010, -1.46414E-009
0, 300.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.07714, -0.0253547, -1.2454E-010, -1.46414E-009
0, 360.00000, -0.0881574, -0.028976, -0.0771409, -0.0253549, -0.0881616, -0.0289775, -2.35209E-011, -1.36301E-009
0, 420.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.08816, -0.0289768, -2.35678E-011, -1.36335E-009
0, 480.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.08816, -0.0289768, -2.35663E-011, -1.36337E-009
0, 540.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.08816, -0.0289768, -2.35663E-011, -1.36337E-009
0, 600.00000, -0.08816, -0.0289768, -0.07714, -0.0253547, -0.08816, -0.0289768, -2.35663E-011, -1.36337E-009
0, 660.00000, -0.0771293, -0.0253509, -0.0881542, -0.0289727, -0.0991931, -0.0326035, 9.79131E-010, -2.89958E-009
0, 720.00000, -0.0771398, -0.0253546, -0.0881602, -0.0289768, -0.09918, -0.0325989, 9.77697E-010, -2.89309E-009
0, 780.00000, -0.07714, -0.0253547, -0.08816, -0.0289768, -0.09918, -0.0325989, 9.7768E-010, -2.89306E-009
0, 840.00000, -0.07714, -0.0253547, -0.08816, -0.0289768, -0.09918, -0.0325989, 9.7768E-010, -2.89306E-009
0, 900.00000, -0.07714, -0.0253547, -0.08816, -0.0289768, -0.09918, -0.0325989, 9.7768E-010, -2.89306E-009
0, 960.00000, -0.0661187, -0.0217318, -0.110198, -0.0362194, -0.110204, -0.0362222, 4.72734E-009, -1.6171E-008
0, 1020.00000, -0.0661199, -0.0217326, -0.1102, -0.0362209, -0.1102, -0.036221, 4.72707E-009, -1.61696E-008
0, 1080.00000, -0.06612, -0.0217326, -0.1102, -0.0362209, -0.1102, -0.036221, 4.72706E-009, -1.61695E-008
0, 1140.00000, -0.06612, -0.0217326, -0.1102, -0.0362209, -0.1102, -0.036221, 4.72706E-009, -1.61695E-008
0, 1200.00000, -0.06612, -0.0217326, -0.1102, -0.0362209, -0.1102, -0.036221, 4.72706E-009, -1.61695E-008
0, 1260.00000, -0.110201, -0.03622, -0.0991839, -0.0326009, -0.066116, -0.0217312, 1.76643E-009, -1.53723E-008
0, 1320.00000, -0.1102, -0.0362209, -0.09918, -0.0325989, -0.0661199, -0.0217326, 1.76589E-009, -1.53692E-008
0, 1380.00000, -0.1102, -0.0362209, -0.0991801, -0.0325989, -0.06612, -0.0217326, 1.76588E-009, -1.53692E-008
0, 1440.00000, -0.1102, -0.0362209, -0.0991801, -0.0325989, -0.06612, -0.0217326, 1.76588E-009, -1.53692E-008
0, 1500.00000, -0.1102, -0.0362209, -0.0991801, -0.0325989, -0.06612, -0.0217326, 1.76588E-009, -1.53692E-008
0, 1560.00000, -0.0771437, -0.0253559, -0.0771377, -0.0253541, -0.0771389, -0.0253542, -4.50786E-011, -2.59718E-012
0, 1620.00000, -0.07714, -0.0253547, -0.07714, -0.0253547, -0.07714, -0.0253547, -4.49443E-011, -2.42724E-012
0, 1680.00000, -0.07714, -0.0253547, -0.07714, -0.0253547, -0.07714, -0.0253547, -4.49442E-011, -2.42661E-012
0, 1740.00000, -0.07714, -0.0253547, -0.07714, -0.0253547, -0.07714, -0.0253547, -4.49442E-011, -2.42666E-012
0, 1800.00000, -0.07714, -0.0253547, -0.07714, -0.0253547, -0.07714, -0.0253547, -4.49442E-011, -2.42666E-012
0, 1860.00000, -0.0771332, -0.0253526, -0.0881696, -0.0289799, -0.0661209, -0.0217325, 6.17707E-010, -3.16485E-009
0, 1920.00000, -0.0771401, -0.0253547, -0.0881601, -0.0289768, -0.0661199, -0.0217326, 6.16829E-010, -3.16261E-009
0, 1980.00000, -0.07714, -0.0253547, -0.08816, -0.0289768, -0.06612, -0.0217326, 6.16821E-010, -3.16256E-009
0, 2040.00000, -0.07714, -0.0253547, -0.08816, -0.0289768, -0.06612, -0.0217326, 6.16821E-010, -3.16256E-009
