hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0361002, -0.0118655, -0.0577626, -0.0189845, -0.0577597, -0.0189853, 3.5896E-007, 4.80272E-008
0, 120.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.58963E-007, 4.80236E-008
0, 180.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.58964E-007, 4.80236E-008
0, 240.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.58964E-007, 4.80236E-008
0, 300.00000, -0.0360994, -0.0118654, -0.0577606, -0.018984, -0.0577604, -0.0189857, 3.58964E-007, 4.80236E-008
0, 360.00000, -0.0577602, -0.0189842, -0.0577608, -0.0189854, -0.0505392, -0.0166115, 4.96967E-008, 7.38143E-009
0, 420.00000, -0.0577603, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 4.96897E-008, 7.38026E-009
0, 480.00000, -0.0577602, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 4.96896E-008, 7.38026E-009
0, 540.00000, -0.0577602, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 4.96896E-008, 7.38026E-009
0, 600.00000, -0.0577602, -0.0189845, -0.0577601, -0.0189852, -0.0505397, -0.0166116, 4.96896E-008, 7.38026E-009
0, 660.00000, -0.0433134, -0.0142365, -0.0505486, -0.016614, -0.0649807, -0.0213599, 2.86884E-007, 2.09646E-008
0, 720.00000, -0.0433195, -0.014239, -0.05054, -0.016611, -0.0649808, -0.0213583, 2.86778E-007, 2.0945E-008
0, 780.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.8678E-007, 2.09451E-008
0, 840.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.8678E-007, 2.09451E-008
0, 900.00000, -0.0433195, -0.014239, -0.0505399, -0.0166109, -0.0649809, -0.0213583, 2.8678E-007, 2.09451E-008
0, 960.00000, -0.0505398, -0.0166113, -0.0577605, -0.0189849, -0.0505398, -0.0166119, 4.39099E-008, 1.37233E-008
0, 1020.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.3908E-008, 1.37229E-008
0, 1080.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.3908E-008, 1.37229E-008
0, 1140.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.3908E-008, 1.37229E-008
0, 1200.00000, -0.0505399, -0.0166114, -0.0577604, -0.0189849, -0.0505398, -0.0166119, 4.3908E-008, 1.37229E-008
0, 1260.00000, -0.0577598, -0.0189842, -0.0577609, -0.0189854, -0.0505396, -0.0166116, 5.35381E-008, 8.28243E-009
0, 1320.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.35383E-008, 8.28111E-009
0, 1380.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.35382E-008, 8.2811E-009
0, 1440.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.35382E-008, 8.2811E-009
0, 1500.00000, -0.0577603, -0.0189845, -0.0577602, -0.0189852, -0.0505396, -0.0166116, 5.35382E-008, 8.2811E-009
0, 1560.00000, -0.0505397, -0.0166111, -0.0577605, -0.0189852, -0.0433199, -0.0142389, 1.43806E-007, 2.50883E-008
0, 1620.00000, -0.0505401, -0.0166111, -0.0577605, -0.0189852, -0.0433195, -0.0142388, 1.43811E-007, 2.50884E-008
