hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.113716, -0.0373764, -0.146207, -0.0480557, -0.12996, -0.0427156, 2.30718E-009, -5.16896E-009
0, 120.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.12996, -0.0427158, 2.30712E-009, -5.16873E-009
0, 180.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.12996, -0.0427158, 2.30712E-009, -5.16873E-009
0, 240.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.12996, -0.0427158, 2.30712E-009, -5.16873E-009
0, 300.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.12996, -0.0427158, 2.30712E-009, -5.16873E-009
0, 360.00000, -0.12996, -0.0427155, -0.129961, -0.042716, -0.0812247, -0.0266972, 3.53941E-009, -1.97226E-008
0, 420.00000, -0.12996, -0.0427157, -0.12996, -0.0427159, -0.0812249, -0.0266974, 3.53934E-009, -1.97224E-008
0, 480.00000, -0.12996, -0.0427157, -0.12996, -0.0427159, -0.0812249, -0.0266974, 3.53934E-009, -1.97224E-008
0, 540.00000, -0.12996, -0.0427157, -0.12996, -0.0427159, -0.0812249, -0.0266974, 3.53934E-009, -1.97224E-008
0, 600.00000, -0.12996, -0.0427157, -0.12996, -0.0427159, -0.0812249, -0.0266974, 3.53934E-009, -1.97224E-008
0, 660.00000, -0.129958, -0.0427144, -0.146216, -0.0480586, -0.129954, -0.0427145, 7.04167E-010, -1.51733E-009
0, 720.00000, -0.12996, -0.0427158, -0.146205, -0.0480553, -0.12996, -0.0427158, 7.03112E-010, -1.51407E-009
0, 780.00000, -0.12996, -0.0427158, -0.146205, -0.0480552, -0.12996, -0.0427158, 7.0311E-010, -1.51406E-009
0, 840.00000, -0.12996, -0.0427158, -0.146205, -0.0480552, -0.12996, -0.0427158, 7.0311E-010, -1.51406E-009
0, 900.00000, -0.12996, -0.0427158, -0.146205, -0.0480552, -0.12996, -0.0427158, 7.0311E-010, -1.51406E-009
0, 960.00000, -0.178695, -0.0587341, -0.12996, -0.0427159, -0.12996, -0.0427157, 2.70614E-009, -2.15228E-008
0, 1020.00000, -0.178695, -0.0587341, -0.12996, -0.0427159, -0.12996, -0.0427157, 2.70615E-009, -2.15229E-008
0, 1080.00000, -0.178695, -0.0587341, -0.12996, -0.0427159, -0.12996, -0.0427157, 2.70616E-009, -2.15229E-008
0, 1140.00000, -0.178695, -0.0587341, -0.12996, -0.0427159, -0.12996, -0.0427157, 2.70616E-009, -2.15229E-008
0, 1200.00000, -0.178695, -0.0587341, -0.12996, -0.0427159, -0.12996, -0.0427157, 2.70616E-009, -2.15229E-008
0, 1260.00000, -0.113715, -0.0373762, -0.146205, -0.0480553, -0.146205, -0.0480555, 3.09085E-009, -7.26326E-009
0, 1320.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.146205, -0.0480553, 3.09075E-009, -7.26298E-009
0, 1380.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.146205, -0.0480553, 3.09075E-009, -7.26299E-009
0, 1440.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.146205, -0.0480553, 3.09075E-009, -7.26299E-009
0, 1500.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.146205, -0.0480553, 3.09075E-009, -7.26299E-009
0, 1560.00000, -0.113715, -0.0373762, -0.113715, -0.0373763, -0.0974703, -0.0320369, 2.01767E-010, -2.24716E-009
0, 1620.00000, -0.113715, -0.0373763, -0.113715, -0.0373763, -0.09747, -0.0320369, 2.01786E-010, -2.24731E-009
0, 1680.00000, -0.113715, -0.0373763, -0.113715, -0.0373763, -0.09747, -0.0320369, 2.01786E-010, -2.24731E-009
0, 1740.00000, -0.113715, -0.0373763, -0.113715, -0.0373763, -0.09747, -0.0320369, 2.01786E-010, -2.24731E-009
0, 1800.00000, -0.113715, -0.0373763, -0.113715, -0.0373763, -0.09747, -0.0320369, 2.01786E-010, -2.24731E-009
0, 1860.00000, -0.113706, -0.0373735, -0.146209, -0.0480564, -0.113712, -0.0373751, 2.509E-009, -7.42196E-009
0, 1920.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.113715, -0.0373764, 2.50726E-009, -7.41667E-009
0, 1980.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.113715, -0.0373764, 2.50726E-009, -7.41664E-009
0, 2040.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.113715, -0.0373764, 2.50726E-009, -7.41664E-009
0, 2100.00000, -0.113715, -0.0373763, -0.146205, -0.0480552, -0.113715, -0.0373764, 2.50726E-009, -7.41664E-009
0, 2160.00000, -0.0974728, -0.0320379, -0.113723, -0.0373794, -0.0974672, -0.0320357, 6.76311E-010, -1.66188E-009
0, 2220.00000, -0.09747, -0.0320368, -0.113715, -0.0373763, -0.09747, -0.0320369, 6.75791E-010, -1.65988E-009
0, 2280.00000, -0.09747, -0.0320368, -0.113715, -0.0373763, -0.09747, -0.0320369, 6.75789E-010, -1.65987E-009
0, 2340.00000, -0.09747, -0.0320368, -0.113715, -0.0373763, -0.09747, -0.0320369, 6.75789E-010, -1.65987E-009
0, 2400.00000, -0.09747, -0.0320368, -0.113715, -0.0373763, -0.09747, -0.0320369, 6.75789E-010, -1.65987E-009
0, 2460.00000, -0.146205, -0.0480553, -0.12996, -0.0427158, -0.113715, -0.0373762, 5.8256E-010, -7.23495E-009
0, 2520.00000, -0.146205, -0.0480552, -0.12996, -0.0427158, -0.113715, -0.0373763, 5.82519E-010, -7.23466E-009
0, 2580.00000, -0.146205, -0.0480552, -0.12996, -0.0427158, -0.113715, -0.0373763, 5.82519E-010, -7.23466E-009
0, 2640.00000, -0.146205, -0.0480552, -0.12996, -0.0427158, -0.113715, -0.0373763, 5.82519E-010, -7.23466E-009
0, 2700.00000, -0.146205, -0.0480552, -0.12996, -0.0427158, -0.113715, -0.0373763, 5.82519E-010, -7.23466E-009
0, 2760.00000, -0.113715, -0.0373763, -0.146205, -0.0480553, -0.12996, -0.0427157, 2.27587E-009, -5.05673E-009
