hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -13.3123, -6.10154, -13.23, -6.08222, -12.6552, -5.8902, -0.000105901, 4.82848E-006
0, 120.00000, -13.3122, -6.10348, -13.2302, -6.08272, -12.6548, -5.89104, -0.000106334, 4.83548E-006
0, 180.00000, -13.3122, -6.10348, -13.2302, -6.08271, -12.6548, -5.89105, -0.000106336, 4.83762E-006
0, 240.00000, -13.3122, -6.10348, -13.2302, -6.08271, -12.6548, -5.89105, -0.000106335, 4.83763E-006
0, 300.00000, -13.3122, -6.10348, -13.2302, -6.08271, -12.6548, -5.89105, -0.000106335, 4.83763E-006
0, 360.00000, -13.745, -6.24209, -13.5472, -6.18861, -13.2725, -6.09188, -5.5155E-005, 1.43755E-005
0, 420.00000, -13.7449, -6.24212, -13.5473, -6.18875, -13.2726, -6.09173, -5.5124E-005, 1.43442E-005
0, 480.00000, -13.7449, -6.24212, -13.5473, -6.18875, -13.2726, -6.09173, -5.51249E-005, 1.4344E-005
0, 540.00000, -13.7449, -6.24212, -13.5473, -6.18875, -13.2726, -6.09173, -5.51249E-005, 1.4344E-005
0, 600.00000, -13.7449, -6.24212, -13.5473, -6.18875, -13.2726, -6.09173, -5.51249E-005, 1.4344E-005
0, 660.00000, -13.594, -6.19616, -13.1888, -6.06696, -12.9462, -5.98632, -8.49141E-005, 3.00877E-005
0, 720.00000, -13.5935, -6.19601, -13.1885, -6.06825, -12.9467, -5.98572, -8.43975E-005, 2.99254E-005
0, 780.00000, -13.5935, -6.19602, -13.1885, -6.06825, -12.9467, -5.9857, -8.4399E-005, 2.99227E-005
0, 840.00000, -13.5935, -6.19602, -13.1885, -6.06825, -12.9467, -5.9857, -8.43991E-005, 2.99227E-005
0, 900.00000, -13.5935, -6.19602, -13.1885, -6.06825, -12.9467, -5.9857, -8.43991E-005, 2.99227E-005
0, 960.00000, -13.3084, -6.1022, -13.6689, -6.22418, -13.3349, -6.11487, -2.73022E-005, -2.80701E-005
0, 1020.00000, -13.3083, -6.10201, -13.6689, -6.2244, -13.335, -6.11486, -2.7255E-005, -2.80824E-005
0, 1080.00000, -13.3083, -6.10201, -13.6689, -6.2244, -13.335, -6.11486, -2.72559E-005, -2.80831E-005
0, 1140.00000, -13.3083, -6.10201, -13.6689, -6.2244, -13.335, -6.11486, -2.72559E-005, -2.80831E-005
0, 1200.00000, -13.3083, -6.10201, -13.6689, -6.2244, -13.335, -6.11486, -2.72559E-005, -2.80831E-005
0, 1260.00000, -13.5097, -6.16253, -13.8305, -6.2828, -13.0013, -6.00558, -0.000127925, -2.59825E-005
