Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
1,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
2,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
3,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
4,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
5,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
6,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
7,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
8,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
9,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
10,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
11,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
12,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
13,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
14,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
15,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
16,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
17,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
18,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
19,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
20,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
21,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
22,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
23,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
24,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
25,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
26,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
27,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
28,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
29,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
30,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
31,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
32,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
33,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
34,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
35,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
36,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
37,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
38,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
39,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
40,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
41,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
42,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
43,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
44,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
45,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
46,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
47,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
48,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
49,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
50,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
