hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0418954, -0.0137697, -0.0658367, -0.0216394, -0.0359098, -0.0118035, 4.44858E-007, 4.61734E-008
0, 120.00000, -0.0418948, -0.0137696, -0.065836, -0.0216392, -0.0359096, -0.0118034, 4.44848E-007, 4.61718E-008
0, 180.00000, -0.0418948, -0.0137696, -0.065836, -0.0216392, -0.0359096, -0.0118034, 4.44848E-007, 4.61718E-008
0, 240.00000, -0.0418948, -0.0137696, -0.065836, -0.0216392, -0.0359096, -0.0118034, 4.44848E-007, 4.61718E-008
0, 300.00000, -0.0418948, -0.0137696, -0.065836, -0.0216392, -0.0359096, -0.0118034, 4.44848E-007, 4.61718E-008
0, 360.00000, -0.0478789, -0.015737, -0.0359115, -0.0118038, -0.0418941, -0.01377, 6.10217E-008, 1.18939E-008
0, 420.00000, -0.0478802, -0.0157376, -0.0359098, -0.0118031, -0.041895, -0.01377, 6.10448E-008, 1.19034E-008
0, 480.00000, -0.0478802, -0.0157376, -0.0359098, -0.0118031, -0.041895, -0.01377, 6.10448E-008, 1.19034E-008
0, 540.00000, -0.0478802, -0.0157376, -0.0359098, -0.0118031, -0.041895, -0.01377, 6.10448E-008, 1.19034E-008
0, 600.00000, -0.0478802, -0.0157376, -0.0359098, -0.0118031, -0.041895, -0.01377, 6.10448E-008, 1.19034E-008
0, 660.00000, -0.0598519, -0.0196722, -0.0478793, -0.0157373, -0.0478795, -0.0157366, 8.48216E-008, -1.29876E-009
0, 720.00000, -0.0598504, -0.0196717, -0.0478798, -0.0157377, -0.0478798, -0.0157371, 8.47994E-008, -1.30511E-009
0, 780.00000, -0.0598504, -0.0196717, -0.0478798, -0.0157377, -0.0478798, -0.0157371, 8.47994E-008, -1.30511E-009
0, 840.00000, -0.0598504, -0.0196717, -0.0478798, -0.0157377, -0.0478798, -0.0157371, 8.47994E-008, -1.30511E-009
0, 900.00000, -0.0598504, -0.0196717, -0.0478798, -0.0157377, -0.0478798, -0.0157371, 8.47994E-008, -1.30511E-009
