hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.116282, -0.0382333, -1.91058E-014, 6.60415E-013, 1.38847E-013, -4.30662E-013, 1.00934E-006, 1.34996E-005
0, 120.00000, -0.116281, -0.0382329, -4.04251E-013, 4.34872E-013, 7.01566E-013, 9.08514E-014, 1.00667E-006, 1.35042E-005
0, 180.00000, -0.116281, -0.0382329, 2.94399E-014, -1.26885E-013, -1.48569E-013, -2.40752E-013, 1.00664E-006, 1.35042E-005
0, 240.00000, -0.116281, -0.0382329, 8.70999E-014, -1.035E-013, 2.61758E-014, -2.65855E-013, 1.00664E-006, 1.35042E-005
0, 300.00000, -0.116281, -0.0382329, -4.14809E-013, -2.23386E-013, -6.0313E-015, -3.61302E-013, 1.00664E-006, 1.35042E-005
0, 360.00000, -0.130819, -0.0430095, -1.70402E-013, -4.78762E-013, 5.14456E-013, -2.79593E-013, 4.30797E-006, 1.28509E-005
0, 420.00000, -0.130819, -0.0430097, 2.65249E-013, 6.30677E-013, -2.00097E-013, -3.65103E-013, 4.29563E-006, 1.28526E-005
0, 480.00000, -0.130819, -0.0430097, -1.85329E-013, 2.05429E-013, 5.37618E-014, -2.17205E-013, 4.29562E-006, 1.28525E-005
0, 540.00000, -0.130819, -0.0430097, 1.03736E-012, 2.43341E-013, -8.03009E-014, 9.43991E-014, 4.29562E-006, 1.28525E-005
0, 600.00000, -0.130819, -0.0430097, 7.98679E-013, 9.32022E-013, 7.76764E-014, -2.87563E-013, 4.29562E-006, 1.28525E-005
0, 660.00000, -0.101744, -0.0334509, -1.89365E-013, 1.44253E-013, -1.46737E-013, 1.8175E-013, -1.07193E-006, 9.15298E-006
0, 720.00000, -0.101744, -0.0334511, 5.91622E-014, -3.7484E-013, -2.62816E-013, -3.41669E-013, -1.06179E-006, 9.1525E-006
0, 780.00000, -0.101744, -0.0334511, 9.5729E-013, 2.87566E-013, -1.08363E-013, 4.7253E-013, -1.06178E-006, 9.15257E-006
0, 840.00000, -0.101744, -0.0334511, -3.79525E-013, -5.58306E-015, -4.48743E-013, -6.35278E-014, -1.06179E-006, 9.15257E-006
0, 900.00000, -0.101744, -0.0334511, -4.4423E-013, -1.65996E-013, -3.21003E-013, -1.3767E-013, -1.06179E-006, 9.15257E-006
0, 960.00000, -0.101751, -0.0334511, -9.77488E-014, 1.75673E-014, -7.19894E-013, 1.86175E-013, 5.79384E-006, 9.21204E-006
