hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 60.00000, -0.0669599, -0.126138, -0.0473949, -0.119749, -0.122193, -0.144322, 1.34149E-006, 5.32944E-008
0, 120.00000, -0.0669705, -0.12621, -0.0474107, -0.119774, -0.122184, -0.144358, 1.33909E-006, 5.31934E-008
0, 180.00000, -0.0669706, -0.12621, -0.0474107, -0.119774, -0.122184, -0.144359, 1.3391E-006, 5.31932E-008
0, 240.00000, -0.0669706, -0.12621, -0.0474107, -0.119774, -0.122184, -0.144359, 1.3391E-006, 5.31932E-008
0, 300.00000, -0.0669706, -0.12621, -0.0474107, -0.119774, -0.122184, -0.144359, 1.3391E-006, 5.31932E-008
0, 360.00000, -0.05717, -0.122927, -0.151519, -0.154099, -0.122217, -0.144366, 2.15614E-006, 1.81979E-007
0, 420.00000, -0.0571902, -0.122987, -0.151543, -0.154, -0.122172, -0.144362, 2.15072E-006, 1.81663E-007
0, 480.00000, -0.0571905, -0.122987, -0.151543, -0.153999, -0.122172, -0.144363, 2.15066E-006, 1.81659E-007
0, 540.00000, -0.0571905, -0.122987, -0.151543, -0.153999, -0.122172, -0.144363, 2.15066E-006, 1.81659E-007
0, 600.00000, -0.0571905, -0.122987, -0.151543, -0.153999, -0.122172, -0.144363, 2.15066E-006, 1.81659E-007
0, 660.00000, -0.0896914, -0.133735, -0.0995034, -0.136811, -0.109219, -0.140086, 7.28154E-008, 1.22091E-008
0, 720.00000, -0.0896829, -0.133673, -0.0994683, -0.136889, -0.109253, -0.140107, 7.42738E-008, 1.23054E-008
0, 780.00000, -0.0896826, -0.133673, -0.0994686, -0.136889, -0.109253, -0.140107, 7.42779E-008, 1.23065E-008
0, 840.00000, -0.0896826, -0.133673, -0.0994686, -0.136889, -0.109253, -0.140107, 7.42778E-008, 1.23065E-008
0, 900.00000, -0.0896826, -0.133673, -0.0994686, -0.136889, -0.109253, -0.140107, 7.42778E-008, 1.23065E-008
0, 960.00000, -0.0474066, -0.119785, -0.109264, -0.140089, -0.141741, -0.150794, 2.06947E-006, 1.41316E-007
0, 1020.00000, -0.0474023, -0.119774, -0.10926, -0.140101, -0.141749, -0.150795, 2.07093E-006, 1.41387E-007
