hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 220.109, -29.9699, 220.224, -150, 220.489, 89.9883, 0.00351796, 139.528, 0.172641, 131.835, 0.276091, 11.8064, 0.275749, -108.207, 0.103222, 131.904
0, 120.00000, 220.109, -29.9698, 220.224, -150, 220.489, 89.9883, 0.00351799, 139.522, 0.172639, 131.835, 0.276084, 11.8063, 0.275754, -108.207, 0.103223, 131.899
0, 180.00000, 220.109, -29.9698, 220.224, -150, 220.489, 89.9883, 0.00351799, 139.522, 0.172639, 131.835, 0.276084, 11.8063, 0.275754, -108.207, 0.103223, 131.899
0, 240.00000, 220.109, -29.9698, 220.224, -150, 220.489, 89.9883, 0.00351799, 139.522, 0.172639, 131.835, 0.276084, 11.8063, 0.275754, -108.207, 0.103223, 131.899
0, 300.00000, 220.109, -29.9698, 220.224, -150, 220.489, 89.9883, 0.00351799, 139.522, 0.172639, 131.835, 0.276084, 11.8063, 0.275754, -108.207, 0.103223, 131.899
0, 360.00000, 219.478, -29.9485, 220.153, -150.066, 220.724, 90.0234, 0.00143837, -98.6928, 0.277039, 131.855, 0.276124, 11.7386, 0.241037, -108.172, 0.0350649, -107.124
0, 420.00000, 219.478, -29.949, 220.154, -150.066, 220.723, 90.0237, 0.00143904, -98.7745, 0.277021, 131.856, 0.276171, 11.739, 0.241024, -108.171, 0.0350856, -107.212
0, 480.00000, 219.478, -29.949, 220.154, -150.066, 220.723, 90.0237, 0.00143905, -98.7745, 0.277021, 131.857, 0.276171, 11.739, 0.241024, -108.171, 0.0350858, -107.212
0, 540.00000, 219.478, -29.949, 220.154, -150.066, 220.723, 90.0237, 0.00143905, -98.7744, 0.277021, 131.857, 0.276171, 11.739, 0.241024, -108.171, 0.0350858, -107.212
0, 600.00000, 219.478, -29.949, 220.154, -150.066, 220.723, 90.0237, 0.00143905, -98.7744, 0.277021, 131.857, 0.276171, 11.739, 0.241024, -108.171, 0.0350858, -107.212
0, 660.00000, 219.927, -29.9963, 220.311, -149.987, 220.238, 90.0049, 0.00316544, 94.9582, 0.207312, 131.809, 0.241518, 11.8182, 0.310576, -108.191, 0.0910718, 90.7774
0, 720.00000, 219.928, -29.9959, 220.309, -149.987, 220.239, 90.0044, 0.00316501, 94.9224, 0.207339, 131.809, 0.241477, 11.8185, 0.310576, -108.191, 0.0910593, 90.7439
0, 780.00000, 219.928, -29.9959, 220.309, -149.987, 220.239, 90.0044, 0.00316502, 94.9223, 0.207339, 131.809, 0.241477, 11.8185, 0.310576, -108.19, 0.0910596, 90.7438
0, 840.00000, 219.928, -29.9959, 220.309, -149.987, 220.239, 90.0044, 0.00316502, 94.9223, 0.207339, 131.809, 0.241477, 11.8185, 0.310576, -108.19, 0.0910596, 90.7438
0, 900.00000, 219.928, -29.9959, 220.309, -149.987, 220.239, 90.0044, 0.00316502, 94.9223, 0.207339, 131.809, 0.241477, 11.8185, 0.310576, -108.19, 0.0910596, 90.7438
0, 960.00000, 219.878, -29.9956, 220.349, -150.001, 220.245, 90.0065, 0.00135017, -150.301, 0.241951, 131.81, 0.275928, 11.8045, 0.241548, -108.189, 0.0341856, -167.653
0, 1020.00000, 219.878, -29.9956, 220.349, -150.001, 220.245, 90.0065, 0.00135014, -150.3, 0.241951, 131.81, 0.275927, 11.8045, 0.241548, -108.189, 0.0341847, -167.653
