hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 60.00000, -0.283366, 2.25891E-006, 7.04557E-008, -2.02635E-010
0, 120.00000, -0.283365, -1.70848E-009, 7.05055E-008, -1.7746E-010
0, 180.00000, -0.283365, 1.75511E-010, 7.05055E-008, -1.77291E-010
0, 240.00000, -0.283365, 1.77342E-010, 7.05055E-008, -1.77291E-010
0, 300.00000, -0.283365, 1.77291E-010, 7.05055E-008, -1.77291E-010
0, 360.00000, -0.283373, 2.26392E-006, -5.22362E-008, 3.39361E-008
0, 420.00000, -0.283364, -5.51078E-008, -5.17288E-008, 3.34588E-008
0, 480.00000, -0.283364, -3.347E-008, -5.17279E-008, 3.34595E-008
0, 540.00000, -0.283364, -3.34593E-008, -5.17279E-008, 3.34595E-008
0, 600.00000, -0.283364, -3.34595E-008, -5.17279E-008, 3.34595E-008
0, 660.00000, -0.283362, -6.76012E-006, 3.12085E-008, -1.31129E-007
0, 720.00000, -0.283364, 1.37198E-007, 3.11864E-008, -1.30636E-007
0, 780.00000, -0.283364, 1.30644E-007, 3.11857E-008, -1.30636E-007
0, 840.00000, -0.283364, 1.30635E-007, 3.11857E-008, -1.30636E-007
0, 900.00000, -0.283364, 1.30636E-007, 3.11857E-008, -1.30636E-007
0, 960.00000, -0.283364, -1.86453E-007, -1.63199E-009, -1.60335E-008
0, 1020.00000, -0.283364, 1.64118E-008, -1.63288E-009, -1.60228E-008
0, 1080.00000, -0.283364, 1.60225E-008, -1.63288E-009, -1.60228E-008
0, 1140.00000, -0.283364, 1.60227E-008, -1.63288E-009, -1.60228E-008
0, 1200.00000, -0.283364, 1.60228E-008, -1.63288E-009, -1.60228E-008
0, 1260.00000, -0.283364, -9.84509E-009, -4.09107E-008, 1.09541E-007
0, 1320.00000, -0.283364, -1.09302E-007, -4.09286E-008, 1.09548E-007
0, 1380.00000, -0.283364, -1.09549E-007, -4.09287E-008, 1.09548E-007
0, 1440.00000, -0.283364, -1.09548E-007, -4.09287E-008, 1.09548E-007
0, 1500.00000, -0.283364, -1.09548E-007, -4.09287E-008, 1.09548E-007
0, 1560.00000, -0.283356, 9.07658E-007, 8.01672E-008, 7.32108E-008
