hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 60.00000, 0.073149, 0.0240429, 2.17929E-006, -7.42597E-007
0, 120.00000, 0.0731478, 0.024044, 2.18086E-006, -7.38685E-007
0, 180.00000, 0.0731478, 0.024044, 2.18084E-006, -7.3867E-007
0, 240.00000, 0.0731478, 0.024044, 2.18084E-006, -7.3867E-007
0, 300.00000, 0.0731478, 0.024044, 2.18084E-006, -7.3867E-007
0, 360.00000, 0.131669, 0.0432879, -2.22112E-006, -1.84081E-006
0, 420.00000, 0.131672, 0.0432797, -2.22414E-006, -1.82062E-006
0, 480.00000, 0.131672, 0.0432797, -2.22429E-006, -1.82059E-006
0, 540.00000, 0.131672, 0.0432797, -2.22429E-006, -1.82059E-006
0, 600.00000, 0.131672, 0.0432797, -2.22429E-006, -1.82059E-006
0, 660.00000, 0.10241, 0.0336563, 1.82005E-006, -1.19053E-006
0, 720.00000, 0.102408, 0.0336617, 1.82139E-006, -1.20358E-006
0, 780.00000, 0.102408, 0.0336617, 1.82149E-006, -1.20361E-006
0, 840.00000, 0.102408, 0.0336617, 1.82149E-006, -1.20361E-006
0, 900.00000, 0.102408, 0.0336617, 1.82149E-006, -1.20361E-006
0, 960.00000, 0.0877779, 0.0288513, 2.08539E-006, -1.01162E-007
0, 1020.00000, 0.0877779, 0.028852, 2.08501E-006, -1.03508E-007
0, 1080.00000, 0.0877779, 0.028852, 2.08502E-006, -1.03512E-007
0, 1140.00000, 0.0877779, 0.028852, 2.08502E-006, -1.03512E-007
0, 1200.00000, 0.0877779, 0.028852, 2.08502E-006, -1.03512E-007
0, 1260.00000, 0.131673, 0.0432822, -2.98641E-006, -3.15188E-006
0, 1320.00000, 0.131673, 0.043281, -2.98441E-006, -3.14742E-006
0, 1380.00000, 0.131673, 0.043281, -2.98444E-006, -3.1474E-006
0, 1440.00000, 0.131673, 0.043281, -2.98444E-006, -3.1474E-006
0, 1500.00000, 0.131673, 0.043281, -2.98444E-006, -3.1474E-006
0, 1560.00000, 0.102414, 0.0336516, 1.78427E-006, -1.1426E-006
0, 1620.00000, 0.102408, 0.0336617, 1.79925E-006, -1.16534E-006
0, 1680.00000, 0.102408, 0.0336617, 1.79941E-006, -1.16527E-006
0, 1740.00000, 0.102408, 0.0336617, 1.79941E-006, -1.16527E-006
0, 1800.00000, 0.102408, 0.0336617, 1.79941E-006, -1.16527E-006
0, 1860.00000, 0.131675, 0.0432778, -8.14024E-007, 8.8452E-007
0, 1920.00000, 0.131671, 0.043277, -7.95992E-007, 8.83141E-007
0, 1980.00000, 0.131671, 0.043277, -7.95976E-007, 8.83235E-007
0, 2040.00000, 0.131671, 0.043277, -7.95977E-007, 8.83236E-007
0, 2100.00000, 0.131671, 0.043277, -7.95977E-007, 8.83236E-007
0, 2160.00000, 0.131672, 0.0432804, -4.53428E-006, -5.31499E-007
0, 2220.00000, 0.131675, 0.0432783, -4.54535E-006, -5.21078E-007
0, 2280.00000, 0.131675, 0.0432784, -4.5454E-006, -5.21127E-007
0, 2340.00000, 0.131675, 0.0432784, -4.5454E-006, -5.21127E-007
0, 2400.00000, 0.131675, 0.0432784, -4.5454E-006, -5.21127E-007
0, 2460.00000, 0.11704, 0.0384685, 1.74617E-008, -3.09569E-007
0, 2520.00000, 0.11704, 0.0384695, 1.82364E-008, -3.12375E-007
0, 2580.00000, 0.11704, 0.0384695, 1.8254E-008, -3.12373E-007
0, 2640.00000, 0.11704, 0.0384695, 1.8254E-008, -3.12373E-007
0, 2700.00000, 0.11704, 0.0384695, 1.8254E-008, -3.12373E-007
0, 2760.00000, 0.117036, 0.0384689, -1.26026E-006, -3.71096E-007
0, 2820.00000, 0.117041, 0.0384695, -1.2812E-006, -3.74282E-007
0, 2880.00000, 0.117041, 0.0384696, -1.28122E-006, -3.74434E-007
0, 2940.00000, 0.117041, 0.0384696, -1.28122E-006, -3.74434E-007
0, 3000.00000, 0.117041, 0.0384696, -1.28122E-006, -3.74434E-007
0, 3060.00000, 0.11704, 0.0384716, -7.18571E-007, -1.55553E-006
0, 3120.00000, 0.117041, 0.0384707, -7.21239E-007, -1.55325E-006
0, 3180.00000, 0.117041, 0.0384707, -7.21254E-007, -1.55327E-006
0, 3240.00000, 0.117041, 0.0384707, -7.21254E-007, -1.55327E-006
0, 3300.00000, 0.117041, 0.0384707, -7.21254E-007, -1.55327E-006
0, 3360.00000, 0.117035, 0.0384809, -1.22492E-006, -4.26697E-007
0, 3420.00000, 0.117041, 0.0384696, -1.23897E-006, -3.91154E-007
0, 3480.00000, 0.117041, 0.0384696, -1.2392E-006, -3.91146E-007
0, 3540.00000, 0.117041, 0.0384696, -1.2392E-006, -3.91148E-007
1, 0.00000, 0.117041, 0.0384696, -1.2392E-006, -3.91148E-007
1, 60.00000, 0.0877855, 0.0288482, 9.76475E-007, 1.71944E-006
