Minute,PV temp.
1,13.84
2,13.88
3,13.90
4,14.03
5,14.08
6,14.17
7,14.28
8,14.50
9,14.60
10,14.62
11,14.68
12,14.70
13,14.70
14,14.73
15,14.70
16,14.70
17,14.70
18,14.68
19,14.70
20,14.70
21,14.70
22,14.63
23,14.60
24,14.60
25,14.60
26,14.60
27,14.48
28,14.48
29,14.42
30,14.32
31,14.28
32,14.20
33,14.10
34,14.10
35,14.00
36,13.98
37,14.00
38,14.08
39,14.07
40,14.00
41,14.00
42,14.00
43,14.00
44,14.00
45,14.00
46,14.00
47,14.00
48,13.90
49,13.80
50,13.80
51,13.78
52,13.80
53,13.80
54,13.78
55,13.80
56,13.80
57,13.77
58,13.74
59,13.80
60,13.80
61,13.84
62,13.97
63,13.90
64,13.88
65,13.90
66,13.90
67,13.82
68,13.68
69,13.52
70,13.48
71,13.48
72,13.48
73,13.42
74,13.38
75,13.40
76,13.30
77,13.38
78,13.43
79,13.50
80,13.58
81,13.73
82,13.76
83,13.80
84,13.80
85,13.78
86,13.76
87,13.80
88,13.82
89,13.90
90,13.92
91,13.88
92,13.80
93,13.70
94,13.63
95,13.60
96,13.53
97,13.50
98,13.48
99,13.43
100,13.38
101,13.32
102,13.28
103,13.27
104,13.28
105,13.30
106,13.22
107,13.30
108,13.30
109,13.38
110,13.40
111,13.38
112,13.40
113,13.40
114,13.38
115,13.47
116,13.42
117,13.38
118,13.37
119,13.36
120,13.38
121,13.40
122,13.45
123,13.48
124,13.52
125,13.50
126,13.50
127,13.47
128,13.38
129,13.45
130,13.50
131,13.48
132,13.52
133,13.60
134,13.60
135,13.60
136,13.60
137,13.58
138,13.52
139,13.42
140,13.40
141,13.30
142,13.30
143,13.13
144,13.18
145,13.28
146,13.22
147,13.20
148,13.15
149,13.12
150,13.10
151,13.08
152,13.07
153,13.08
154,13.08
155,13.08
156,13.00
157,13.00
158,12.98
159,12.95
160,12.90
161,12.90
162,12.80
163,12.80
164,12.78
165,12.80
166,12.80
167,12.82
168,12.80
169,12.80
170,12.80
171,12.90
172,12.98
173,12.95
174,12.98
175,13.00
176,12.92
177,12.88
178,12.88
179,12.80
180,12.73
181,12.68
182,12.62
183,12.68
184,12.60
185,12.58
186,12.52
187,12.45
188,12.40
189,12.33
190,12.16
191,12.08
192,11.98
193,11.88
194,11.85
195,11.74
196,11.70
197,11.70
198,11.68
199,11.70
200,11.60
201,11.57
202,11.50
203,11.45
204,11.40
205,11.40
206,11.40
207,11.40
208,11.47
209,11.50
210,11.50
211,11.50
212,11.50
213,11.48
214,11.45
215,11.38
216,11.48
217,11.57
218,11.60
219,11.58
220,11.56
221,11.60
222,11.62
223,11.68
224,11.70
225,11.70
226,11.70
227,11.70
228,11.70
229,11.77
230,11.80
231,11.78
232,11.78
233,11.72
234,11.74
235,11.72
236,11.73
