hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.104265, -0.0342674, -0.104261, -0.034273, -0.104258, -0.0342665, 3.94001E-009, -7.1801E-010
2, 0.00000, -0.0883558, -0.0290392, -0.0883526, -0.0290431, -0.0883507, -0.0290384, 2.37895E-009, -4.40134E-010
3, 0.00000, -0.0809, -0.0265889, -0.0808974, -0.0265922, -0.0808957, -0.0265883, 1.81404E-009, -3.39475E-010
4, 0.00000, -0.0783264, -0.0257429, -0.0783237, -0.025746, -0.0783221, -0.0257423, 1.65156E-009, -3.09662E-010
5, 0.00000, -0.0815644, -0.0268074, -0.0815621, -0.0268109, -0.0815606, -0.0268069, 1.84431E-009, -3.46446E-010
6, 0.00000, -0.0941048, -0.0309285, -0.0941014, -0.030933, -0.0940993, -0.0309278, 2.875E-009, -5.30759E-010
7, 0.00000, -0.119287, -0.0392042, -0.119282, -0.0392115, -0.119279, -0.0392031, 5.95939E-009, -1.06649E-009
8, 0.00000, -0.133087, -0.0437395, -0.13308, -0.0437482, -0.133076, -0.0437373, 7.90635E-009, -1.06953E-009
9, 0.00000, -0.136302, -0.0447988, -0.136289, -0.0448042, -0.13629, -0.0447902, 4.1842E-009, -2.6492E-010
10, 0.00000, -0.140247, -0.0460964, -0.140231, -0.0461007, -0.140235, -0.0460849, 2.71104E-009, -1.46883E-009
11, 0.00000, -0.141239, -0.0464275, -0.141214, -0.0464255, -0.141228, -0.0464053, -4.83541E-009, -1.50662E-008
12, 0.00000, -0.140133, -0.0460636, -0.140108, -0.0460613, -0.140123, -0.0460412, -5.1938E-009, -1.59996E-008
13, 0.00000, -0.140741, -0.046262, -0.14072, -0.0462622, -0.14073, -0.0462434, -2.32415E-009, -9.0709E-009
14, 0.00000, -0.14351, -0.0471673, -0.143496, -0.0471736, -0.143498, -0.0471582, 4.67029E-009, -3.99924E-010
15, 0.00000, -0.14949, -0.0491305, -0.149479, -0.0491403, -0.149476, -0.0491257, 9.63352E-009, -4.75297E-010
16, 0.00000, -0.164258, -0.0539821, -0.164248, -0.0539961, -0.164241, -0.0539798, 1.61501E-008, -2.68446E-009
17, 0.00000, -0.190984, -0.0627639, -0.190969, -0.062783, -0.19096, -0.0627607, 2.59454E-008, -4.11115E-009
18, 0.00000, -0.212689, -0.0698955, -0.21267, -0.0699192, -0.212659, -0.0698914, 3.61383E-008, -5.76388E-009
19, 0.00000, -0.221231, -0.0727018, -0.221211, -0.0727276, -0.221198, -0.0726973, 4.07494E-008, -6.68684E-009
20, 0.00000, -0.226171, -0.0743251, -0.22615, -0.0743521, -0.226137, -0.0743204, 4.36025E-008, -7.36355E-009
21, 0.00000, -0.220386, -0.0724248, -0.220366, -0.0724503, -0.220354, -0.0724206, 4.0256E-008, -6.67308E-009
22, 0.00000, -0.201647, -0.066268, -0.201631, -0.0662896, -0.201621, -0.0662647, 3.0702E-008, -4.83935E-009
23, 0.00000, -0.171134, -0.056242, -0.171121, -0.0562571, -0.171114, -0.0562389, 1.84372E-008, -2.98878E-009
24, 0.00000, -0.134733, -0.0442804, -0.134726, -0.0442896, -0.134721, -0.0442784, 8.7554E-009, -1.50502E-009
25, 0.00000, -0.104266, -0.0342679, -0.104262, -0.0342734, -0.104259, -0.0342668, 3.96292E-009, -7.14767E-010
26, 0.00000, -0.0883558, -0.0290392, -0.0883526, -0.0290431, -0.0883507, -0.0290384, 2.37897E-009, -4.40135E-010
27, 0.00000, -0.0809, -0.0265889, -0.0808974, -0.0265922, -0.0808957, -0.0265883, 1.81404E-009, -3.39475E-010
28, 0.00000, -0.0783264, -0.0257429, -0.0783237, -0.025746, -0.0783221, -0.0257423, 1.65156E-009, -3.09662E-010
29, 0.00000, -0.0815644, -0.0268074, -0.0815621, -0.0268109, -0.0815606, -0.0268069, 1.84431E-009, -3.46446E-010
30, 0.00000, -0.0941048, -0.0309285, -0.0941014, -0.030933, -0.0940993, -0.0309278, 2.875E-009, -5.30759E-010
31, 0.00000, -0.119287, -0.0392042, -0.119282, -0.0392115, -0.119279, -0.0392031, 5.95939E-009, -1.06649E-009
