hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.137515, -0.0452123, -6.07138E-013, 1.64973E-013, 7.89945E-013, 6.01098E-013, -1.40818E-006, 1.27513E-005
2, 0.00000, -0.116534, -0.0383122, 2.00966E-013, -2.28862E-013, 6.84442E-013, 2.85185E-013, -9.17794E-007, 9.09316E-006
3, 0.00000, -0.106701, -0.0350786, -4.78688E-013, 1.81832E-013, -1.946E-013, 5.89871E-013, -7.30738E-007, 7.59786E-006
4, 0.00000, -0.103307, -0.0339624, -3.69324E-013, 2.68201E-014, 3.41487E-013, 1.72158E-013, -6.75063E-007, 7.11517E-006
5, 0.00000, -0.107577, -0.0353669, -7.81809E-014, 5.54072E-013, -2.61477E-013, 3.04584E-013, -7.41248E-007, 7.72332E-006
6, 0.00000, -0.124116, -0.0408056, -6.52226E-013, -4.06361E-013, -3.9623E-013, -1.99483E-013, -1.07598E-006, 1.03398E-005
7, 0.00000, -0.157327, -0.0517282, -6.61039E-013, -1.35576E-013, -3.80546E-013, 4.03556E-014, -2.01474E-006, 1.68041E-005
8, 0.00000, -0.175529, -0.057714, -1.11964E-013, -3.8441E-013, -8.33581E-014, 3.99852E-014, -4.16944E-007, 2.03514E-005
9, 0.00000, -0.179788, -0.0591022, -5.40775E-013, 2.07746E-013, 3.51137E-013, 9.79312E-014, 2.01424E-005, 1.52045E-005
10, 0.00000, -0.184999, -0.0608102, -8.32635E-013, -1.50361E-013, -5.56537E-013, -7.39085E-014, 2.95675E-005, 1.37039E-005
11, 0.00000, -0.186337, -0.0612317, -4.68089E-014, 2.96254E-014, 1.08846E-012, -4.21039E-013, 6.14756E-005, 5.08685E-006
12, 0.00000, -0.184874, -0.0607488, -7.97076E-013, -8.72513E-014, 4.80242E-013, -6.39217E-014, 6.23538E-005, 4.51167E-006
13, 0.00000, -0.18567, -0.0610175, 1.62388E-013, 3.31866E-013, 1.2378E-012, -6.96537E-014, 5.12721E-005, 7.7255E-006
14, 0.00000, -0.189295, -0.0622271, -2.74967E-015, 3.39405E-013, 9.61347E-014, -5.14273E-014, 2.29498E-005, 1.66858E-005
15, 0.00000, -0.197167, -0.0648272, -6.25501E-013, 2.71599E-014, -3.53821E-015, -1.39843E-013, 6.50455E-006, 2.3627E-005
16, 0.00000, -0.216633, -0.071238, 3.10491E-013, 5.90176E-014, 3.20439E-013, 2.83442E-013, -4.89774E-006, 3.25604E-005
17, 0.00000, -0.251877, -0.0828349, -3.20946E-014, 1.65631E-013, -9.01067E-014, 6.48442E-015, -7.56108E-006, 4.46173E-005
18, 0.00000, -0.280499, -0.0922542, -1.51076E-013, 2.68051E-013, 3.3586E-013, 2.00467E-013, -8.72607E-006, 5.58574E-005
19, 0.00000, -0.291763, -0.0959604, 6.81752E-013, 4.07537E-013, 7.6558E-014, 1.48963E-013, -8.63921E-006, 6.00362E-005
20, 0.00000, -0.298278, -0.0981043, -2.05499E-013, 1.38111E-013, 4.89239E-013, 2.83092E-013, -8.54616E-006, 6.23057E-005
21, 0.00000, -0.290651, -0.0955949, 1.66714E-013, -4.67058E-013, 4.1852E-013, 1.17427E-013, -8.64074E-006, 5.96015E-005
22, 0.00000, -0.265939, -0.0874634, -1.22658E-013, 1.05071E-013, -2.57196E-013, 3.00864E-013, -8.52867E-006, 5.00037E-005
23, 0.00000, -0.225702, -0.0742228, -8.01946E-013, -2.29422E-013, 3.08316E-014, -4.55411E-013, -5.53528E-006, 3.54777E-005
