hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 192.878, -112.999, -194.435, -110.545, 1.43023, 223.749, 0.0133233, 0.0146616, -0.428544, 0.485474, 1.99524E-012, 1.98286E-012, 2.70894E-012, 3.51319E-012, 0.428544, -0.485474
2, 0.00000, 193.248, -112.954, -194.558, -110.886, 1.20531, 224.011, 0.0113184, 0.0122476, -0.363099, 0.410487, -2.73628E-013, -1.33227E-012, 1.28948E-012, 3.04845E-012, 0.363099, -0.410487
3, 0.00000, 193.42, -112.932, -194.616, -111.045, 1.10029, 224.134, 0.0103775, 0.0111346, -0.332434, 0.375459, 1.45338E-012, 1.76359E-012, 2.62745E-012, -8.81129E-013, 0.332434, -0.375459
4, 0.00000, 193.479, -112.925, -194.635, -111.1, 1.06412, 224.176, 0.0100505, 0.0107595, -0.321851, 0.363385, 1.37187E-012, 9.20874E-013, 7.75172E-013, 1.51962E-012, 0.321851, -0.363385
5, 0.00000, 193.404, -112.934, -194.611, -111.031, 1.10961, 224.123, 0.010465, 0.0112229, -0.335165, 0.378577, -9.22373E-013, 2.32084E-012, 1.3532E-012, -1.17337E-012, 0.335165, -0.378577
6, 0.00000, 193.115, -112.97, -194.514, -110.763, 1.28645, 223.917, 0.0120463, 0.0131069, -0.386745, 0.437545, 3.43039E-012, -1.35725E-013, -9.01015E-013, -1.76437E-012, 0.386745, -0.437545
7, 0.00000, 192.527, -113.042, -194.316, -110.22, 1.64368, 223.498, 0.0152023, 0.017013, -0.490364, 0.556597, 2.8732E-012, 9.32032E-013, 1.68032E-013, -1.70391E-012, 0.490364, -0.556597
8, 0.00000, 192.407, -113.001, -194.229, -110.136, 1.67291, 223.385, 0.01811, 0.0166222, -0.547329, 0.621404, 1.28542E-012, -1.25028E-012, 1.76192E-013, -3.74478E-013, 0.547329, -0.621404
9, 0.00000, 194.182, -112.256, -194.378, -112.02, 0.182469, 224.39, 0.0293417, -0.00580037, -0.562075, 0.629299, 1.62609E-012, 2.00588E-012, 4.37705E-013, 1.5645E-012, 0.562075, -0.629299
10, 0.00000, 194.89, -111.927, -194.412, -112.787, -0.439606, 224.778, 0.0345695, -0.0148154, -0.579058, 0.644582, 3.54006E-012, 1.28034E-012, -3.23963E-013, -2.47657E-012, 0.579058, -0.644582
11, 0.00000, 197.797, -110.585, -194.566, -115.944, -3.00119, 226.398, 0.0524022, -0.0483038, -0.585864, 0.637116, 1.10578E-013, 2.18159E-013, -1.92313E-012, 4.78223E-012, 0.585864, -0.637116
12, 0.00000, 197.952, -110.517, -194.577, -116.111, -3.13569, 226.487, 0.0530704, -0.0498827, -0.581382, 0.631473, 3.21809E-012, 1.47193E-012, -3.11529E-013, 2.11609E-012, 0.581382, -0.631473
13, 0.00000, 196.864, -111.032, -194.53, -114.922, -2.16388, 225.883, 0.0465693, -0.0377742, -0.582903, 0.638708, -1.36591E-012, 8.99059E-013, -3.60822E-013, 5.47634E-012, 0.582903, -0.638708
14, 0.00000, 194.178, -112.211, -194.338, -112.037, 0.149538, 224.364, 0.0312142, -0.00674914, -0.591978, 0.662555, -7.45071E-013, 1.31693E-012, -2.28928E-013, 4.28629E-013, 0.591978, -0.662555
15, 0.00000, 192.626, -112.809, -194.162, -110.414, 1.41185, 223.458, 0.0236789, 0.0115758, -0.615415, 0.696952, 2.37421E-012, 1.49003E-012, -6.25888E-013, -1.18794E-014, 0.615415, -0.696952
16, 0.00000, 191.456, -113.168, -193.954, -109.235, 2.28915, 222.737, 0.020742, 0.0245138, -0.675541, 0.771395, -1.34545E-012, -4.53471E-013, 1.28719E-012, 1.42542E-012, 0.675541, -0.771395
17, 0.00000, 190.805, -113.242, -193.733, -108.639, 2.67754, 222.275, 0.0239726, 0.0293146, -0.785673, 0.900427, -2.38698E-013, 7.2109E-013, 2.42861E-014, -4.05675E-013, 0.785673, -0.900427
18, 0.00000, 190.274, -113.3, -193.549, -108.149, 2.99634, 221.894, 0.0273099, 0.032433, -0.875167, 1.00598, 5.10703E-015, 1.38778E-012, 9.23706E-013, 1.50113E-012, 0.875167, -1.00598
19, 0.00000, 190.066, -113.323, -193.476, -107.958, 3.12235, 221.742, 0.0285672, 0.0330697, -0.910402, 1.04769, -3.58336E-012, 1.06914E-013, 6.76514E-013, 3.35731E-013, 0.910402, -1.04769
20, 0.00000, 189.945, -113.335, -193.434, -107.848, 3.19524, 221.653, 0.0291916, 0.0333226, -0.930786, 1.07187, 5.06761E-013, 9.96536E-013, 1.30873E-012, 2.18836E-012, 0.930786, -1.07187
21, 0.00000, 190.086, -113.321, -193.483, -107.977, 3.10996, 221.757, 0.0284388, 0.0329949, -0.90692, 1.04357, 3.70204E-013, -2.20735E-012, 5.55889E-013, 1.8795E-012, 0.90692, -1.04357
22, 0.00000, 190.544, -113.271, -193.643, -108.399, 2.83375, 222.089, 0.0254159, 0.031101, -0.829635, 0.952208, 2.51021E-013, 6.8312E-013, 1.33971E-012, -1.17517E-012, 0.829635, -0.952208
23, 0.00000, 191.289, -113.187, -193.898, -109.082, 2.38873, 222.619, 0.0215688, 0.0257513, -0.70387, 0.8045, 3.64725E-012, 8.68638E-013, -2.04398E-012, 1.60427E-013, 0.70387, -0.8045
24, 0.00000, 192.162, -113.086, -194.193, -109.884, 1.86428, 223.239, 0.0171069, 0.0195407, -0.55395, 0.63006, 1.89254E-012, 1.09102E-012, -2.01533E-013, 1.64679E-012, 0.55395, -0.63006
25, 0.00000, 192.878, -112.999, -194.435, -110.545, 1.43025, 223.749, 0.0133166, 0.014677, -0.428552, 0.485484, -1.58989E-012, -5.22471E-013, -1.52264E-012, 4.99933E-013, 0.428552, -0.485484
26, 0.00000, 193.248, -112.954, -194.558, -110.886, 1.20531, 224.011, 0.0113184, 0.0122476, -0.363099, 0.410487, 4.61589E-012, 3.09072E-012, -1.60998E-012, 1.36796E-012, 0.363099, -0.410487
27, 0.00000, 193.42, -112.932, -194.616, -111.045, 1.10029, 224.134, 0.0103775, 0.0111346, -0.332434, 0.375459, -1.85323E-012, 1.80411E-013, 1.20599E-012, 3.52693E-012, 0.332434, -0.375459
28, 0.00000, 193.479, -112.925, -194.635, -111.1, 1.06412, 224.176, 0.0100505, 0.0107595, -0.321851, 0.363385, -2.25328E-012, 1.2913E-012, 2.40211E-012, 2.02893E-012, 0.321851, -0.363385
29, 0.00000, 193.404, -112.934, -194.611, -111.031, 1.10961, 224.123, 0.010465, 0.0112229, -0.335165, 0.378577, -9.22498E-013, 2.32087E-012, 1.35307E-012, -1.17334E-012, 0.335165, -0.378577
30, 0.00000, 193.115, -112.97, -194.514, -110.763, 1.28645, 223.917, 0.0120463, 0.0131069, -0.386745, 0.437545, 3.43039E-012, -1.35725E-013, -9.01015E-013, -1.76437E-012, 0.386745, -0.437545
31, 0.00000, 192.527, -113.042, -194.316, -110.22, 1.64368, 223.498, 0.0152023, 0.017013, -0.490364, 0.556597, 2.8732E-012, 9.32032E-013, 1.68032E-013, -1.70391E-012, 0.490364, -0.556597
32, 0.00000, 192.404, -113.002, -194.228, -110.133, 1.67516, 223.384, 0.018094, 0.0166571, -0.547327, 0.621415, -2.22802E-012, -6.4837E-014, -2.71838E-013, 3.29825E-012, 0.547327, -0.621415
33, 0.00000, 193.546, -112.522, -194.323, -111.345, 0.716501, 224.028, 0.0255999, 0.00195266, -0.561546, 0.63184, 2.66032E-012, 6.99801E-013, -8.44269E-013, -1.12485E-012, 0.561546, -0.63184
34, 0.00000, 194.461, -112.112, -194.379, -112.329, -0.0736765, 224.535, 0.0320244, -0.00969492, -0.578683, 0.646347, 2.64333E-012, -7.34801E-013, -2.73448E-013, 7.83262E-014, 0.578683, -0.646347
35, 0.00000, 195.774, -111.53, -194.466, -113.741, -1.20804, 225.273, 0.0401105, -0.0253256, -0.58397, 0.645474, 5.96811E-012, 2.35961E-012, -8.26672E-013, 2.14267E-012, 0.58397, -0.645474
36, 0.00000, 195.978, -111.445, -194.485, -113.959, -1.38057, 225.391, 0.0410491, -0.0275462, -0.579554, 0.639587, -2.60703E-012, 1.82121E-012, 1.36335E-012, 2.06901E-012, 0.579554, -0.639587
37, 0.00000, 195.2, -111.788, -194.431, -113.121, -0.708348, 224.951, 0.036546, -0.0185507, -0.581378, 0.645563, 2.1747E-012, 4.03452E-012, -2.07834E-013, 3.25184E-013, 0.581378, -0.645563
38, 0.00000, 193.768, -112.383, -194.303, -111.601, 0.494716, 224.131, 0.0287976, -0.00176647, -0.59162, 0.664284, -5.00389E-012, 9.67865E-013, 2.2326E-012, 1.25353E-012, 0.59162, -0.664284
39, 0.00000, 192.216, -112.97, -194.119, -109.984, 1.74714, 223.223, 0.0212915, 0.0167724, -0.615057, 0.698753, 2.29594E-012, 3.63259E-012, 8.95228E-013, -1.66928E-012, 0.615057, -0.698753
40, 0.00000, 191.456, -113.168, -193.954, -109.235, 2.2891, 222.737, 0.0207489, 0.0244935, -0.67553, 0.771377, 2.37863E-012, 5.73097E-013, -1.2384E-012, 2.84828E-013, 0.67553, -0.771377
41, 0.00000, 190.805, -113.242, -193.733, -108.639, 2.67754, 222.275, 0.0239726, 0.0293146, -0.785673, 0.900427, 6.18861E-012, 1.18405E-012, -1.11411E-013, -2.16727E-012, 0.785673, -0.900427
42, 0.00000, 190.274, -113.3, -193.549, -108.149, 2.99634, 221.894, 0.0273099, 0.032433, -0.875167, 1.00598, 3.53445E-012, 2.0639E-013, -3.31513E-013, 4.7462E-012, 0.875167, -1.00598
43, 0.00000, 190.066, -113.323, -193.476, -107.958, 3.12235, 221.742, 0.0285672, 0.0330697, -0.910402, 1.04769, -1.54876E-014, 2.0921E-012, 2.18997E-012, 5.19695E-013, 0.910402, -1.04769
44, 0.00000, 189.945, -113.335, -193.434, -107.848, 3.19524, 221.653, 0.0291916, 0.0333226, -0.930786, 1.07187, 5.06817E-013, 9.96536E-013, 1.30879E-012, 2.18836E-012, 0.930786, -1.07187
45, 0.00000, 190.086, -113.321, -193.483, -107.977, 3.10996, 221.757, 0.0284388, 0.0329949, -0.90692, 1.04357, 3.70204E-013, -2.20735E-012, 5.55889E-013, 1.8795E-012, 0.90692, -1.04357
46, 0.00000, 190.544, -113.271, -193.643, -108.399, 2.83375, 222.089, 0.0254159, 0.031101, -0.829635, 0.952208, 2.51021E-013, 6.8312E-013, 1.33971E-012, -1.17517E-012, 0.829635, -0.952208
47, 0.00000, 191.289, -113.187, -193.898, -109.082, 2.38873, 222.619, 0.0215688, 0.0257513, -0.70387, 0.8045, 3.64725E-012, 8.68638E-013, -2.04398E-012, 1.60427E-013, 0.70387, -0.8045
48, 0.00000, 192.162, -113.086, -194.193, -109.884, 1.86428, 223.239, 0.0171069, 0.0195407, -0.55395, 0.63006, 1.89254E-012, 1.09102E-012, -2.01533E-013, 1.64679E-012, 0.55395, -0.63006
49, 0.00000, 192.878, -112.999, -194.435, -110.545, 1.43025, 223.749, 0.0133166, 0.014677, -0.428552, 0.485484, -1.58989E-012, -5.22471E-013, -1.52264E-012, 4.99933E-013, 0.428552, -0.485484
