hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.083587, -0.0274737, -0.0835881, -0.027474, -0.0835882, -0.0274741, -4.15081E-011, -5.56822E-012
2, 0.00000, -0.0708367, -0.0232829, -0.0708358, -0.0232826, -0.0708356, -0.0232825, -2.92128E-011, -3.31309E-012
3, 0.00000, -0.0648584, -0.0213179, -0.0648581, -0.0213178, -0.064858, -0.0213178, -2.42461E-011, -2.492E-012
4, 0.00000, -0.0627989, -0.020641, -0.0627978, -0.0206406, -0.0627974, -0.0206405, -2.26629E-011, -2.26806E-012
5, 0.00000, -0.0653845, -0.0214909, -0.0653859, -0.0214914, -0.0653865, -0.0214915, -2.4641E-011, -2.51105E-012
6, 0.00000, -0.075442, -0.0247966, -0.0754428, -0.0247969, -0.075443, -0.0247969, -3.33637E-011, -4.00257E-012
7, 0.00000, -0.095627, -0.031431, -0.0956292, -0.0314317, -0.0956296, -0.031432, -5.54078E-011, -8.60259E-012
8, 0.00000, -0.106694, -0.0350685, -0.106694, -0.0350686, -0.106694, -0.0350687, -6.94298E-011, -1.13775E-011
9, 0.00000, -0.109275, -0.0359167, -0.109272, -0.0359161, -0.109272, -0.0359155, -6.54435E-011, -4.33641E-012
10, 0.00000, -0.112433, -0.0369548, -0.112432, -0.0369547, -0.112432, -0.0369546, -6.63018E-011, -2.11278E-012
11, 0.00000, -0.113235, -0.0372199, -0.113231, -0.0372187, -0.113231, -0.0372184, -5.64323E-011, 4.48416E-012
12, 0.00000, -0.112322, -0.0369187, -0.112325, -0.0369195, -0.112325, -0.0369198, -5.49047E-011, 4.80842E-012
13, 0.00000, -0.112826, -0.0370839, -0.112827, -0.037084, -0.112827, -0.0370841, -5.92046E-011, 2.89944E-012
14, 0.00000, -0.115041, -0.0378127, -0.115045, -0.0378135, -0.115046, -0.0378143, -7.23743E-011, -4.61066E-012
15, 0.00000, -0.119842, -0.0393901, -0.119843, -0.0393904, -0.119843, -0.0393905, -8.6315E-011, -1.2963E-011
16, 0.00000, -0.131681, -0.0432813, -0.131682, -0.0432817, -0.131682, -0.0432819, -1.11659E-010, -2.52049E-011
17, 0.00000, -0.153105, -0.0503231, -0.153106, -0.0503234, -0.153106, -0.0503236, -1.56562E-010, -4.24508E-011
18, 0.00000, -0.170503, -0.0560418, -0.170504, -0.056042, -0.170504, -0.0560421, -2.00032E-010, -6.19704E-011
19, 0.00000, -0.177346, -0.0582908, -0.177349, -0.0582915, -0.177348, -0.0582918, -2.18959E-010, -7.12155E-011
20, 0.00000, -0.181308, -0.0595931, -0.18131, -0.0595936, -0.18131, -0.0595938, -2.3049E-010, -7.72477E-011
21, 0.00000, -0.176679, -0.0580715, -0.176677, -0.0580711, -0.176677, -0.0580709, -2.17184E-010, -7.06033E-011
22, 0.00000, -0.161664, -0.0531364, -0.16166, -0.0531355, -0.16166, -0.0531347, -1.7725E-010, -5.17153E-011
23, 0.00000, -0.137206, -0.0450975, -0.1372, -0.0450961, -0.137199, -0.0450949, -1.22508E-010, -2.94013E-011
24, 0.00000, -0.108023, -0.0355055, -0.108019, -0.0355043, -0.108018, -0.0355036, -7.22981E-011, -1.31616E-011
25, 0.00000, -0.0835945, -0.0274762, -0.0835922, -0.0274755, -0.0835917, -0.0274752, -4.15628E-011, -5.67505E-012
26, 0.00000, -0.0708367, -0.0232829, -0.0708358, -0.0232826, -0.0708356, -0.0232825, -2.92128E-011, -3.31317E-012
27, 0.00000, -0.0648584, -0.0213179, -0.0648581, -0.0213178, -0.064858, -0.0213178, -2.42461E-011, -2.492E-012
28, 0.00000, -0.0627989, -0.020641, -0.0627978, -0.0206406, -0.0627974, -0.0206405, -2.26629E-011, -2.26806E-012
29, 0.00000, -0.0653845, -0.0214909, -0.0653859, -0.0214914, -0.0653865, -0.0214915, -2.4641E-011, -2.51105E-012
30, 0.00000, -0.075442, -0.0247966, -0.0754428, -0.0247969, -0.075443, -0.0247969, -3.33637E-011, -4.00257E-012
31, 0.00000, -0.095627, -0.031431, -0.0956292, -0.0314317, -0.0956296, -0.031432, -5.54078E-011, -8.60259E-012
32, 0.00000, -0.106694, -0.0350685, -0.106694, -0.0350686, -0.106694, -0.0350687, -6.94411E-011, -1.13909E-011
33, 0.00000, -0.109276, -0.0359171, -0.109273, -0.0359163, -0.109272, -0.0359158, -6.80197E-011, -6.74977E-012
34, 0.00000, -0.112434, -0.0369552, -0.112433, -0.036955, -0.112433, -0.0369547, -6.80643E-011, -3.54892E-012
35, 0.00000, -0.113227, -0.0372158, -0.113226, -0.0372158, -0.113226, -0.0372156, -6.37204E-011, 3.93468E-013
36, 0.00000, -0.112338, -0.0369236, -0.112337, -0.0369237, -0.112337, -0.0369235, -6.19538E-011, 9.10533E-013
37, 0.00000, -0.112826, -0.0370842, -0.112827, -0.0370843, -0.112827, -0.0370844, -6.54982E-011, -1.15051E-012
38, 0.00000, -0.115043, -0.0378131, -0.115046, -0.0378138, -0.115047, -0.0378144, -7.42217E-011, -6.30595E-012
39, 0.00000, -0.119842, -0.03939, -0.119843, -0.0393903, -0.119843, -0.0393904, -8.84712E-011, -1.55234E-011
40, 0.00000, -0.131668, -0.0432771, -0.131674, -0.0432786, -0.131675, -0.0432798, -1.11546E-010, -2.49565E-011
41, 0.00000, -0.153105, -0.0503231, -0.153106, -0.0503234, -0.153106, -0.0503236, -1.56562E-010, -4.24506E-011
42, 0.00000, -0.170503, -0.0560418, -0.170504, -0.056042, -0.170504, -0.0560421, -2.00032E-010, -6.19704E-011
43, 0.00000, -0.177346, -0.0582908, -0.177349, -0.0582915, -0.177348, -0.0582918, -2.18959E-010, -7.12155E-011
44, 0.00000, -0.181308, -0.0595931, -0.18131, -0.0595936, -0.18131, -0.0595938, -2.3049E-010, -7.72477E-011
45, 0.00000, -0.176679, -0.0580715, -0.176677, -0.0580711, -0.176677, -0.0580709, -2.17184E-010, -7.06033E-011
46, 0.00000, -0.161664, -0.0531364, -0.16166, -0.0531355, -0.16166, -0.0531347, -1.7725E-010, -5.17153E-011
47, 0.00000, -0.137206, -0.0450975, -0.1372, -0.0450961, -0.137199, -0.0450949, -1.22508E-010, -2.94013E-011
48, 0.00000, -0.108023, -0.0355055, -0.108019, -0.0355043, -0.108018, -0.0355036, -7.22981E-011, -1.31616E-011
49, 0.00000, -0.0835945, -0.0274762, -0.0835922, -0.0274755, -0.0835917, -0.0274752, -4.15628E-011, -5.67505E-012
50, 0.00000, -0.0708367, -0.0232829, -0.0708358, -0.0232826, -0.0708356, -0.0232825, -2.92128E-011, -3.31317E-012
51, 0.00000, -0.0648584, -0.0213179, -0.0648581, -0.0213178, -0.064858, -0.0213178, -2.42461E-011, -2.492E-012
