hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.492628, -0.161892, -0.492629, -0.161898, -0.492625, -0.161895, 3.89134E-009, -1.1468E-009
2, 0.00000, -0.417469, -0.137196, -0.41746, -0.137197, -0.417456, -0.137194, 2.28862E-009, -6.94513E-010
3, 0.00000, -0.382231, -0.125617, -0.382226, -0.125619, -0.382223, -0.125616, 1.71273E-009, -5.26214E-010
4, 0.00000, -0.37009, -0.121627, -0.370082, -0.121628, -0.370077, -0.121625, 1.5576E-009, -4.79153E-010
5, 0.00000, -0.385335, -0.126637, -0.38534, -0.126643, -0.385341, -0.126641, 1.72502E-009, -5.3093E-010
6, 0.00000, -0.444616, -0.146117, -0.444616, -0.146121, -0.444614, -0.146118, 2.77691E-009, -8.33526E-010
7, 0.00000, -0.563604, -0.185213, -0.56361, -0.185222, -0.563607, -0.185218, 6.07145E-009, -1.74578E-009
8, 0.00000, -0.560314, -0.206646, -0.560309, -0.206652, -0.560303, -0.206646, 6.37211E-009, -1.99015E-009
9, 0.00000, 0.0595152, -0.211644, 0.0595229, -0.211634, 0.0595247, -0.211637, 9.10767E-011, -2.54625E-010
10, 0.00000, 0.324981, -0.217763, 0.324986, -0.217762, 0.324989, -0.217761, -4.21481E-010, -7.42918E-010
11, 0.00000, 1.42487, -0.219278, 1.42488, -0.2193, 1.42491, -0.219293, -2.89244E-008, -8.1724E-009
12, 0.00000, 1.4823, -0.217609, 1.48234, -0.217632, 1.48237, -0.217604, -3.20535E-008, -8.72918E-009
13, 0.00000, 1.06106, -0.218571, 1.06108, -0.21859, 1.0611, -0.218569, -1.33049E-008, -4.93445E-009
14, 0.00000, 0.0811874, -0.222805, 0.0811807, -0.22282, 0.0811813, -0.222813, 9.49905E-011, -2.70636E-010
15, 0.00000, -0.435166, -0.232108, -0.435165, -0.232113, -0.435162, -0.232109, 3.53021E-009, -1.47575E-009
16, 0.00000, -0.776165, -0.255046, -0.776158, -0.25506, -0.776146, -0.255048, 1.83413E-008, -4.87036E-009
17, 0.00000, -0.902499, -0.296544, -0.902483, -0.296563, -0.902467, -0.296546, 3.14436E-008, -7.95947E-009
18, 0.00000, -1.00511, -0.330246, -1.00508, -0.330269, -1.00506, -0.330246, 4.64331E-008, -1.14041E-008
19, 0.00000, -1.04546, -0.343501, -1.04545, -0.343528, -1.04542, -0.343504, 5.35291E-008, -1.30543E-008
20, 0.00000, -1.06883, -0.351176, -1.06881, -0.351203, -1.06878, -0.351176, 5.8126E-008, -1.4159E-008
21, 0.00000, -1.04153, -0.342207, -1.04148, -0.342228, -1.04146, -0.342201, 5.29958E-008, -1.29865E-008
22, 0.00000, -0.95297, -0.313122, -0.952922, -0.313137, -0.952902, -0.313111, 3.85218E-008, -9.61202E-009
23, 0.00000, -0.80874, -0.265748, -0.808692, -0.265753, -0.808673, -0.265732, 2.14957E-008, -5.63867E-009
24, 0.00000, -0.636677, -0.209221, -0.636644, -0.209222, -0.636631, -0.20921, 9.38808E-009, -2.62797E-009
25, 0.00000, -0.492669, -0.161906, -0.492652, -0.161906, -0.492644, -0.161901, 3.96341E-009, -1.1706E-009
26, 0.00000, -0.417469, -0.137196, -0.41746, -0.137197, -0.417456, -0.137194, 2.28866E-009, -6.94541E-010
