hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 188.922, -109.8, -190.075, -108.808, 0.674694, 219.3, 0.000127938, -0.000672749, -1.57689, 1.7734, 2.31932, 0.475927, -0.745137, -2.24406, 0.00270676, -0.00526949
2, 0.00000, 189.91, -110.257, -190.88, -109.419, 0.570663, 220.257, 0.000103145, -0.000558006, -1.33039, 1.49482, 1.95624, 0.402615, -0.627788, -1.89369, 0.00193659, -0.00374346
3, 0.00000, 190.371, -110.47, -191.255, -109.703, 0.521627, 220.703, 9.19563E-005, -0.000505453, -1.21559, 1.36525, 1.78724, 0.368341, -0.573256, -1.73049, 0.00160444, -0.00309662
4, 0.00000, 190.529, -110.543, -191.384, -109.801, 0.504616, 220.856, 8.84041E-005, -0.000487985, -1.17615, 1.32076, 1.72916, 0.356542, -0.554523, -1.67438, 0.00151058, -0.00291824
5, 0.00000, 190.33, -110.451, -191.222, -109.678, 0.526081, 220.663, 9.25202E-005, -0.000509305, -1.22568, 1.37664, 1.80214, 0.371367, -0.57807, -1.74491, 0.00160478, -0.00309548
6, 0.00000, 189.554, -110.093, -190.59, -109.198, 0.608411, 219.912, 0.000111621, -0.000598521, -1.41916, 1.59509, 2.08701, 0.42907, -0.670027, -2.01993, 0.00218202, -0.00423268
7, 0.00000, 187.98, -109.362, -189.307, -108.227, 0.771964, 218.389, 0.000153693, -0.000786112, -1.81179, 2.03933, 2.66541, 0.545402, -0.857221, -2.57771, 0.00359342, -0.00702085
8, 0.00000, 187.874, -109.103, -189.052, -108.254, 0.624961, 218.193, 0.000131493, -0.000799205, -1.75259, 2.1177, 2.70332, 0.454861, -0.954429, -2.56519, 0.00370176, -0.00736402
9, 0.00000, 194.571, -110.251, -192.94, -113.253, -1.56091, 223.81, -0.000248857, -6.49575E-005, 0.698092, 0.69218, 0.249419, -0.950486, -0.947418, 0.259353, -9.25976E-005, -0.00104735
10, 0.00000, 197.31, -110.625, -194.466, -115.348, -2.5342, 226.084, -0.00038785, 0.00018609, 1.72393, 0.137113, -0.744889, -1.56163, -0.979177, 1.42649, 0.000136293, -0.00198087
11, 0.00000, 208.237, -112.086, -200.593, -123.754, -6.48144, 235.232, -0.000805219, 0.000954885, 5.7449, -2.03923, -4.65651, -3.96605, -1.09831, 6.02721, 0.00992624, -0.0219205
12, 0.00000, 208.795, -112.168, -200.915, -124.182, -6.67933, 235.707, -0.000820165, 0.00098492, 5.94381, -2.15088, -4.85405, -4.08342, -1.10053, 6.25788, 0.0107696, -0.0235762
