hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.639, -110.48, -190.989, -109.07, 0.90811, 220.215, -1.03182E-005, -1.74738E-005, -0.698067, 0.786782, 1.02841, 0.209883, -0.331431, -0.994513, 0.0114085, 0.0153215
2, 0.00000, 190.515, -110.831, -191.651, -109.64, 0.767075, 221.028, -8.66517E-006, -1.4543E-005, -0.589487, 0.663566, 0.867988, 0.177826, -0.279283, -0.839862, 0.00944685, 0.0130121
3, 0.00000, 190.923, -110.994, -191.96, -109.905, 0.700867, 221.408, -7.90034E-006, -1.31954E-005, -0.538855, 0.606214, 0.793249, 0.162805, -0.255043, -0.767751, 0.00854916, 0.0119277
4, 0.00000, 191.063, -111.05, -192.066, -109.997, 0.677968, 221.538, -7.63999E-006, -1.27446E-005, -0.521442, 0.586506, 0.767545, 0.157627, -0.246713, -0.742938, 0.00825089, 0.0115498
5, 0.00000, 190.887, -110.979, -191.932, -109.882, 0.706821, 221.374, -7.965E-006, -1.32975E-005, -0.543318, 0.611268, 0.799856, 0.164134, -0.257188, -0.774134, 0.00861473, 0.0120294
6, 0.00000, 190.2, -110.705, -191.413, -109.434, 0.818125, 220.735, -9.25785E-006, -1.55813E-005, -0.628619, 0.707937, 0.925794, 0.189407, -0.298056, -0.895613, 0.0101386, 0.0138505
7, 0.00000, 188.804, -110.145, -190.358, -108.528, 1.04082, 219.44, -1.19085E-005, -2.03503E-005, -0.801337, 0.90426, 1.18112, 0.240165, -0.381222, -1.14156, 0.0133517, 0.0174876
8, 0.00000, 188.684, -109.925, -190.128, -108.524, 0.932388, 219.25, -1.31163E-005, -2.28458E-005, -0.895543, 1.00936, 1.31885, 0.268864, -0.425072, -1.27495, 0.0148804, 0.0195758
9, 0.00000, 194.386, -110.599, -193.138, -112.928, -1.18271, 223.818, -1.09743E-005, -2.12115E-005, -0.905832, 1.00016, 1.31879, 0.283204, -0.41423, -1.28309, 0.0122454, 0.0209408
10, 0.00000, 196.711, -110.792, -194.312, -114.766, -2.11281, 225.662, -1.03097E-005, -2.0953E-005, -0.927692, 1.01539, 1.34397, 0.294814, -0.417378, -1.3111, 0.0114113, 0.0218534
11, 0.00000, 206.019, -111.542, -199.041, -122.167, -5.89081, 233.108, -6.8002E-006, -1.79133E-005, -0.916682, 0.970291, 1.30284, 0.309062, -0.386437, -1.28417, 0.00708331, 0.022735
