hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.576, -110.428, -190.886, -109.028, 0.90994, 220.12, -4.28373E-005, -0.000181482, -0.234699, 0.264492, 0.345781, 0.070593, -0.111434, -0.334363, 0.000350928, -0.000722383
2, 0.00000, 190.463, -110.788, -191.566, -109.605, 0.768958, 220.95, -3.67242E-005, -0.000151414, -0.198179, 0.22306, 0.29182, 0.0598028, -0.0938935, -0.282348, 0.000252463, -0.000514615
3, 0.00000, 190.877, -110.955, -191.882, -109.874, 0.702753, 221.337, -3.38511E-005, -0.000137544, -0.18115, 0.203775, 0.266682, 0.0547475, -0.0857413, -0.258097, 0.000209221, -0.000425469
4, 0.00000, 191.018, -111.012, -191.99, -109.967, 0.679834, 221.469, -3.28257E-005, -0.000132892, -0.175295, 0.197149, 0.258038, 0.0530053, -0.0829402, -0.249753, 0.000196956, -0.000401087
5, 0.00000, 190.84, -110.94, -191.854, -109.85, 0.708741, 221.302, -3.41657E-005, -0.000138603, -0.182649, 0.205472, 0.268901, 0.0551943, -0.0864619, -0.260242, 0.000209059, -0.000424585
6, 0.00000, 190.144, -110.658, -191.321, -109.397, 0.820025, 220.651, -3.8991E-005, -0.00016208, -0.211338, 0.237978, 0.311262, 0.0637002, -0.100207, -0.301098, 0.000283543, -0.000580545
7, 0.00000, 188.729, -110.082, -190.238, -108.479, 1.04244, 219.33, -4.83759E-005, -0.000210885, -0.26944, 0.304002, 0.397159, 0.0807887, -0.128183, -0.383829, 0.000465031, -0.000962041
8, 0.00000, 188.446, -109.797, -189.881, -108.371, 0.956212, 218.988, -5.05977E-005, -0.000231535, -0.301317, 0.339643, 0.443812, 0.0904541, -0.143072, -0.428962, 0.000576618, -0.00113489
9, 0.00000, 192.798, -109.993, -191.916, -111.9, -0.938777, 222.332, -2.89796E-005, -0.000173103, -0.306335, 0.339027, 0.446462, 0.0953068, -0.140602, -0.433943, 0.000473985, -0.00039114
10, 0.00000, 194.547, -109.993, -192.676, -113.358, -1.76487, 223.651, -2.10818E-005, -0.000153007, -0.314381, 0.345232, 0.456126, 0.0992418, -0.142184, -0.444376, 0.000438891, -9.78186E-005
11, 0.00000, 201.782, -110.117, -195.958, -119.352, -5.10961, 229.218, 1.06269E-005, -5.96587E-005, -0.312847, 0.33335, 0.446001, 0.104191, -0.133381, -0.43851, 0.000225837, 0.000969489
12, 0.00000, 202.169, -110.138, -196.147, -119.668, -5.27872, 229.526, 1.22923E-005, -5.3802E-005, -0.310155, 0.329997, 0.441792, 0.103558, -0.131845, -0.43457, 0.000207741, 0.00101501
13, 0.00000, 199.449, -110.11, -194.921, -117.401, -4.0018, 227.429, 7.64533E-007, -8.86163E-005, -0.312907, 0.336689, 0.448651, 0.102473, -0.136034, -0.439813, 0.000289175, 0.000651584
14, 0.00000, 192.795, -109.855, -191.8, -111.959, -1.043, 222.265, -2.97814E-005, -0.000180363, -0.322781, 0.356849, 0.470142, 0.100605, -0.147862, -0.457074, 0.000501173, -0.000379509
15, 0.00000, 188.992, -109.519, -189.885, -108.948, 0.487286, 219.265, -4.85901E-005, -0.000242802, -0.338833, 0.38012, 0.497615, 0.102602, -0.159469, -0.481564, 0.000686693, -0.00115906
16, 0.00000, 186.142, -109.018, -188.258, -106.81, 1.43523, 216.923, -6.36112E-005, -0.000305401, -0.375037, 0.424663, 0.553564, 0.111355, -0.17946, -0.534055, 0.000932501, -0.00196219
17, 0.00000, 184.565, -108.361, -187.053, -105.799, 1.66585, 215.463, -7.17022E-005, -0.000366365, -0.438966, 0.498131, 0.648431, 0.129547, -0.210766, -0.624912, 0.00130172, -0.00276555
18, 0.00000, 183.318, -107.839, -186.03, -104.97, 1.87342, 214.253, -7.932E-005, -0.00041686, -0.491458, 0.558655, 0.726646, 0.1444, -0.236748, -0.69961, 0.00155943, -0.00344586
19, 0.00000, 182.849, -107.651, -185.628, -104.657, 1.96124, 213.761, -8.24848E-005, -0.0004363, -0.512193, 0.582645, 0.757668, 0.150286, -0.247127, -0.729247, 0.00165172, -0.00368441
20, 0.00000, 182.579, -107.548, -185.399, -104.481, 2.01203, 213.471, -8.41656E-005, -0.000446886, -0.524197, 0.596569, 0.775665, 0.153703, -0.253179, -0.746487, 0.0017109, -0.0037846
21, 0.00000, 182.895, -107.67, -185.667, -104.688, 1.95278, 213.808, -8.22375E-005, -0.00043357, -0.51013, 0.580263, 0.75461, 0.149711, -0.246116, -0.726357, 0.00163573, -0.0036169
