hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.115941, -0.0381081, -0.115944, -0.0381089, -0.115944, -0.0381092, -2.11187E-010, -2.94129E-011
2, 0.00000, -0.0982591, -0.0322962, -0.098257, -0.0322955, -0.0982565, -0.0322954, -1.48683E-010, -1.75285E-011
3, 0.00000, -0.0899656, -0.0295703, -0.0899648, -0.02957, -0.0899645, -0.0295699, -1.23426E-010, -1.31689E-011
4, 0.00000, -0.0871111, -0.028632, -0.0871089, -0.0286312, -0.0871078, -0.028631, -1.15366E-010, -1.19926E-011
5, 0.00000, -0.0906909, -0.0298086, -0.0906937, -0.0298097, -0.0906951, -0.02981, -1.25443E-010, -1.32384E-011
6, 0.00000, -0.104644, -0.0343948, -0.104646, -0.0343954, -0.104646, -0.0343955, -1.69783E-010, -2.11347E-011
7, 0.00000, -0.132639, -0.0435965, -0.132645, -0.043598, -0.132646, -0.0435988, -2.81892E-010, -4.54754E-011
8, 0.00000, -0.147993, -0.0486428, -0.147994, -0.0486432, -0.147994, -0.0486434, -3.54598E-010, -6.07687E-011
9, 0.00000, -0.151583, -0.0498222, -0.151575, -0.0498204, -0.151573, -0.0498189, -3.46323E-010, -2.49826E-011
10, 0.00000, -0.155958, -0.0512606, -0.155956, -0.0512602, -0.155955, -0.0512598, -3.56375E-010, -1.22495E-011
11, 0.00000, -0.157057, -0.0516232, -0.157055, -0.0516227, -0.157055, -0.0516223, -3.2186E-010, 3.12508E-011
12, 0.00000, -0.155816, -0.051214, -0.155816, -0.0512145, -0.155817, -0.0512145, -3.14663E-010, 3.28021E-011
13, 0.00000, -0.156501, -0.0514395, -0.156502, -0.0514396, -0.156502, -0.0514398, -3.31401E-010, 1.94078E-011
14, 0.00000, -0.159561, -0.0524463, -0.159573, -0.0524488, -0.159575, -0.0524511, -3.8393E-010, -2.6191E-011
15, 0.00000, -0.166231, -0.0546376, -0.166233, -0.0546381, -0.166233, -0.0546384, -4.45833E-010, -7.10876E-011
16, 0.00000, -0.182652, -0.0600348, -0.182655, -0.0600357, -0.182655, -0.0600362, -5.68671E-010, -1.33998E-010
17, 0.00000, -0.21237, -0.0698025, -0.212372, -0.0698032, -0.212373, -0.0698038, -7.98614E-010, -2.26315E-010
18, 0.00000, -0.233309, -0.0766855, -0.236502, -0.0777344, -0.236506, -0.0777352, -7.39976E-010, 1.83413E-010
19, 0.00000, -0.240833, -0.079156, -0.244459, -0.0803511, -0.245988, -0.0808526, -7.99653E-010, 3.64798E-010
20, 0.00000, -0.245144, -0.0805741, -0.248801, -0.0817771, -0.251489, -0.0826614, -8.55054E-010, 4.49374E-010
21, 0.00000, -0.240094, -0.0789163, -0.243711, -0.080103, -0.245077, -0.0805527, -7.90829E-010, 3.51019E-010
22, 0.00000, -0.223486, -0.0734551, -0.224257, -0.0737081, -0.224248, -0.0737093, -8.45145E-010, -1.49113E-010
23, 0.00000, -0.190327, -0.0625572, -0.190318, -0.0625556, -0.190313, -0.0625523, -6.23967E-010, -1.56301E-010
24, 0.00000, -0.149847, -0.0492523, -0.149837, -0.0492495, -0.149834, -0.0492476, -3.67953E-010, -6.99783E-011
25, 0.00000, -0.115958, -0.0381136, -0.115953, -0.0381119, -0.115951, -0.0381113, -2.11496E-010, -3.00907E-011
26, 0.00000, -0.0982591, -0.0322962, -0.098257, -0.0322955, -0.0982565, -0.0322954, -1.48684E-010, -1.75291E-011
27, 0.00000, -0.0899656, -0.0295703, -0.0899648, -0.02957, -0.0899645, -0.0295699, -1.23426E-010, -1.31689E-011
28, 0.00000, -0.0871111, -0.028632, -0.0871089, -0.0286312, -0.0871078, -0.028631, -1.15366E-010, -1.19926E-011
29, 0.00000, -0.0906909, -0.0298086, -0.0906937, -0.0298097, -0.0906951, -0.02981, -1.25443E-010, -1.32384E-011
30, 0.00000, -0.104644, -0.0343948, -0.104646, -0.0343954, -0.104646, -0.0343955, -1.69783E-010, -2.11347E-011
31, 0.00000, -0.132639, -0.0435965, -0.132645, -0.043598, -0.132646, -0.0435988, -2.81892E-010, -4.54754E-011
32, 0.00000, -0.147993, -0.0486428, -0.147994, -0.0486432, -0.147994, -0.0486434, -3.54637E-010, -6.08333E-011
33, 0.00000, -0.151582, -0.0498221, -0.151575, -0.0498204, -0.151573, -0.0498191, -3.55472E-010, -3.79261E-011
34, 0.00000, -0.155961, -0.0512615, -0.155957, -0.0512607, -0.155957, -0.0512601, -3.62743E-010, -2.05633E-011
35, 0.00000, -0.157059, -0.0516224, -0.157056, -0.0516221, -0.157056, -0.0516216, -3.4883E-010, 2.96019E-012
36, 0.00000, -0.155839, -0.0512212, -0.155835, -0.0512206, -0.155833, -0.0512196, -3.40558E-010, 5.99813E-012
37, 0.00000, -0.156499, -0.0514388, -0.1565, -0.0514392, -0.156501, -0.0514396, -3.54257E-010, -6.397E-012
38, 0.00000, -0.159568, -0.0524483, -0.159576, -0.05245, -0.159578, -0.0524516, -3.90672E-010, -3.56733E-011
