hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 187.533, -108.824, -188.717, -108.096, 0.572033, 217.905, -5.81204E-006, -1.10879E-005, -0.925686, 1.03967, 1.35944, 0.27932, -0.435918, -1.31476, 0.0151463, 0.0208098
2, 0.00000, 188.744, -109.438, -189.738, -108.819, 0.485626, 219.083, -4.85786E-006, -9.15136E-006, -0.779926, 0.875344, 1.14535, 0.235988, -0.366973, -1.10833, 0.0123997, 0.0176615
3, 0.00000, 189.307, -109.723, -190.213, -109.156, 0.444655, 219.631, -4.41893E-006, -8.26526E-006, -0.712167, 0.799031, 1.04586, 0.215768, -0.334969, -1.01232, 0.01115, 0.0161858
4, 0.00000, 189.5, -109.821, -190.376, -109.272, 0.43034, 219.819, -4.27124E-006, -7.97395E-006, -0.688929, 0.77287, 1.01171, 0.208818, -0.323987, -0.979355, 0.0107444, 0.0156701
5, 0.00000, 189.258, -109.699, -190.171, -109.127, 0.448494, 219.583, -4.4539E-006, -8.32445E-006, -0.718082, 0.805691, 1.05459, 0.217544, -0.337783, -1.02077, 0.0112259, 0.0163272
6, 0.00000, 188.308, -109.218, -189.37, -108.558, 0.517149, 218.659, -5.19811E-006, -9.82911E-006, -0.832355, 0.934424, 1.22239, 0.251608, -0.391774, -1.18265, 0.0133525, 0.0188057
7, 0.00000, 186.378, -108.236, -187.743, -107.407, 0.651855, 216.784, -6.73855E-006, -1.30262E-005, -1.06499, 1.19691, 1.56398, 0.320496, -0.501876, -1.51176, 0.0179366, 0.023764
8, 0.00000, 186.054, -107.821, -187.267, -107.324, 0.485007, 216.357, -7.17228E-006, -1.24282E-005, -1.09491, 1.28104, 1.65118, 0.303966, -0.55951, -1.5787, 0.0196182, 0.0246074
9, 0.00000, 192.56, -108.813, -190.869, -112.228, -1.72905, 221.651, -3.92244E-006, 7.37623E-006, -0.224122, 0.766484, 0.774693, -0.189955, -0.551336, -0.575215, 0.0126312, 0.007921
10, 0.00000, 195.191, -109.102, -192.246, -114.266, -2.7155, 223.759, -2.92851E-006, 1.4641E-005, 0.131892, 0.575707, 0.432055, -0.402558, -0.564409, -0.172478, 0.010995, 0.000889631
11, 0.00000, 205.949, -110.409, -198.049, -122.583, -6.69053, 232.53, 2.95187E-007, 3.75152E-005, 1.58001, -0.22727, -0.991139, -1.25792, -0.5918, 1.49028, 0.00841969, -0.0294021
12, 0.00000, 206.516, -110.496, -198.373, -123.015, -6.88836, 233.005, 4.55302E-007, 3.84168E-005, 1.65561, -0.27257, -1.06859, -1.30107, -0.590216, 1.57922, 0.00839389, -0.0310621
13, 0.00000, 202.481, -110.039, -196.209, -119.874, -5.36474, 229.711, -5.43769E-007, 3.09541E-005, 1.11176, 0.0240385, -0.537208, -0.976528, -0.57606, 0.955011, 0.00836784, -0.0194162
14, 0.00000, 192.607, -108.636, -190.742, -112.344, -1.88471, 221.604, -4.06366E-006, 8.34001E-006, -0.210816, 0.792243, 0.790457, -0.214416, -0.58037, -0.576615, 0.0130868, 0.00786672
15, 0.00000, 186.986, -107.56, -187.45, -108.202, -0.13581, 216.929, -6.96613E-006, -7.41717E-006, -0.955229, 1.27207, 1.57431, 0.187932, -0.621938, -1.45449, 0.0197559, 0.022353
16, 0.00000, 182.841, -106.421, -184.766, -105.312, 0.879956, 213.363, -9.69223E-006, -1.95362E-005, -1.49252, 1.68068, 2.19115, 0.445379, -0.704546, -2.11439, 0.0275544, 0.0324456
17, 0.00000, 180.68, -105.302, -182.952, -104.042, 1.00753, 211.285, -1.15828E-005, -2.39372E-005, -1.75444, 1.9779, 2.57492, 0.520788, -0.828837, -2.48211, 0.0342221, 0.0374801
18, 0.00000, 179.009, -104.426, -181.394, -103, 1.15536, 209.557, -1.38274E-005, -2.13777E-005, -1.95702, 2.20807, 2.89362, 0.583301, -0.932706, -2.78632, 0.0271378, 0.042265
19, 0.00000, 178.396, -104.122, -180.783, -102.619, 1.22668, 208.846, -1.51336E-005, -1.5249E-005, -2.02679, 2.28779, 3.01956, 0.608225, -0.974466, -2.90758, 0.0151889, 0.0452342
20, 0.00000, 178.045, -103.957, -180.44, -102.409, 1.26675, 208.427, -1.21729E-005, -1.30694E-005, -2.06685, 2.33379, 3.08007, 0.620234, -0.998878, -2.97839, 0.0120388, 0.0532704
21, 0.00000, 178.457, -104.152, -180.842, -102.656, 1.21994, 208.915, -1.4954E-005, -1.58107E-005, -2.0199, 2.27996, 3.00788, 0.605948, -0.970429, -2.89587, 0.0160707, 0.044688
22, 0.00000, 179.829, -104.858, -182.204, -103.53, 1.06695, 210.442, -1.24192E-005, -2.56563E-005, -1.86049, 2.09833, 2.73094, 0.551337, -0.879507, -2.63115, 0.0367852, 0.0394199
23, 0.00000, 182.287, -106.135, -184.303, -104.987, 0.912936, 212.832, -1.01814E-005, -2.06823E-005, -1.55957, 1.7567, 2.28928, 0.464717, -0.736272, -2.20843, 0.0292949, 0.0337163
24, 0.00000, 185.174, -107.62, -186.731, -106.693, 0.731487, 215.619, -7.72937E-006, -1.52064E-005, -1.21029, 1.36113, 1.77704, 0.363139, -0.570628, -1.71668, 0.0211434, 0.0267463
