hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.0683068, -0.0224513, -0.0683082, -0.0224519, -0.0683083, -0.0224519, 3.84474E-010, -1.01414E-010
2, 0.00000, -0.057889, -0.0190271, -0.0578878, -0.0190269, -0.0578874, -0.0190267, 2.25805E-010, -6.15458E-011
3, 0.00000, -0.053003, -0.0174212, -0.0530025, -0.0174211, -0.0530023, -0.017421, 1.68388E-010, -4.65129E-011
4, 0.00000, -0.0513211, -0.0168684, -0.0513198, -0.016868, -0.0513191, -0.0168678, 1.53128E-010, -4.22994E-011
5, 0.00000, -0.0534306, -0.0175617, -0.0534322, -0.0175624, -0.0534329, -0.0175625, 1.69089E-010, -4.68722E-011
6, 0.00000, -0.0616509, -0.0202636, -0.0616518, -0.020264, -0.061652, -0.020264, 2.73535E-010, -7.36681E-011
7, 0.00000, -0.0781445, -0.0256848, -0.0781474, -0.0256858, -0.0781479, -0.0256861, 6.02837E-010, -1.54896E-010
8, 0.00000, -0.0871897, -0.0286577, -0.0871902, -0.0286582, -0.0871903, -0.0286581, 8.03018E-010, -2.19822E-010
9, 0.00000, -0.0893044, -0.0293524, -0.0892996, -0.0293517, -0.0892987, -0.0293506, 2.45688E-010, -2.21461E-010
10, 0.00000, -0.0918821, -0.0301999, -0.0918808, -0.0302, -0.0918805, -0.0301995, 5.93814E-011, -2.30519E-010
11, 0.00000, -0.0925302, -0.0304136, -0.0925285, -0.0304135, -0.0925284, -0.0304131, -4.72859E-010, -2.03499E-010
12, 0.00000, -0.0917985, -0.0301725, -0.0917987, -0.030173, -0.0917987, -0.0301728, -4.86118E-010, -1.95882E-010
13, 0.00000, -0.0922025, -0.0303054, -0.0922029, -0.0303056, -0.0922028, -0.0303055, -3.40852E-010, -2.09642E-010
14, 0.00000, -0.0940057, -0.0308987, -0.0940122, -0.0309004, -0.0940133, -0.0309014, 2.48425E-010, -2.4934E-010
15, 0.00000, -0.097935, -0.0321895, -0.0979359, -0.0321901, -0.0979357, -0.0321899, 9.04725E-010, -3.09743E-010
16, 0.00000, -0.107609, -0.0353692, -0.107611, -0.0353702, -0.107611, -0.03537, 1.85879E-009, -4.37487E-010
17, 0.00000, -0.125117, -0.0411238, -0.125119, -0.0411248, -0.125118, -0.0411244, 3.22614E-009, -7.19962E-010
18, 0.00000, -0.138292, -0.0454541, -0.139334, -0.0457975, -0.139336, -0.0457973, 5.59919E-010, 8.74834E-010
19, 0.00000, -0.142782, -0.0469287, -0.144836, -0.0476064, -0.144923, -0.0476341, -1.55395E-009, 2.66686E-009
20, 0.00000, -0.145356, -0.0477754, -0.147426, -0.0484569, -0.148164, -0.0486995, -2.85821E-009, 1.66166E-009
21, 0.00000, -0.142341, -0.0467854, -0.144381, -0.0474555, -0.144386, -0.0474572, -1.32385E-009, 2.76664E-009
22, 0.00000, -0.132101, -0.0434186, -0.13212, -0.0434253, -0.132114, -0.0434251, 3.85043E-009, -8.09912E-010
23, 0.00000, -0.112131, -0.0368551, -0.112125, -0.0368546, -0.112122, -0.0368522, 2.18785E-009, -5.05195E-010
24, 0.00000, -0.0882816, -0.0290166, -0.0882756, -0.0290153, -0.0882742, -0.029014, 9.4415E-010, -2.35771E-010
25, 0.00000, -0.0683162, -0.0224544, -0.0683131, -0.0224536, -0.0683123, -0.0224531, 3.93856E-010, -1.04265E-010
26, 0.00000, -0.057889, -0.0190271, -0.0578878, -0.0190269, -0.0578874, -0.0190267, 2.25812E-010, -6.15511E-011
27, 0.00000, -0.053003, -0.0174212, -0.0530025, -0.0174211, -0.0530023, -0.017421, 1.68388E-010, -4.65129E-011
28, 0.00000, -0.0513211, -0.0168684, -0.0513198, -0.016868, -0.0513191, -0.0168678, 1.53128E-010, -4.22994E-011
29, 0.00000, -0.0534306, -0.0175617, -0.0534322, -0.0175624, -0.0534329, -0.0175625, 1.69089E-010, -4.68722E-011
30, 0.00000, -0.0616509, -0.0202636, -0.0616518, -0.020264, -0.061652, -0.020264, 2.73535E-010, -7.36681E-011
31, 0.00000, -0.0781445, -0.0256848, -0.0781474, -0.0256858, -0.0781479, -0.0256861, 6.02837E-010, -1.54896E-010
32, 0.00000, -0.0871896, -0.0286577, -0.0871902, -0.0286582, -0.0871902, -0.028658, 8.04063E-010, -2.19839E-010
33, 0.00000, -0.0893038, -0.0293524, -0.0892996, -0.0293517, -0.0892986, -0.0293507, 4.36013E-010, -2.27688E-010
34, 0.00000, -0.0918839, -0.0302004, -0.0918817, -0.0302003, -0.0918812, -0.0301996, 1.7416E-010, -2.35986E-010
35, 0.00000, -0.0925308, -0.0304131, -0.0925293, -0.0304132, -0.0925291, -0.0304126, -1.43011E-010, -2.25562E-010
36, 0.00000, -0.0918115, -0.0301766, -0.0918092, -0.0301765, -0.0918082, -0.0301757, -1.79215E-010, -2.18461E-010
