hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 187.5, -108.794, -188.676, -108.083, 0.562511, 217.864, 7.51314E-005, -0.000342719, -0.220567, 0.24772, 0.323913, 0.0665562, -0.103863, -0.313268, 0.000516996, -0.0010085
2, 0.00000, 188.716, -109.413, -189.703, -108.808, 0.477623, 219.048, 6.0696E-005, -0.000283932, -0.185832, 0.208565, 0.272898, 0.0562284, -0.0874365, -0.264077, 0.000369866, -0.000716212
3, 0.00000, 189.281, -109.7, -190.181, -109.146, 0.437355, 219.599, 5.41412E-005, -0.000256994, -0.169685, 0.190382, 0.249191, 0.0514096, -0.0798113, -0.2412, 0.000305468, -0.000590869
4, 0.00000, 189.475, -109.798, -190.345, -109.262, 0.423281, 219.789, 5.20594E-005, -0.000248078, -0.164148, 0.184148, 0.241055, 0.0497532, -0.0771948, -0.233344, 0.000287385, -0.000556949
5, 0.00000, 189.232, -109.675, -190.139, -109.117, 0.441133, 219.551, 5.44575E-005, -0.000258892, -0.171094, 0.191968, 0.251271, 0.0518328, -0.0804817, -0.243212, 0.00030494, -0.000588982
6, 0.00000, 188.278, -109.19, -189.333, -108.547, 0.508601, 218.622, 6.56119E-005, -0.000304617, -0.198326, 0.222643, 0.291255, 0.0599513, -0.0933454, -0.281786, 0.000415955, -0.000808372
7, 0.00000, 186.34, -108.201, -187.696, -107.392, 0.640876, 216.736, 9.01953E-005, -0.000401055, -0.253766, 0.285191, 0.372655, 0.0763706, -0.119578, -0.360214, 0.000689399, -0.00134809
8, 0.00000, 186.011, -107.782, -187.214, -107.307, 0.472769, 216.304, 0.000104447, -0.00045096, -0.284082, 0.318673, 0.416598, 0.0857087, -0.13337, -0.402799, 0.000854065, -0.00158287
9, 0.00000, 192.517, -108.775, -190.816, -112.21, -1.74069, 221.597, 9.88142E-005, -0.00040746, -0.286325, 0.314245, 0.414951, 0.0901925, -0.129277, -0.403993, 0.000651432, -0.000444993
10, 0.00000, 195.147, -109.063, -192.192, -114.249, -2.72711, 223.704, 9.85186E-005, -0.00039817, -0.29287, 0.318434, 0.422261, 0.0938789, -0.129971, -0.412307, 0.000580319, -5.54834E-006
11, 0.00000, 205.905, -110.372, -197.998, -122.565, -6.70081, 232.477, 8.65042E-005, -0.000328117, -0.287576, 0.301857, 0.406602, 0.0980898, -0.11925, -0.401448, 0.00022465, 0.00150036
12, 0.00000, 206.474, -110.459, -198.321, -122.998, -6.8985, 232.953, 8.48508E-005, -0.000321958, -0.284887, 0.298542, 0.402441, 0.0974495, -0.11775, -0.397553, 0.000196817, 0.00156175
13, 0.00000, 202.438, -110.001, -196.157, -119.856, -5.37543, 229.657, 8.97779E-005, -0.000348313, -0.288833, 0.306649, 0.411001, 0.0966343, -0.122495, -0.404347, 0.000327866, 0.00106309
14, 0.00000, 192.562, -108.595, -190.686, -112.326, -1.89693, 221.548, 0.000104215, -0.000426994, -0.301731, 0.330622, 0.436881, 0.0953022, -0.135836, -0.42551, 0.000685128, -0.000414583
15, 0.00000, 186.937, -107.516, -187.39, -108.183, -0.149341, 216.87, 0.000119699, -0.000497463, -0.31925, 0.35581, 0.466366, 0.0974579, -0.148119, -0.45169, 0.00100223, -0.00157752
16, 0.00000, 182.787, -106.371, -184.7, -105.292, 0.864469, 213.297, 0.000144209, -0.000594215, -0.355662, 0.400475, 0.522117, 0.106142, -0.167867, -0.503831, 0.00141223, -0.00278541
17, 0.00000, 180.617, -105.244, -182.874, -104.018, 0.989253, 211.207, 0.000183025, -0.00072294, -0.418096, 0.471308, 0.613581, 0.124122, -0.197482, -0.591473, 0.00199761, -0.0039568
18, 0.00000, 178.939, -104.361, -181.306, -102.973, 1.13504, 209.47, 7.00764E-005, -0.000689668, -0.466136, 0.525883, 0.689543, 0.139029, -0.222232, -0.663982, -0.00117387, -0.000931143
19, 0.00000, 178.323, -104.055, -180.691, -102.59, 1.20571, 208.755, -5.28591E-005, -0.000574931, -0.482752, 0.544863, 0.719289, 0.14492, -0.232184, -0.692885, -0.00435327, 0.00310309
20, 0.00000, 177.971, -103.888, -180.346, -102.38, 1.24534, 208.333, -1.80908E-005, -0.000471052, -0.492291, 0.555814, 0.733582, 0.147758, -0.238001, -0.709765, -0.00328967, 0.00619405
