hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -23.0557, -7.50977, -22.6167, -7.37945, -22.5995, -7.3652, -7.12402E-005, 4.68045E-005
2, 0.00000, -19.4748, -6.35235, -19.1092, -6.24203, -19.097, -6.232, -4.96309E-005, 3.30009E-005
3, 0.00000, -17.8044, -5.81127, -17.4725, -5.71039, -17.4624, -5.70208, -4.09777E-005, 2.74128E-005
4, 0.00000, -17.2297, -5.62493, -16.9092, -5.52725, -16.8996, -5.51946, -3.82551E-005, 2.56294E-005
5, 0.00000, -17.9518, -5.85908, -17.6174, -5.75749, -17.6072, -5.74907, -4.1621E-005, 2.78571E-005
6, 0.00000, -20.7656, -6.76996, -20.374, -6.65249, -20.3602, -6.64105, -5.6863E-005, 3.76626E-005
7, 0.00000, -26.4596, -8.60687, -25.9486, -8.45751, -25.9259, -8.43848, -9.60886E-005, 6.23894E-005
8, 0.00000, -27.4665, -9.59935, -26.9327, -9.4326, -26.908, -9.41181, -0.000105361, 6.8961E-005
9, 0.00000, -8.76124, -9.72977, -8.59657, -9.56126, -8.59093, -9.5574, -1.7036E-005, 1.55667E-005
10, 0.00000, -1.15337, -10.0064, -1.12312, -9.83391, -1.11758, -9.83082, -9.98108E-006, 1.10501E-005
11, 0.00000, 30.422, -10.266, 29.9701, -10.0916, 30.0142, -10.0654, -9.7946E-005, 8.61107E-005
12, 0.00000, 32.1132, -10.2068, 31.6384, -10.0336, 31.6861, -10.0049, -0.000106521, 9.40536E-005
13, 0.00000, 20.1825, -10.1336, 19.875, -9.96088, 19.9001, -9.94597, -5.24198E-005, 4.53609E-005
14, 0.00000, -8.67512, -10.2436, -8.51212, -10.067, -8.50618, -10.0628, -1.7747E-005, 1.64876E-005
15, 0.00000, -24.8963, -10.7482, -24.4156, -10.5616, -24.3948, -10.5442, -8.82263E-005, 6.06503E-005
16, 0.00000, -36.7893, -11.9172, -36.0452, -11.71, -36, -11.6712, -0.000200566, 0.000125364
17, 0.00000, -43.0314, -13.9036, -42.1355, -13.6614, -42.0728, -13.6066, -0.000287659, 0.000175663
18, 0.00000, -48.1015, -15.5085, -47.1368, -15.2562, -47.054, -15.1892, -0.000346526, 0.000210513
19, 0.00000, -50.0774, -16.1327, -49.0966, -15.8783, -49.0271, -15.8152, -0.000356854, 0.000224008
20, 0.00000, -51.2172, -16.4928, -50.2246, -16.2355, -50.1711, -16.1778, -0.000360535, 0.000233187
21, 0.00000, -49.8827, -16.0714, -48.9036, -15.817, -48.8335, -15.7539, -0.000355543, 0.000222679
22, 0.00000, -45.5334, -14.6966, -44.5877, -14.4446, -44.5158, -14.3831, -0.000322774, 0.000195797
23, 0.00000, -38.3901, -12.4277, -37.6067, -12.2112, -37.5569, -12.1683, -0.000221586, 0.000137506
24, 0.00000, -29.9863, -9.74033, -29.3967, -9.57084, -29.367, -9.54569, -0.000127084, 8.13332E-005
25, 0.00000, -23.0572, -7.51027, -22.6175, -7.37975, -22.6002, -7.3654, -7.14252E-005, 4.68767E-005
