hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 193.518, -113.495, -195.091, -110.822, 1.52748, 224.425, -0.00473817, 0.0410115, -71.7137, 80.8655, 103.891, 21.1903, -33.5019, -100.472, 1.32427, -1.58408
2, 0.00000, 193.787, -113.371, -195.112, -111.121, 1.28694, 224.583, -0.00396668, 0.0344645, -60.5833, 68.2231, 87.7103, 17.9608, -28.2356, -84.8715, 1.10859, -1.31247
3, 0.00000, 193.913, -113.314, -195.122, -111.26, 1.1747, 224.656, -0.00360797, 0.0314271, -55.3901, 62.336, 80.1686, 16.4468, -25.7871, -77.5947, 1.00866, -1.1881
4, 0.00000, 193.956, -113.294, -195.125, -111.307, 1.13606, 224.681, -0.00348753, 0.0303921, -53.6034, 60.3121, 77.5739, 15.9246, -24.9454, -75.0899, 0.974892, -1.14685
5, 0.00000, 193.901, -113.319, -195.121, -111.247, 1.18465, 224.649, -0.00363475, 0.0316825, -55.8486, 62.8555, 80.8359, 16.5809, -26.0039, -78.2393, 1.01659, -1.19706
6, 0.00000, 193.69, -113.416, -195.105, -111.013, 1.37369, 224.526, -0.00424026, 0.0368102, -64.5958, 72.7769, 93.5422, 19.1278, -30.1318, -90.4964, 1.18537, -1.40821
7, 0.00000, 193.261, -113.612, -195.071, -110.539, 1.75596, 224.275, -0.00548996, 0.0473087, -82.2917, 92.9115, 119.286, 24.2387, -38.5283, -115.297, 1.53382, -1.85311
8, 0.00000, 193.149, -113.608, -195.013, -110.442, 1.81076, 224.181, -0.00451558, 0.0495264, -83.933, 99.0676, 125.309, 22.5974, -42.9498, -119.681, 1.57329, -1.98392
9, 0.00000, 194.223, -112.611, -194.645, -111.875, 0.435856, 224.543, 0.0105975, 0.018695, -12.0219, 57.0663, 54.4206, -17.8426, -42.6379, -38.1769, 0.239236, -1.04687
10, 0.00000, 194.642, -112.19, -194.473, -112.451, -0.129389, 224.67, 0.0170706, 0.00681439, 17.7944, 41.1526, 26.2409, -35.3935, -43.7539, -4.99951, -0.281444, -0.75967
11, 0.00000, 196.402, -110.473, -193.798, -114.847, -2.46749, 225.237, 0.0419496, -0.040045, 140.003, -26.4785, -91.6133, -106.364, -46.1426, 132.751, -2.24688, 0.0921491
12, 0.00000, 196.499, -110.384, -193.766, -114.976, -2.59167, 225.271, 0.0431409, -0.0424782, 146.405, -30.3005, -98.0369, -109.955, -46.0248, 140.128, -2.34362, 0.127471
13, 0.00000, 195.839, -111.036, -194.026, -114.074, -1.70691, 225.061, 0.0338558, -0.0253444, 100.188, -5.05959, -53.6923, -82.9052, -44.8604, 88.0807, -1.63504, -0.115836
14, 0.00000, 194.2, -112.578, -194.604, -111.871, 0.419786, 224.506, 0.0116024, 0.0187906, -10.5484, 58.8625, 55.2278, -19.9821, -44.8924, -37.8044, 0.213048, -1.07601
15, 0.00000, 193.237, -113.408, -194.876, -110.616, 1.60074, 224.147, -0.000380175, 0.0457295, -71.5502, 97.6134, 118.024, 12.7969, -47.816, -108.492, 1.34223, -1.91815
16, 0.00000, 192.48, -113.965, -195.006, -109.677, 2.4481, 223.819, -0.0078794, 0.0668916, -114.378, 129.636, 166.079, 33.3588, -53.8986, -160.255, 2.19685, -2.7396
17, 0.00000, 192.005, -114.178, -194.965, -109.156, 2.86549, 223.542, -0.00940025, 0.0790725, -133.756, 151.952, 194.41, 38.7739, -63.2705, -187.399, 2.61704, -3.3268
18, 0.00000, 191.62, -114.351, -194.93, -108.728, 3.20888, 223.312, -0.00964042, 0.087921, -149.491, 170.144, 217.729, 43.1801, -71.0311, -209.689, 2.79293, -3.6351
19, 0.00000, 191.469, -114.419, -194.916, -108.561, 3.34483, 223.22, -0.00980911, 0.0905887, -155.619, 177.253, 226.878, 44.9007, -74.1248, -218.525, 2.86575, -3.62897
20, 0.00000, 191.382, -114.459, -194.908, -108.465, 3.42353, 223.166, -0.0100491, 0.0919723, -159.152, 181.361, 232.147, 45.8896, -75.923, -223.65, 2.92876, -3.60004
21, 0.00000, 191.484, -114.412, -194.917, -108.578, 3.33149, 223.229, -0.00979815, 0.0903085, -155.015, 176.553, 225.977, 44.7318, -73.8211, -217.658, 2.85925, -3.62676
