hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0221055, 1.92932E-008, -4.85335E-011, -6.57432E-010
9, 0.00000, -0.227036, -9.19427E-007, -5.4944E-009, 9.59874E-009
10, 0.00000, -0.31874, -2.70829E-007, -1.03338E-008, 2.27824E-008
11, 0.00000, -0.675499, -4.35187E-006, -3.66899E-008, 1.18349E-007
12, 0.00000, -0.692407, 1.67866E-006, -3.80005E-008, 1.24489E-007
13, 0.00000, -0.557209, 4.32377E-007, -2.71291E-008, 7.97186E-008
14, 0.00000, -0.24501, 1.40728E-006, -6.3873E-009, 1.14035E-008
15, 0.00000, -0.0874843, 5.36742E-008, -8.61887E-010, -9.03003E-010
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.021809, 1.95147E-008, -4.71002E-011, -6.51043E-010
33, 0.00000, -0.155257, -6.68777E-007, -2.65894E-009, 2.73986E-009
34, 0.00000, -0.269053, -4.31234E-007, -7.57537E-009, 1.48836E-008
35, 0.00000, -0.425781, -2.98227E-007, -1.72921E-008, 4.45459E-008
36, 0.00000, -0.447487, -2.72372E-006, -1.8807E-008, 4.98371E-008
37, 0.00000, -0.35632, 1.87092E-007, -1.26351E-008, 2.96816E-008
38, 0.00000, -0.19854, 8.57149E-007, -4.29356E-009, 6.11056E-009
39, 0.00000, -0.0432079, 3.63775E-008, -2.00395E-010, -1.15763E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.064578, -2.14444E-007, -4.65261E-010, -9.62432E-010
58, 0.00000, -0.108197, -1.72816E-007, -1.31381E-009, -1.56898E-011
59, 0.00000, -0.152442, -2.34268E-007, -2.57678E-009, 2.33861E-009
