hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.260654, 0.0856717, -7.43654E-007, 4.37189E-007
2, 0.00000, 0.220883, 0.0726007, -5.24527E-007, 3.10345E-007
3, 0.00000, 0.202245, 0.0664744, -4.35939E-007, 2.58748E-007
4, 0.00000, 0.19581, 0.0643605, -4.07595E-007, 2.42153E-007
5, 0.00000, 0.203907, 0.0670189, -4.43157E-007, 2.63033E-007
6, 0.00000, 0.235255, 0.0773237, -5.98717E-007, 3.53456E-007
7, 0.00000, 0.298207, 0.098014, -9.90342E-007, 5.78714E-007
8, 0.00000, 0.332704, 0.109353, -1.10386E-006, 6.92527E-007
9, 0.00000, 0.340735, 0.111995, 1.19197E-007, 4.23334E-007
10, 0.00000, 0.350594, 0.115235, 6.07121E-007, 3.34694E-007
11, 0.00000, 0.353068, 0.116054, 2.27572E-006, -5.56406E-008
12, 0.00000, 0.350295, 0.115138, 2.32958E-006, -7.59563E-008
13, 0.00000, 0.351824, 0.115639, 1.77627E-006, 6.06962E-008
14, 0.00000, 0.358752, 0.117914, 1.68493E-007, 4.61461E-007
15, 0.00000, 0.373705, 0.122829, -9.48496E-007, 7.71406E-007
16, 0.00000, 0.410624, 0.134963, -1.98078E-006, 1.13735E-006
17, 0.00000, 0.477431, 0.156921, -2.76548E-006, 1.5724E-006
18, 0.00000, 0.531685, 0.174753, -3.51904E-006, 1.98373E-006
19, 0.00000, 0.553035, 0.18177, -3.84589E-006, 2.15891E-006
20, 0.00000, 0.565384, 0.185829, -4.04385E-006, 2.26314E-006
21, 0.00000, 0.550926, 0.181078, -3.81342E-006, 2.14033E-006
22, 0.00000, 0.504087, 0.165684, -3.12296E-006, 1.76826E-006
23, 0.00000, 0.427812, 0.140616, -2.16931E-006, 1.24234E-006
24, 0.00000, 0.336819, 0.110708, -1.28778E-006, 7.47748E-007
25, 0.00000, 0.260657, 0.0856742, -7.4415E-007, 4.3738E-007
26, 0.00000, 0.220883, 0.0726007, -5.24528E-007, 3.10345E-007
27, 0.00000, 0.202245, 0.0664744, -4.35939E-007, 2.58748E-007
28, 0.00000, 0.19581, 0.0643605, -4.07595E-007, 2.42153E-007
29, 0.00000, 0.203907, 0.0670189, -4.43157E-007, 2.63033E-007
30, 0.00000, 0.235255, 0.0773237, -5.98717E-007, 3.53456E-007
31, 0.00000, 0.298207, 0.098014, -9.90342E-007, 5.78714E-007
32, 0.00000, 0.332704, 0.109353, -1.10584E-006, 6.93E-007
33, 0.00000, 0.340735, 0.111995, -3.03581E-007, 5.23586E-007
34, 0.00000, 0.350595, 0.115235, 3.31E-007, 4.00115E-007
35, 0.00000, 0.35307, 0.116049, 1.16235E-006, 2.10022E-007
36, 0.00000, 0.350306, 0.115143, 1.26692E-006, 1.77677E-007
37, 0.00000, 0.351824, 0.115639, 8.06981E-007, 2.90735E-007
38, 0.00000, 0.358754, 0.117915, -1.15399E-007, 5.28897E-007
39, 0.00000, 0.373705, 0.122829, -1.27745E-006, 8.50294E-007
40, 0.00000, 0.410618, 0.134959, -1.9797E-006, 1.13683E-006
41, 0.00000, 0.477431, 0.156921, -2.76548E-006, 1.5724E-006
42, 0.00000, 0.531685, 0.174753, -3.51904E-006, 1.98373E-006
43, 0.00000, 0.553035, 0.18177, -3.84589E-006, 2.15891E-006
44, 0.00000, 0.565384, 0.185829, -4.04385E-006, 2.26314E-006
45, 0.00000, 0.550926, 0.181078, -3.81342E-006, 2.14033E-006
46, 0.00000, 0.504087, 0.165684, -3.12296E-006, 1.76826E-006
47, 0.00000, 0.427812, 0.140616, -2.16931E-006, 1.24234E-006
48, 0.00000, 0.336819, 0.110708, -1.28778E-006, 7.47748E-007
49, 0.00000, 0.260657, 0.0856742, -7.4415E-007, 4.3738E-007
50, 0.00000, 0.220883, 0.0726007, -5.24528E-007, 3.10345E-007
51, 0.00000, 0.202245, 0.0664744, -4.35939E-007, 2.58748E-007
52, 0.00000, 0.19581, 0.0643605, -4.07595E-007, 2.42153E-007
53, 0.00000, 0.203907, 0.0670189, -4.43157E-007, 2.63033E-007
54, 0.00000, 0.235255, 0.0773237, -5.98717E-007, 3.53456E-007
55, 0.00000, 0.298207, 0.098014, -9.90342E-007, 5.78714E-007
56, 0.00000, 0.332703, 0.109352, -1.25301E-006, 7.28166E-007
57, 0.00000, 0.340735, 0.111994, -8.79185E-007, 6.60558E-007
58, 0.00000, 0.350596, 0.115235, -6.5377E-007, 6.34007E-007
59, 0.00000, 0.353073, 0.116049, -3.8062E-007, 5.75929E-007
60, 0.00000, 0.350309, 0.115141, -3.67075E-007, 5.64979E-007
