hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.455, -110.336, -190.795, -108.985, 0.87874, 220.015, -4.89628E-006, -9.15405E-006, -0.352323, 0.396984, 0.518906, 0.105958, -0.16716, -0.501808, 0.00547354, 0.00802035
2, 0.00000, 190.359, -110.71, -191.487, -109.568, 0.742437, 220.86, -4.1066E-006, -7.61129E-006, -0.297464, 0.334764, 0.437897, 0.089753, -0.140847, -0.423711, 0.00452022, 0.0068051
3, 0.00000, 190.781, -110.883, -191.809, -109.84, 0.678416, 221.254, -3.74179E-006, -6.9026E-006, -0.271889, 0.305809, 0.400164, 0.0821623, -0.128618, -0.387304, 0.00408502, 0.00623511
4, 0.00000, 190.926, -110.942, -191.92, -109.933, 0.656265, 221.389, -3.61793E-006, -6.66591E-006, -0.263096, 0.295861, 0.387188, 0.0795462, -0.124416, -0.374778, 0.00394107, 0.00603686
5, 0.00000, 190.744, -110.868, -191.781, -109.816, 0.684182, 221.219, -3.77225E-006, -6.95583E-006, -0.274142, 0.308359, 0.403498, 0.0828336, -0.129699, -0.390525, 0.00411595, 0.00628819
6, 0.00000, 190.034, -110.575, -191.238, -109.358, 0.79179, 220.556, -4.38935E-006, -8.15732E-006, -0.317232, 0.357167, 0.467085, 0.0956059, -0.150319, -0.451861, 0.00485548, 0.00724577
7, 0.00000, 188.592, -109.979, -190.135, -108.43, 1.00689, 219.211, -5.65804E-006, -1.06712E-005, -0.404521, 0.456325, 0.596044, 0.121272, -0.192288, -0.576089, 0.00642256, 0.00916278
8, 0.00000, 188.487, -109.755, -189.908, -108.44, 0.889216, 219.031, -5.83553E-006, -9.42889E-006, -0.341063, 0.44467, 0.554247, 0.0722521, -0.213849, -0.515456, 0.00650047, 0.00796294
9, 0.00000, 194.541, -110.563, -193.183, -113.068, -1.27607, 223.928, -1.76562E-006, 1.23555E-005, 0.661465, -0.131745, -0.445116, -0.506407, -0.215772, 0.638472, 0.00118885, -0.0126758
10, 0.00000, 197.015, -110.809, -194.465, -115.003, -2.23096, 225.909, -4.31243E-007, 2.05246E-005, 1.0905, -0.365253, -0.862603, -0.761459, -0.227491, 1.12793, 2.85999E-005, -0.0217404
11, 0.00000, 206.896, -111.754, -199.615, -122.782, -6.11018, 233.889, 3.74449E-006, 4.67026E-005, 2.74303, -1.2439, -2.45793, -1.75826, -0.289052, 3.0132, 0.000207375, -0.057738
12, 0.00000, 207.401, -111.809, -199.886, -123.179, -6.30587, 234.304, 3.9211E-006, 4.77166E-005, 2.82204, -1.28592, -2.53446, -1.80612, -0.291918, 3.10383, 0.000414054, -0.0595096
13, 0.00000, 203.714, -111.497, -197.986, -120.251, -4.81959, 231.328, 2.61231E-006, 3.90237E-005, 2.20572, -0.966443, -1.94558, -1.42945, -0.262103, 2.40277, -0.000644232, -0.0459013
14, 0.00000, 194.679, -110.472, -193.17, -113.221, -1.40647, 223.991, -1.77567E-006, 1.36019E-005, 0.72569, -0.154922, -0.497352, -0.550418, -0.227701, 0.705709, 0.00113812, -0.0139713
15, 0.00000, 189.579, -109.674, -190.311, -109.369, 0.333106, 219.806, -5.16597E-006, -3.34374E-006, -0.0690492, 0.314749, 0.306322, -0.0977073, -0.237342, -0.216242, 0.00523446, 0.00254484
16, 0.00000, 185.963, -108.88, -188.122, -106.747, 1.38715, 216.766, -8.04795E-006, -1.55978E-005, -0.563222, 0.637585, 0.830908, 0.167199, -0.269212, -0.801726, 0.00957371, 0.0125403
