hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.275029, -0.090397, -0.275032, -0.0903995, -0.275032, -0.0903983, 2.56328E-009, -6.88896E-010
2, 0.00000, -0.233076, -0.0766078, -0.233072, -0.0766078, -0.233071, -0.0766066, 1.50415E-009, -4.17632E-010
3, 0.00000, -0.213406, -0.0701426, -0.213404, -0.070143, -0.213403, -0.0701421, 1.12474E-009, -3.16823E-010
4, 0.00000, -0.206628, -0.0679149, -0.206624, -0.0679144, -0.206622, -0.0679133, 1.0225E-009, -2.88402E-010
5, 0.00000, -0.215138, -0.070712, -0.215142, -0.0707145, -0.215143, -0.0707141, 1.1332E-009, -3.20078E-010
6, 0.00000, -0.24823, -0.0815885, -0.248231, -0.0815905, -0.248231, -0.0815895, 1.82692E-009, -5.01362E-010
7, 0.00000, -0.314645, -0.103418, -0.314651, -0.103422, -0.314652, -0.103421, 4.00672E-009, -1.04685E-009
8, 0.00000, -0.31681, -0.115386, -0.31681, -0.115388, -0.316809, -0.115387, 4.29146E-009, -1.22673E-009
9, 0.00000, -0.00782714, -0.11818, -0.00782267, -0.118174, -0.00782192, -0.118176, 5.11252E-011, -1.50485E-010
10, 0.00000, 0.12386, -0.121594, 0.123861, -0.121593, 0.123861, -0.121593, -1.88465E-010, -3.02996E-010
11, 0.00000, 0.674007, -0.122409, 0.674002, -0.122412, 0.674004, -0.122418, -1.3317E-008, -3.95072E-009
12, 0.00000, 0.703068, -0.121469, 0.703075, -0.121473, 0.70308, -0.121467, -1.47719E-008, -4.24375E-009
13, 0.00000, 0.492034, -0.122025, 0.492036, -0.122029, 0.492038, -0.122024, -6.04297E-009, -2.29826E-009
14, 0.00000, 0.00102831, -0.124412, 0.00102275, -0.12442, 0.00102207, -0.124418, 4.11478E-011, -1.51091E-010
15, 0.00000, -0.258786, -0.129606, -0.258787, -0.129608, -0.258787, -0.129607, 2.54411E-009, -9.99876E-010
16, 0.00000, -0.433274, -0.142408, -0.433276, -0.142413, -0.433274, -0.14241, 1.21628E-008, -2.89915E-009
17, 0.00000, -0.503768, -0.165578, -0.503768, -0.165584, -0.503765, -0.165579, 2.09096E-008, -4.71628E-009
18, 0.00000, -0.561016, -0.184393, -0.561014, -0.184401, -0.56101, -0.184394, 3.09599E-008, -6.73311E-009
19, 0.00000, -0.583531, -0.191793, -0.583535, -0.191803, -0.58353, -0.191796, 3.57326E-008, -7.69724E-009
20, 0.00000, -0.596568, -0.196078, -0.596569, -0.196088, -0.596564, -0.19608, 3.88269E-008, -8.34048E-009
21, 0.00000, -0.581335, -0.191072, -0.581323, -0.191078, -0.58132, -0.191069, 3.53726E-008, -7.65576E-009
22, 0.00000, -0.53193, -0.174834, -0.531911, -0.174837, -0.531908, -0.174828, 2.56462E-008, -5.68214E-009
23, 0.00000, -0.451453, -0.148384, -0.451431, -0.148384, -0.451425, -0.148375, 1.42597E-008, -3.34877E-009
24, 0.00000, -0.355431, -0.116823, -0.355415, -0.116822, -0.35541, -0.116817, 6.20246E-009, -1.56929E-009
25, 0.00000, -0.275053, -0.0904048, -0.275045, -0.090404, -0.275042, -0.0904017, 2.60945E-009, -7.02127E-010
26, 0.00000, -0.233076, -0.0766078, -0.233072, -0.0766078, -0.233071, -0.0766066, 1.50417E-009, -4.17649E-010
27, 0.00000, -0.213406, -0.0701426, -0.213404, -0.070143, -0.213403, -0.0701421, 1.12474E-009, -3.16823E-010
28, 0.00000, -0.206628, -0.0679149, -0.206624, -0.0679144, -0.206622, -0.0679133, 1.0225E-009, -2.88402E-010
29, 0.00000, -0.215138, -0.070712, -0.215142, -0.0707145, -0.215143, -0.0707141, 1.1332E-009, -3.20078E-010
30, 0.00000, -0.24823, -0.0815885, -0.248231, -0.0815905, -0.248231, -0.0815895, 1.82692E-009, -5.01362E-010
31, 0.00000, -0.314645, -0.103418, -0.314651, -0.103422, -0.314652, -0.103421, 4.00672E-009, -1.04685E-009
32, 0.00000, -0.31727, -0.115386, -0.31727, -0.115388, -0.317269, -0.115387, 4.30987E-009, -1.22998E-009
33, 0.00000, -0.119022, -0.118179, -0.119015, -0.118176, -0.119014, -0.118176, 3.98064E-010, -3.02681E-010
34, 0.00000, 0.046885, -0.121596, 0.0468865, -0.121593, 0.0468868, -0.121594, -1.39132E-011, -1.77414E-010
35, 0.00000, 0.287068, -0.122451, 0.287069, -0.122449, 0.287069, -0.12245, -1.50357E-009, -9.34896E-010
36, 0.00000, 0.323605, -0.121489, 0.323606, -0.121486, 0.323606, -0.121486, -2.04959E-009, -1.12999E-009
37, 0.00000, 0.180779, -0.122018, 0.18078, -0.122021, 0.18078, -0.122019, -4.61307E-010, -4.6512E-010
38, 0.00000, -0.0709657, -0.124416, -0.0709708, -0.124421, -0.0709715, -0.12442, 1.80524E-010, -2.13015E-010
39, 0.00000, -0.327379, -0.129605, -0.32738, -0.129608, -0.327379, -0.129606, 4.96193E-009, -1.51161E-009
40, 0.00000, -0.433235, -0.142395, -0.433252, -0.142404, -0.433254, -0.142404, 1.20412E-008, -2.87487E-009
41, 0.00000, -0.503768, -0.165578, -0.503768, -0.165584, -0.503765, -0.165579, 2.09095E-008, -4.71626E-009
42, 0.00000, -0.561016, -0.184393, -0.561014, -0.184401, -0.56101, -0.184394, 3.09599E-008, -6.73311E-009
43, 0.00000, -0.583531, -0.191793, -0.583535, -0.191803, -0.58353, -0.191796, 3.57326E-008, -7.69724E-009
44, 0.00000, -0.596568, -0.196078, -0.596569, -0.196088, -0.596564, -0.19608, 3.88269E-008, -8.34048E-009
45, 0.00000, -0.581335, -0.191072, -0.581323, -0.191078, -0.58132, -0.191069, 3.53726E-008, -7.65576E-009
46, 0.00000, -0.53193, -0.174834, -0.531911, -0.174837, -0.531908, -0.174828, 2.56462E-008, -5.68214E-009
47, 0.00000, -0.451453, -0.148384, -0.451431, -0.148384, -0.451425, -0.148375, 1.42597E-008, -3.34877E-009
48, 0.00000, -0.355431, -0.116823, -0.355415, -0.116822, -0.35541, -0.116817, 6.20246E-009, -1.56929E-009
49, 0.00000, -0.275053, -0.0904048, -0.275045, -0.090404, -0.275042, -0.0904017, 2.60945E-009, -7.02127E-010
50, 0.00000, -0.233076, -0.0766078, -0.233072, -0.0766078, -0.233071, -0.0766066, 1.50417E-009, -4.17649E-010
51, 0.00000, -0.213406, -0.0701426, -0.213404, -0.070143, -0.213403, -0.0701421, 1.12474E-009, -3.16823E-010
