hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 188.702, -109.726, -189.97, -108.652, 0.735699, 219.176, 0.000153739, -0.000703312, -0.881031, 0.991347, 1.29599, 0.265372, -0.416654, -1.25345, 0.00169518, -0.00327402
2, 0.00000, 189.725, -110.196, -190.791, -109.287, 0.622338, 220.152, 0.000123866, -0.000582249, -0.743238, 0.83547, 1.09299, 0.224547, -0.350962, -1.05769, 0.00121199, -0.00232551
3, 0.00000, 190.201, -110.414, -191.174, -109.583, 0.568934, 220.606, 0.000110415, -0.000526913, -0.679075, 0.762991, 0.998514, 0.205454, -0.320444, -0.966521, 0.00100448, -0.0019241
4, 0.00000, 190.365, -110.488, -191.305, -109.685, 0.550415, 220.763, 0.000106138, -0.000508576, -0.657034, 0.738107, 0.96605, 0.19888, -0.309962, -0.935174, 0.000945484, -0.00181319
5, 0.00000, 190.159, -110.395, -191.14, -109.557, 0.573779, 220.566, 0.000111115, -0.000530904, -0.684713, 0.769358, 1.00685, 0.207139, -0.323138, -0.974573, 0.00100558, -0.001924
6, 0.00000, 189.357, -110.027, -190.495, -109.058, 0.663459, 219.8, 0.000134095, -0.000624926, -0.792859, 0.891569, 1.1661, 0.239281, -0.374604, -1.12822, 0.00136665, -0.00263017
7, 0.00000, 187.727, -109.277, -189.187, -108.049, 0.841784, 218.247, 0.000184758, -0.000823315, -1.01236, 1.1402, 1.48954, 0.304041, -0.479425, -1.43988, 0.00225029, -0.00436159
8, 0.00000, 187.632, -109.014, -188.933, -108.083, 0.689776, 218.057, 0.000167583, -0.000846379, -0.995228, 1.19319, 1.52661, 0.262598, -0.533747, -1.45118, 0.00236077, -0.00460294
9, 0.00000, 194.688, -110.204, -192.958, -113.348, -1.61636, 223.884, -0.000207663, -0.00014987, 0.229779, 0.476954, 0.297605, -0.437615, -0.527566, -0.0387463, 0.000182001, -0.000593312
10, 0.00000, 197.576, -110.592, -194.541, -115.554, -2.64235, 226.245, -0.000340532, 8.069E-005, 0.739641, 0.20142, -0.196205, -0.741566, -0.54376, 0.541113, 0.000324394, -0.000966638
11, 0.00000, 209.081, -112.096, -200.882, -124.399, -6.80443, 235.736, -0.0007217, 0.000760133, 2.74773, -0.887697, -2.15242, -1.94229, -0.601328, 2.84179, 0.00601449, -0.011809
