hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.323563, -0.10635, -0.323567, -0.106351, -0.323568, -0.106352, -7.60425E-010, -9.76331E-011
2, 0.00000, -0.274206, -0.0901271, -0.274203, -0.0901261, -0.274202, -0.0901258, -5.33299E-010, -5.80496E-011
3, 0.00000, -0.251065, -0.0825209, -0.251063, -0.0825205, -0.251063, -0.0825204, -4.4185E-010, -4.36787E-011
4, 0.00000, -0.243091, -0.0799, -0.243087, -0.0798986, -0.243085, -0.0798982, -4.12812E-010, -3.97444E-011
5, 0.00000, -0.253103, -0.0831911, -0.253108, -0.083193, -0.253111, -0.0831936, -4.48993E-010, -4.4051E-011
6, 0.00000, -0.292034, -0.0959869, -0.292037, -0.0959879, -0.292038, -0.0959882, -6.09777E-010, -7.01868E-011
7, 0.00000, -0.37017, -0.121669, -0.370178, -0.121671, -0.37018, -0.121673, -1.01861E-009, -1.50824E-010
8, 0.00000, -0.329569, -0.135749, -0.32957, -0.13575, -0.32957, -0.13575, -8.58343E-010, -1.33504E-010
9, 0.00000, 0.433917, -0.139038, 0.433916, -0.139027, 0.433915, -0.139034, -1.2299E-009, -7.21571E-011
10, 0.00000, 0.767849, -0.143053, 0.767847, -0.143049, 0.767847, -0.143052, -3.4203E-009, -8.59989E-011
11, 0.00000, 2.11154, -0.143944, 2.11151, -0.143947, 2.11151, -0.143973, -2.02154E-008, 1.85181E-009
12, 0.00000, 2.17856, -0.1429, 2.17858, -0.142897, 2.17859, -0.142892, -2.12583E-008, 2.07403E-009
13, 0.00000, 1.66649, -0.14357, 1.66649, -0.143574, 1.6665, -0.143567, -1.3531E-008, 7.76051E-010
14, 0.00000, 0.479398, -0.146363, 0.479401, -0.146379, 0.479402, -0.146369, -1.48647E-009, -8.72858E-011
15, 0.00000, -0.133697, -0.152478, -0.133699, -0.152479, -0.133699, -0.152479, -2.73268E-010, -3.8603E-011
16, 0.00000, -0.509732, -0.16754, -0.509737, -0.167542, -0.509737, -0.167543, -2.07613E-009, -4.4122E-010
17, 0.00000, -0.592665, -0.194799, -0.592668, -0.1948, -0.592669, -0.194801, -2.93193E-009, -7.42394E-010
18, 0.00000, -0.660014, -0.216936, -0.660017, -0.216937, -0.660017, -0.216937, -3.76808E-009, -1.0828E-009
19, 0.00000, -0.686502, -0.225642, -0.686513, -0.225645, -0.686511, -0.225646, -4.13396E-009, -1.24392E-009
20, 0.00000, -0.70184, -0.230683, -0.701847, -0.230685, -0.701845, -0.230686, -4.35767E-009, -1.34875E-009
21, 0.00000, -0.683917, -0.224793, -0.68391, -0.224791, -0.683911, -0.22479, -4.09996E-009, -1.23281E-009
22, 0.00000, -0.625794, -0.205689, -0.625777, -0.205686, -0.625777, -0.205682, -3.3296E-009, -9.03559E-010
23, 0.00000, -0.531117, -0.17457, -0.531095, -0.174565, -0.531091, -0.17456, -2.28278E-009, -5.14071E-010
24, 0.00000, -0.418151, -0.13744, -0.418135, -0.137436, -0.418131, -0.137433, -1.33475E-009, -2.30308E-010
25, 0.00000, -0.32359, -0.106359, -0.323582, -0.106356, -0.32358, -0.106355, -7.61651E-010, -9.93719E-011
26, 0.00000, -0.274206, -0.0901271, -0.274203, -0.0901261, -0.274202, -0.0901258, -5.333E-010, -5.80509E-011
27, 0.00000, -0.251065, -0.0825209, -0.251063, -0.0825205, -0.251063, -0.0825204, -4.4185E-010, -4.36787E-011
28, 0.00000, -0.243091, -0.0799, -0.243087, -0.0798986, -0.243085, -0.0798982, -4.12812E-010, -3.97444E-011
29, 0.00000, -0.253103, -0.0831911, -0.253108, -0.083193, -0.253111, -0.0831936, -4.48993E-010, -4.4051E-011
30, 0.00000, -0.292034, -0.0959869, -0.292037, -0.0959879, -0.292038, -0.0959882, -6.09777E-010, -7.01868E-011
31, 0.00000, -0.37017, -0.121669, -0.370178, -0.121671, -0.37018, -0.121673, -1.01861E-009, -1.50824E-010
32, 0.00000, -0.330688, -0.135749, -0.330689, -0.13575, -0.330689, -0.13575, -8.63509E-010, -1.34444E-010
33, 0.00000, 0.163014, -0.139036, 0.163016, -0.139028, 0.163016, -0.139032, -2.86673E-010, -2.61762E-011
34, 0.00000, 0.580316, -0.143055, 0.580314, -0.14305, 0.580314, -0.143054, -2.06935E-009, -9.36493E-011
35, 0.00000, 1.16877, -0.144059, 1.16877, -0.144053, 1.16877, -0.144058, -7.27335E-009, 9.88604E-011
36, 0.00000, 1.2541, -0.142927, 1.2541, -0.142915, 1.2541, -0.142921, -8.23068E-009, 1.82802E-010
37, 0.00000, 0.908155, -0.14355, 0.908156, -0.143555, 0.908157, -0.143552, -4.62959E-009, -5.15699E-011
38, 0.00000, 0.304004, -0.14637, 0.304004, -0.146378, 0.304004, -0.146374, -6.95811E-010, -5.5095E-011
39, 0.00000, -0.300813, -0.152478, -0.300816, -0.152479, -0.300816, -0.152479, -7.77016E-010, -1.2881E-010
40, 0.00000, -0.509687, -0.167525, -0.509709, -0.167531, -0.509713, -0.167536, -2.0735E-009, -4.37147E-010
41, 0.00000, -0.592665, -0.194799, -0.592668, -0.1948, -0.592669, -0.194801, -2.93193E-009, -7.42391E-010
42, 0.00000, -0.660014, -0.216936, -0.660017, -0.216937, -0.660017, -0.216937, -3.76808E-009, -1.0828E-009
43, 0.00000, -0.686502, -0.225642, -0.686513, -0.225645, -0.686511, -0.225646, -4.13396E-009, -1.24392E-009
44, 0.00000, -0.70184, -0.230683, -0.701847, -0.230685, -0.701845, -0.230686, -4.35767E-009, -1.34875E-009
45, 0.00000, -0.683917, -0.224793, -0.68391, -0.224791, -0.683911, -0.22479, -4.09996E-009, -1.23281E-009
46, 0.00000, -0.625794, -0.205689, -0.625777, -0.205686, -0.625777, -0.205682, -3.3296E-009, -9.03559E-010
47, 0.00000, -0.531117, -0.17457, -0.531095, -0.174565, -0.531091, -0.17456, -2.28278E-009, -5.14071E-010
48, 0.00000, -0.418151, -0.13744, -0.418135, -0.137436, -0.418131, -0.137433, -1.33475E-009, -2.30308E-010
49, 0.00000, -0.32359, -0.106359, -0.323582, -0.106356, -0.32358, -0.106355, -7.61651E-010, -9.93719E-011
50, 0.00000, -0.274206, -0.0901271, -0.274203, -0.0901261, -0.274202, -0.0901258, -5.333E-010, -5.80509E-011
51, 0.00000, -0.251065, -0.0825209, -0.251063, -0.0825205, -0.251063, -0.0825204, -4.4185E-010, -4.36787E-011
52, 0.00000, -0.243091, -0.0799, -0.243087, -0.0798986, -0.243085, -0.0798982, -4.12812E-010, -3.97444E-011
53, 0.00000, -0.253103, -0.0831911, -0.253108, -0.083193, -0.253111, -0.0831936, -4.48993E-010, -4.4051E-011
54, 0.00000, -0.292034, -0.0959869, -0.292037, -0.0959879, -0.292038, -0.0959882, -6.09777E-010, -7.01868E-011
55, 0.00000, -0.37017, -0.121669, -0.370178, -0.121671, -0.37018, -0.121673, -1.01861E-009, -1.50824E-010
56, 0.00000, -0.412998, -0.135746, -0.413003, -0.135747, -0.413005, -0.135748, -1.29632E-009, -2.17221E-010
57, 0.00000, -0.179239, -0.139032, -0.179233, -0.139029, -0.179232, -0.139029, -3.40222E-010, -4.71438E-011
58, 0.00000, -0.026839, -0.143053, -0.026837, -0.143051, -0.0268367, -0.143052, -1.37788E-010, -1.65072E-011
59, 0.00000, 0.137076, -0.144064, 0.137077, -0.144062, 0.137077, -0.144063, -2.49555E-010, -2.45295E-011
60, 0.00000, 0.14033, -0.142936, 0.140331, -0.142935, 0.140331, -0.142935, -2.52754E-010, -2.44989E-011
