hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.286738, -0.094235, -0.286743, -0.094237, -0.286743, -0.0942369, -3.18768E-010, -4.69944E-011
2, 0.00000, -0.243002, -0.0798617, -0.242996, -0.07986, -0.242995, -0.0798593, -2.21862E-010, -2.76771E-011
3, 0.00000, -0.22249, -0.0731206, -0.222488, -0.0731198, -0.222487, -0.0731195, -1.8305E-010, -2.06335E-011
4, 0.00000, -0.21543, -0.0708, -0.215423, -0.070798, -0.215421, -0.0707972, -1.70845E-010, -1.87446E-011
5, 0.00000, -0.224286, -0.0737106, -0.224291, -0.073713, -0.224294, -0.0737135, -1.85914E-010, -2.07296E-011
6, 0.00000, -0.258795, -0.0850519, -0.258798, -0.0850532, -0.258798, -0.0850532, -2.54251E-010, -3.34894E-011
7, 0.00000, -0.32804, -0.107808, -0.32805, -0.107812, -0.328052, -0.107813, -4.30422E-010, -7.35104E-011
8, 0.00000, -0.341835, -0.120288, -0.341835, -0.120289, -0.341835, -0.120288, -4.46533E-010, -6.73286E-011
9, 0.00000, -0.126561, -0.123207, -0.126546, -0.123198, -0.126543, -0.123199, 8.88203E-012, 1.2424E-010
10, 0.00000, -0.0370668, -0.126763, -0.037062, -0.12676, -0.0370608, -0.12676, -1.91739E-011, 1.63584E-010
11, 0.00000, 0.350493, -0.127641, 0.350494, -0.127634, 0.350495, -0.127641, -1.10054E-009, 3.24545E-010
12, 0.00000, 0.372029, -0.126648, 0.372031, -0.126644, 0.372032, -0.126645, -1.18948E-009, 3.36609E-010
13, 0.00000, 0.222464, -0.127203, 0.222466, -0.127206, 0.222467, -0.127204, -6.05561E-010, 2.48461E-010
14, 0.00000, -0.126671, -0.129689, -0.126685, -0.129701, -0.126686, -0.129699, 1.24282E-011, 1.41112E-010
15, 0.00000, -0.315438, -0.135114, -0.315438, -0.135115, -0.315437, -0.135114, -3.03418E-010, 9.181E-012
16, 0.00000, -0.451752, -0.148462, -0.451755, -0.148464, -0.451754, -0.148464, -9.00929E-010, -2.23839E-010
17, 0.00000, -0.52527, -0.172619, -0.525269, -0.172621, -0.525267, -0.17262, -1.29356E-009, -3.8506E-010
18, 0.00000, -0.580904, -0.190901, -0.584965, -0.192237, -0.584971, -0.192236, -1.27877E-009, 4.27299E-012
19, 0.00000, -0.599781, -0.197098, -0.608298, -0.199906, -0.608432, -0.199947, -9.19638E-010, 4.52939E-010
20, 0.00000, -0.610606, -0.200656, -0.619285, -0.203513, -0.622041, -0.20442, -8.42762E-010, 4.91117E-010
21, 0.00000, -0.597928, -0.196495, -0.606156, -0.199197, -0.606174, -0.199204, -9.46869E-010, 4.14175E-010
22, 0.00000, -0.554596, -0.182253, -0.554667, -0.182278, -0.554643, -0.182278, -1.46821E-009, -4.54211E-010
23, 0.00000, -0.470736, -0.154699, -0.470709, -0.154695, -0.470696, -0.154686, -9.95593E-010, -2.62607E-010
24, 0.00000, -0.3706, -0.121794, -0.370573, -0.121788, -0.370567, -0.121782, -5.70141E-010, -1.14784E-010
25, 0.00000, -0.286777, -0.094248, -0.286763, -0.094244, -0.28676, -0.0942421, -3.19738E-010, -4.82122E-011
26, 0.00000, -0.243002, -0.0798617, -0.242996, -0.07986, -0.242995, -0.0798593, -2.21863E-010, -2.76784E-011
27, 0.00000, -0.22249, -0.0731206, -0.222488, -0.0731198, -0.222487, -0.0731195, -1.8305E-010, -2.06335E-011
28, 0.00000, -0.21543, -0.0708, -0.215423, -0.070798, -0.215421, -0.0707972, -1.70845E-010, -1.87446E-011
29, 0.00000, -0.224286, -0.0737106, -0.224291, -0.073713, -0.224294, -0.0737135, -1.85914E-010, -2.07296E-011
30, 0.00000, -0.258795, -0.0850519, -0.258798, -0.0850532, -0.258798, -0.0850532, -2.54251E-010, -3.34894E-011
31, 0.00000, -0.32804, -0.107808, -0.32805, -0.107812, -0.328052, -0.107813, -4.30422E-010, -7.35104E-011
32, 0.00000, -0.342159, -0.120288, -0.34216, -0.120289, -0.342159, -0.120288, -4.47869E-010, -6.78285E-011
33, 0.00000, -0.205064, -0.123205, -0.205049, -0.123199, -0.205046, -0.123197, -6.19726E-011, 8.29337E-011
34, 0.00000, -0.0914172, -0.126765, -0.09141, -0.126761, -0.0914084, -0.126761, 1.14237E-011, 1.46772E-010
35, 0.00000, 0.0772835, -0.127658, 0.0772875, -0.127654, 0.0772884, -0.127655, -1.98262E-010, 1.9731E-010
36, 0.00000, 0.104056, -0.126667, 0.104061, -0.126659, 0.104063, -0.126661, -2.57811E-010, 2.02497E-010
37, 0.00000, 0.00268928, -0.1272, 0.0026895, -0.127203, 0.00269028, -0.127201, -6.47016E-011, 1.75461E-010
38, 0.00000, -0.177506, -0.129697, -0.177516, -0.129704, -0.177517, -0.129703, -1.88818E-011, 1.16894E-010
39, 0.00000, -0.363866, -0.135113, -0.363868, -0.135115, -0.363867, -0.135114, -4.90393E-010, -6.50359E-011
40, 0.00000, -0.451695, -0.148443, -0.451721, -0.14845, -0.451725, -0.148455, -8.99102E-010, -2.21317E-010
41, 0.00000, -0.52527, -0.172619, -0.525269, -0.172621, -0.525267, -0.17262, -1.29356E-009, -3.85058E-010
42, 0.00000, -0.580904, -0.190901, -0.584965, -0.192237, -0.584971, -0.192236, -1.27877E-009, 4.27299E-012
43, 0.00000, -0.599781, -0.197098, -0.608298, -0.199906, -0.608432, -0.199947, -9.19638E-010, 4.52939E-010
