hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.094, -110.053, -190.379, -108.806, 0.833154, 219.602, -1.18688E-005, -2.29115E-005, -0.944653, 1.06377, 1.39074, 0.28432, -0.447692, -1.34485, 0.0134696, 0.0196688
2, 0.00000, 190.058, -110.472, -191.138, -109.418, 0.704601, 220.513, -9.96458E-006, -1.90393E-005, -0.797257, 0.896787, 1.17325, 0.240714, -0.377143, -1.13519, 0.0111148, 0.0167308
3, 0.00000, 190.507, -110.667, -191.491, -109.704, 0.644141, 220.937, -9.08451E-006, -1.72575E-005, -0.728574, 0.819101, 1.07199, 0.220303, -0.344364, -1.0375, 0.0100368, 0.0153501
4, 0.00000, 190.661, -110.734, -191.613, -109.802, 0.623178, 221.083, -8.78542E-006, -1.66646E-005, -0.704974, 0.792426, 1.03718, 0.213273, -0.333104, -1.0039, 0.00968182, 0.0148664
5, 0.00000, 190.467, -110.65, -191.46, -109.679, 0.649643, 220.9, -9.15843E-006, -1.73865E-005, -0.734608, 0.825923, 1.08091, 0.222104, -0.347257, -1.04613, 0.0101095, 0.0154841
6, 0.00000, 189.711, -110.321, -190.865, -109.198, 0.751219, 220.185, -1.06472E-005, -2.04054E-005, -0.850347, 0.956891, 1.25159, 0.256457, -0.402534, -1.21074, 0.0119392, 0.0178013
7, 0.00000, 188.174, -109.65, -189.654, -108.224, 0.95364, 218.733, -1.37004E-005, -2.67326E-005, -1.08502, 1.22314, 1.59799, 0.325576, -0.515091, -1.5444, 0.0158252, 0.02241
8, 0.00000, 187.892, -109.339, -189.278, -108.129, 0.846936, 218.382, -1.48342E-005, -2.73672E-005, -1.08406, 1.2911, 1.65596, 0.290568, -0.574203, -1.57692, 0.01713, 0.0226143
9, 0.00000, 192.856, -109.758, -191.754, -112.05, -1.14109, 222.277, -1.04082E-005, -2.55029E-006, 0.0800296, 0.613313, 0.4903, -0.376106, -0.570415, -0.236301, 0.0104938, 0.0016446
10, 0.00000, 194.859, -109.841, -192.691, -113.674, -2.01332, 223.821, -9.00046E-006, 6.79018E-006, 0.567913, 0.350794, 0.0192136, -0.667124, -0.586949, 0.316998, 0.00882307, -0.00745821
11, 0.00000, 203.088, -110.29, -196.678, -120.327, -5.5416, 230.288, -3.32419E-006, 3.972E-005, 2.53533, -0.728657, -1.9043, -1.83435, -0.633475, 2.56958, 0.00577254, -0.0462985
12, 0.00000, 203.525, -110.329, -196.903, -120.676, -5.71924, 230.641, -2.993E-006, 4.12321E-005, 2.63591, -0.787098, -2.00568, -1.89259, -0.632961, 2.68683, 0.00572314, -0.0483786
13, 0.00000, 200.435, -110.184, -195.416, -118.162, -4.37048, 228.21, -4.9662E-006, 2.98339E-005, 1.89423, -0.386767, -1.28513, -1.44843, -0.610088, 1.83874, 0.00595503, -0.0333685
14, 0.00000, 192.875, -109.614, -191.642, -112.129, -1.25886, 222.223, -1.08413E-005, -1.95163E-006, 0.118451, 0.626185, 0.482298, -0.415827, -0.600761, -0.20952, 0.0108535, 0.00111352
15, 0.00000, 188.563, -109.077, -189.348, -108.798, 0.337106, 218.759, -1.51874E-005, -2.2809E-005, -0.851872, 1.23177, 1.48915, 0.119718, -0.639075, -1.3475, 0.0169813, 0.0188175
16, 0.00000, 185.361, -108.409, -187.44, -106.453, 1.3088, 216.088, -1.94238E-005, -3.92218E-005, -1.51263, 1.71069, 2.22995, 0.449584, -0.721609, -2.15143, 0.0237097, 0.0303731
17, 0.00000, 183.645, -107.644, -186.091, -105.38, 1.51582, 214.482, -2.30063E-005, -4.7421E-005, -1.77222, 2.00818, 2.61405, 0.523633, -0.847834, -2.51931, 0.0290108, 0.0349223
18, 0.00000, 182.298, -107.039, -184.942, -104.5, 1.7104, 213.15, -2.61326E-005, -5.41089E-005, -1.98565, 2.25344, 2.93127, 0.584308, -0.952769, -2.8222, 0.0332768, 0.0385647
19, 0.00000, 181.795, -106.825, -184.49, -104.171, 1.79506, 212.605, -2.73499E-005, -5.66416E-005, -2.06993, 2.35065, 3.05717, 0.608431, -0.994759, -2.94251, 0.034877, 0.0400735
20, 0.00000, 181.508, -106.707, -184.233, -103.987, 1.84403, 212.285, -2.79753E-005, -5.80175E-005, -2.11872, 2.40708, 3.1302, 0.622452, -1.01926, -3.01256, 0.0357555, 0.0410513
21, 0.00000, 181.845, -106.846, -184.534, -104.203, 1.78692, 212.658, -2.71717E-005, -5.6271E-005, -2.06154, 2.34099, 3.04475, 0.606075, -0.990676, -2.93081, 0.0346364, 0.0400125
22, 0.00000, 182.966, -107.339, -185.537, -104.948, 1.60382, 213.832, -2.45582E-005, -5.06602E-005, -1.87688, 2.12838, 2.76949, 0.553377, -0.899114, -2.6678, 0.0310626, 0.0367026
23, 0.00000, 184.922, -108.213, -187.095, -106.178, 1.36208, 215.677, -2.0347E-005, -4.13537E-005, -1.57918, 1.78685, 2.32829, 0.468623, -0.753851, -2.24564, 0.0250902, 0.0315224
24, 0.00000, 187.216, -109.23, -188.901, -107.62, 1.07619, 217.833, -1.56306E-005, -3.09403E-005, -1.23081, 1.38902, 1.81321, 0.368101, -0.585236, -1.75133, 0.0184708, 0.0251537
25, 0.00000, 189.093, -110.052, -190.379, -108.806, 0.832957, 219.601, -1.18702E-005, -2.29618E-005, -0.944751, 1.06388, 1.39082, 0.284333, -0.447709, -1.34491, 0.0135111, 0.0196533
26, 0.00000, 190.058, -110.472, -191.138, -109.418, 0.704601, 220.513, -9.96456E-006, -1.90393E-005, -0.797257, 0.896787, 1.17325, 0.240714, -0.377143, -1.13519, 0.0111149, 0.0167308
27, 0.00000, 190.507, -110.667, -191.491, -109.704, 0.644141, 220.937, -9.08451E-006, -1.72575E-005, -0.728574, 0.819101, 1.07199, 0.220303, -0.344364, -1.0375, 0.0100368, 0.0153501
28, 0.00000, 190.661, -110.734, -191.613, -109.802, 0.623178, 221.083, -8.78542E-006, -1.66646E-005, -0.704974, 0.792426, 1.03718, 0.213273, -0.333104, -1.0039, 0.00968182, 0.0148664
29, 0.00000, 190.467, -110.65, -191.46, -109.679, 0.649643, 220.9, -9.15843E-006, -1.73865E-005, -0.734608, 0.825923, 1.08091, 0.222104, -0.347257, -1.04613, 0.0101095, 0.0154841
30, 0.00000, 189.711, -110.321, -190.865, -109.198, 0.751219, 220.185, -1.06472E-005, -2.04054E-005, -0.850347, 0.956891, 1.25159, 0.256457, -0.402534, -1.21074, 0.0119392, 0.0178013
31, 0.00000, 188.174, -109.65, -189.654, -108.224, 0.95364, 218.733, -1.37004E-005, -2.67326E-005, -1.08502, 1.22314, 1.59799, 0.325576, -0.515091, -1.5444, 0.0158252, 0.02241
32, 0.00000, 187.885, -109.338, -189.274, -108.123, 0.849842, 218.376, -1.48419E-005, -2.74075E-005, -1.08581, 1.29217, 1.65776, 0.291547, -0.574248, -1.57896, 0.017143, 0.0226449
33, 0.00000, 191.078, -109.598, -190.855, -110.648, -0.434455, 220.871, -1.19781E-005, -1.10179E-005, -0.334005, 0.856559, 0.907252, -0.139756, -0.573855, -0.715066, 0.0125857, 0.00928127
34, 0.00000, 193.654, -109.745, -192.089, -112.717, -1.52303, 222.87, -9.98509E-006, 1.37798E-006, 0.285213, 0.513474, 0.301397, -0.503731, -0.586534, -0.00901368, 0.00990941, -0.00210753
