hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0338321, 3.45618E-008, 5.32846E-009, 2.32605E-009
9, 0.00000, -0.34743, -1.31156E-006, 2.26751E-008, -6.81389E-009
10, 0.00000, -0.487795, -3.71155E-007, 1.57569E-008, -2.51736E-008
11, 0.00000, -1.03384, -2.53282E-005, -8.9274E-008, -1.57363E-007
12, 0.00000, -1.0597, -5.61811E-007, -9.75923E-008, -1.65536E-007
13, 0.00000, -0.852804, 3.95823E-006, -4.37817E-008, -1.05414E-007
14, 0.00000, -0.374922, 1.56119E-006, 2.47912E-008, -8.71472E-009
15, 0.00000, -0.133887, 1.6893E-007, 1.97534E-008, 6.52486E-009
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.0333782, 3.50308E-008, 5.26213E-009, 2.29979E-009
33, 0.00000, -0.237599, -1.08162E-006, 2.30343E-008, 2.26086E-009
34, 0.00000, -0.411762, -5.35742E-007, 2.15489E-008, -1.38775E-008
35, 0.00000, -0.65159, -1.09611E-006, -4.33564E-009, -5.61815E-008
36, 0.00000, -0.684815, -2.53563E-006, -1.05518E-008, -6.37718E-008
37, 0.00000, -0.545298, 3.79017E-007, 9.96274E-009, -3.50509E-008
38, 0.00000, -0.303817, 1.13724E-006, 2.62619E-008, -1.42514E-009
39, 0.00000, -0.0661281, 1.06732E-007, 1.12816E-008, 4.68173E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.098834, -4.07516E-007, 1.38809E-008, 4.98406E-009
58, 0.00000, -0.165585, -3.04093E-007, 2.05886E-008, 5.40805E-009
59, 0.00000, -0.233289, -3.6996E-007, 2.44132E-008, 3.17277E-009
