hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.0530304, -0.0174302, -0.0530303, -0.0174302, -0.0530301, -0.0174301, 1.70748E-011, -4.79738E-012
2, 0.00000, -0.0449381, -0.0147704, -0.044938, -0.0147704, -0.044938, -0.0147704, 1.02767E-011, -2.91694E-012
3, 0.00000, -0.0411475, -0.0135245, -0.0411473, -0.0135245, -0.0411472, -0.0135244, 7.92668E-012, -2.26501E-012
4, 0.00000, -0.0398368, -0.0130937, -0.0398368, -0.0130937, -0.0398367, -0.0130937, 7.13472E-012, -2.04636E-012
5, 0.00000, -0.0414846, -0.0136353, -0.0414847, -0.0136354, -0.0414847, -0.0136354, 8.00826E-012, -2.2886E-012
6, 0.00000, -0.0478608, -0.0157311, -0.047861, -0.0157312, -0.0478611, -0.0157312, 1.22051E-011, -3.47873E-012
7, 0.00000, -0.0606701, -0.0199412, -0.0606701, -0.0199413, -0.06067, -0.0199413, 2.56789E-011, -7.12195E-012
8, 0.00000, -0.067686, -0.0222472, -0.0676861, -0.0222473, -0.0676863, -0.0222473, 3.35571E-011, -9.7905E-012
9, 0.00000, -0.0693215, -0.0227848, -0.0693214, -0.0227849, -0.0693213, -0.0227848, 1.39849E-011, -9.91226E-012
10, 0.00000, -0.0713281, -0.0234444, -0.0713279, -0.0234444, -0.0713278, -0.0234443, 5.89577E-012, -1.03602E-011
11, 0.00000, -0.0718314, -0.0236098, -0.0718311, -0.0236098, -0.0718312, -0.0236098, -2.9964E-011, -7.99561E-012
12, 0.00000, -0.0712695, -0.0234252, -0.0712693, -0.0234252, -0.0712693, -0.0234251, -3.13482E-011, -7.47498E-012
13, 0.00000, -0.0715784, -0.0235266, -0.0715784, -0.0235267, -0.0715784, -0.0235266, -1.86664E-011, -8.69623E-012
14, 0.00000, -0.0729886, -0.0239901, -0.0729886, -0.0239903, -0.0729886, -0.0239902, 1.54177E-011, -1.14907E-011
15, 0.00000, -0.0760316, -0.0249903, -0.0760311, -0.0249902, -0.076031, -0.0249901, 4.00194E-011, -1.39204E-011
16, 0.00000, -0.0835404, -0.0274583, -0.0835404, -0.0274584, -0.0835404, -0.0274584, 6.97798E-011, -1.82237E-011
17, 0.00000, -0.0971318, -0.0319255, -0.0971318, -0.0319257, -0.0971318, -0.0319256, 1.12837E-010, -2.81257E-011
