hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 191.998, -112.143, -193.488, -110.305, 1.07313, 222.807, -4.21817E-006, -7.66997E-006, -0.304608, 0.344096, 0.449585, 0.0914047, -0.145295, -0.434976, 0.00453591, 0.00714588
2, 0.00000, 192.416, -112.269, -193.751, -110.589, 0.980547, 223.165, -3.5612E-006, -6.43506E-006, -0.257769, 0.290916, 0.380312, 0.0775262, -0.122771, -0.368064, 0.00378929, 0.00605693
3, 0.00000, 192.649, -112.31, -193.877, -110.763, 0.902651, 223.354, -3.25363E-006, -5.8661E-006, -0.235892, 0.266028, 0.347901, 0.0710642, -0.112202, -0.336773, 0.00344641, 0.00554671
4, 0.00000, 192.707, -112.335, -193.919, -110.798, 0.896485, 223.407, -3.14827E-006, -5.66842E-006, -0.228321, 0.257472, 0.336734, 0.0687985, -0.108593, -0.325972, 0.00332784, 0.0053705
5, 0.00000, 192.611, -112.314, -193.865, -110.728, 0.925559, 223.328, -3.28132E-006, -5.91311E-006, -0.237824, 0.268263, 0.3508, 0.0716168, -0.113169, -0.33956, 0.00347453, 0.00559257
6, 0.00000, 192.297, -112.208, -193.658, -110.521, 0.985256, 223.054, -3.79533E-006, -6.87137E-006, -0.27468, 0.310024, 0.405255, 0.0825873, -0.13083, -0.392192, 0.00404998, 0.00645209
7, 0.00000, 191.567, -112.039, -193.236, -110, 1.19116, 222.448, -4.84556E-006, -8.86007E-006, -0.348933, 0.394622, 0.515279, 0.104421, -0.166763, -0.498355, 0.0052626, 0.00817253
8, 0.00000, 191.286, -111.922, -193.021, -109.81, 1.24102, 222.182, -5.19732E-006, -8.47019E-006, -0.319802, 0.400008, 0.505345, 0.0765142, -0.185946, -0.475799, 0.00560092, 0.00774683
9, 0.00000, 192.732, -111.478, -193.144, -111.117, 0.288161, 222.968, -3.25509E-006, 4.71351E-006, 0.317382, 0.032827, -0.130374, -0.290947, -0.186724, 0.258171, 0.0029712, -0.00476449
10, 0.00000, 193.309, -111.256, -193.154, -111.656, -0.125219, 223.26, -2.53243E-006, 1.01739E-005, 0.594613, -0.120219, -0.401676, -0.454375, -0.192542, 0.574644, 0.00213726, -0.0102232
11, 0.00000, 195.871, -110.502, -193.409, -113.962, -1.79304, 224.682, 6.75604E-007, 3.08371E-005, 1.70999, -0.744072, -1.50328, -1.10922, -0.207148, 1.85501, -0.000235085, -0.032554
12, 0.00000, 196.032, -110.469, -193.439, -114.104, -1.8896, 224.78, 8.68462E-007, 3.18131E-005, 1.76585, -0.776375, -1.55951, -1.14156, -0.206889, 1.91981, -0.000317141, -0.0336908
13, 0.00000, 195.032, -110.757, -193.331, -113.203, -1.24038, 224.218, -3.46819E-007, 2.42651E-005, 1.34146, -0.540986, -1.14141, -0.891105, -0.200001, 1.43297, 0.000298712, -0.0251431
14, 0.00000, 192.688, -111.379, -193.04, -111.12, 0.2346, 222.887, -3.38054E-006, 5.34458E-006, 0.353136, 0.0237812, -0.156097, -0.317343, -0.196716, 0.293613, 0.00305778, -0.00539643
15, 0.00000, 191.347, -111.656, -192.805, -109.958, 1.02262, 222.088, -5.21109E-006, -5.36816E-006, -0.161498, 0.333304, 0.368689, -0.026991, -0.207381, -0.305758, 0.00540165, 0.00481338
16, 0.00000, 190.219, -111.746, -192.473, -109.025, 1.59018, 221.339, -6.76435E-006, -1.25674E-005, -0.482262, 0.547543, 0.713498, 0.143016, -0.232036, -0.689226, 0.00756452, 0.0112346
17, 0.00000, 189.38, -111.582, -192.012, -108.409, 1.85429, 220.656, -7.93806E-006, -1.48795E-005, -0.561954, 0.639684, 0.832463, 0.165649, -0.271598, -0.803497, 0.00902784, 0.0130434
18, 0.00000, 188.736, -111.428, -191.637, -107.951, 2.03223, 220.123, -8.90232E-006, -1.6813E-005, -0.626986, 0.714991, 0.929563, 0.184028, -0.303936, -0.896715, 0.0102618, 0.0145093
19, 0.00000, 188.484, -111.366, -191.49, -107.773, 2.09992, 219.914, -9.28614E-006, -1.75898E-005, -0.652656, 0.744775, 0.96792, 0.191243, -0.316739, -0.933513, 0.0107607, 0.0150845
20, 0.00000, 188.34, -111.328, -191.404, -107.673, 2.13708, 219.794, -9.50626E-006, -1.80359E-005, -0.667498, 0.761995, 0.990099, 0.195417, -0.324142, -0.954795, 0.0110468, 0.0154187
21, 0.00000, 188.565, -111.347, -191.509, -107.852, 2.0437, 219.967, -9.23864E-006, -1.75064E-005, -0.650179, 0.741559, 0.96393, 0.190722, -0.315215, -0.929806, 0.0107018, 0.0150317
22, 0.00000, 189.139, -111.473, -191.834, -108.266, 1.87533, 220.438, -8.39947E-006, -1.58167E-005, -0.593951, 0.676289, 0.879866, 0.174923, -0.287134, -0.849164, 0.00961827, 0.0137682
23, 0.00000, 190.04, -111.687, -192.357, -108.906, 1.62586, 221.184, -7.06085E-006, -1.3154E-005, -0.502758, 0.571029, 0.743922, 0.148949, -0.242035, -0.718525, 0.00793163, 0.0117012
24, 0.00000, 191.056, -111.962, -192.972, -109.611, 1.37314, 222.04, -5.50384E-006, -1.01147E-005, -0.394572, 0.447019, 0.583203, 0.117619, -0.189166, -0.563747, 0.00603908, 0.00922296
25, 0.00000, 191.778, -112.246, -193.475, -110.065, 1.2716, 222.682, -4.23438E-006, -7.68275E-006, -0.304487, 0.344582, 0.449931, 0.0910486, -0.145764, -0.435086, 0.00455425, 0.007139
26, 0.00000, 192.361, -112.295, -193.748, -110.529, 1.03013, 223.134, -3.56473E-006, -6.43802E-006, -0.257743, 0.291019, 0.380385, 0.0774512, -0.12287, -0.368087, 0.00379337, 0.00605536
27, 0.00000, 192.554, -112.355, -193.871, -110.658, 0.989708, 223.3, -3.25844E-006, -5.86703E-006, -0.23584, 0.26618, 0.348006, 0.0709415, -0.112357, -0.336799, 0.00344995, 0.00554499
28, 0.00000, 192.67, -112.352, -193.917, -110.758, 0.929966, 223.386, -3.15025E-006, -5.66914E-006, -0.228303, 0.25753, 0.336776, 0.0687533, -0.108652, -0.325984, 0.00332944, 0.00536973
29, 0.00000, 192.53, -112.353, -193.86, -110.639, 0.998968, 223.282, -3.28595E-006, -5.91758E-006, -0.237793, 0.268407, 0.350904, 0.0715156, -0.113306, -0.339596, 0.00348044, 0.00559065
30, 0.00000, 192.143, -112.281, -193.649, -110.353, 1.12418, 222.967, -3.80565E-006, -6.88357E-006, -0.274618, 0.310346, 0.405489, 0.0823669, -0.13113, -0.392276, 0.00406486, 0.00644761
31, 0.00000, 191.33, -112.149, -193.221, -109.739, 1.40559, 222.313, -4.86602E-006, -8.87522E-006, -0.348783, 0.395226, 0.515711, 0.10398, -0.167347, -0.498495, 0.00528474, 0.00816388
32, 0.00000, 191.096, -112.009, -193.008, -109.603, 1.4114, 222.074, -5.21855E-006, -8.50528E-006, -0.320619, 0.401041, 0.506629, 0.0766961, -0.186416, -0.476988, 0.00562548, 0.00775653
33, 0.00000, 192.132, -111.657, -193.079, -110.567, 0.688564, 222.631, -3.9699E-006, 1.10377E-007, 0.091226, 0.164064, 0.0962398, -0.160902, -0.18735, -0.00297546, 0.00385383, -0.000296885
34, 0.00000, 192.801, -111.427, -193.106, -111.172, 0.238774, 222.975, -3.01034E-006, 7.09727E-006, 0.438433, -0.0307999, -0.246028, -0.363874, -0.192042, 0.3947, 0.00264808, -0.00712301
35, 0.00000, 193.894, -111.111, -193.214, -112.149, -0.463453, 223.578, -1.55803E-006, 1.6618E-005, 0.928323, -0.309086, -0.732663, -0.648938, -0.195285, 0.958271, 0.00118315, -0.0168652
36, 0.00000, 194.104, -111.063, -193.251, -112.336, -0.593189, 223.704, -1.31123E-006, 1.79688E-005, 0.999527, -0.351003, -0.804755, -0.689687, -0.19444, 1.04102, 0.000979545, -0.0182999
37, 0.00000, 193.397, -111.259, -193.167, -111.701, -0.13854, 223.304, -2.19047E-006, 1.24635E-005, 0.711565, -0.186672, -0.51785, -0.522401, -0.193299, 0.709156, 0.00177452, -0.0125468
38, 0.00000, 192.165, -111.558, -192.991, -110.618, 0.615433, 222.593, -3.84236E-006, 2.38606E-006, 0.206855, 0.108438, -0.00968336, -0.233096, -0.196941, 0.124778, 0.00361117, -0.00250488
39, 0.00000, 190.863, -111.815, -192.756, -109.496, 1.36842, 221.815, -5.68242E-006, -8.36792E-006, -0.30144, 0.416262, 0.510138, 0.0524755, -0.209111, -0.467923, 0.00609494, 0.00755304
40, 0.00000, 190.089, -111.805, -192.464, -108.884, 1.70597, 221.265, -6.78104E-006, -1.25794E-005, -0.482149, 0.548001, 0.713824, 0.142683, -0.232476, -0.689331, 0.00758145, 0.0112271
41, 0.00000, 189.323, -111.607, -192.007, -108.347, 1.9048, 220.624, -7.9469E-006, -1.48852E-005, -0.561896, 0.639919, 0.83263, 0.165478, -0.271823, -0.803551, 0.00903622, 0.0130394
42, 0.00000, 188.618, -111.48, -191.628, -107.823, 2.13617, 220.055, -8.92289E-006, -1.68273E-005, -0.626855, 0.715532, 0.929949, 0.183636, -0.304454, -0.896841, 0.0102819, 0.0144997
43, 0.00000, 188.328, -111.435, -191.477, -107.604, 2.23778, 219.824, -9.31349E-006, -1.76094E-005, -0.652476, 0.745525, 0.968456, 0.190702, -0.317455, -0.933689, 0.0107884, 0.0150721
44, 0.00000, 188.164, -111.407, -191.39, -107.48, 2.29404, 219.691, -9.53774E-006, -1.80626E-005, -0.667311, 0.762897, 0.990756, 0.194786, -0.324989, -0.955026, 0.0110824, 0.0154051
45, 0.00000, 188.335, -111.449, -191.49, -107.602, 2.24695, 219.834, -9.2786E-006, -1.75344E-005, -0.649915, 0.742659, 0.964719, 0.189928, -0.316267, -0.930066, 0.0107418, 0.0150138
46, 0.00000, 188.915, -111.573, -191.816, -108.023, 2.07348, 220.309, -8.43625E-006, -1.58434E-005, -0.593717, 0.677267, 0.880566, 0.174219, -0.288068, -0.849393, 0.0096552, 0.013751
47, 0.00000, 189.786, -111.803, -192.339, -108.629, 1.85239, 221.039, -7.095E-006, -1.31794E-005, -0.502532, 0.571966, 0.744592, 0.148271, -0.242933, -0.718743, 0.00796707, 0.0116856
48, 0.00000, 190.809, -112.076, -192.956, -109.341, 1.59474, 221.899, -5.52846E-006, -1.01323E-005, -0.394396, 0.447728, 0.583709, 0.117102, -0.189849, -0.563909, 0.00606485, 0.00921226
49, 0.00000, 191.83, -112.222, -193.478, -110.121, 1.22507, 222.712, -4.23042E-006, -7.67931E-006, -0.304514, 0.344466, 0.449848, 0.0911317, -0.145653, -0.435059, 0.00454962, 0.00714074
50, 0.00000, 192.307, -112.32, -193.745, -110.469, 1.07937, 223.104, -3.56814E-006, -6.44058E-006, -0.257719, 0.291121, 0.380459, 0.077377, -0.122969, -0.368111, 0.00379711, 0.00605395
51, 0.00000, 192.554, -112.355, -193.871, -110.658, 0.989506, 223.3, -3.25848E-006, -5.86717E-006, -0.235841, 0.26618, 0.348006, 0.0709419, -0.112357, -0.336799, 0.00345006, 0.00554494
52, 0.00000, 192.682, -112.347, -193.917, -110.771, 0.919292, 223.392, -3.14963E-006, -5.66872E-006, -0.228308, 0.257511, 0.336762, 0.0687676, -0.108633, -0.32598, 0.00332878, 0.00536997
53, 0.00000, 192.575, -112.332, -193.862, -110.688, 0.958711, 223.307, -3.2835E-006, -5.91583E-006, -0.237813, 0.268331, 0.35085, 0.0715717, -0.113232, -0.339579, 0.00347775, 0.00559162
54, 0.00000, 191.981, -112.357, -193.639, -110.174, 1.27162, 222.874, -3.81611E-006, -6.8907E-006, -0.274535, 0.310669, 0.40572, 0.0821286, -0.131444, -0.39235, 0.00407602, 0.00644346
55, 0.00000, 191.409, -112.113, -193.226, -109.826, 1.33429, 222.358, -4.8585E-006, -8.87019E-006, -0.348835, 0.395027, 0.51557, 0.104128, -0.167154, -0.498452, 0.00527744, 0.00816741
56, 0.00000, 190.867, -112.083, -192.984, -109.386, 1.5733, 221.944, -5.45594E-006, -9.9938E-006, -0.38953, 0.442111, 0.576447, 0.115711, -0.187439, -0.556931, 0.00597801, 0.00910224
57, 0.00000, 191.379, -111.876, -192.996, -109.882, 1.18531, 222.208, -4.90265E-006, -5.87538E-006, -0.194959, 0.331905, 0.384217, 0.00264464, -0.18948, -0.334003, 0.00512465, 0.00532903
58, 0.00000, 191.699, -111.71, -192.974, -110.209, 0.913469, 222.358, -4.61216E-006, -3.2726E-006, -0.068844, 0.263985, 0.262571, -0.0724306, -0.193785, -0.191178, 0.00467018, 0.00289621
59, 0.00000, 192.121, -111.557, -193.003, -110.615, 0.602908, 222.588, -4.1999E-006, -4.41278E-007, 0.0678163, 0.185574, 0.126531, -0.151406, -0.194254, -0.0339457, 0.00410689, 0.000218296
60, 0.00000, 191.797, -111.732, -193, -110.247, 0.916638, 222.411, -4.1679E-006, -3.55897E-007, 0.0712322, 0.182072, 0.12179, -0.152606, -0.192916, -0.0292452, 0.00406175, 0.00013447
61, 0.00000, 191.57, -111.793, -192.968, -110.039, 1.06597, 222.279, -4.42217E-006, -1.85519E-006, -0.000456738, 0.22507, 0.194774, -0.112107, -0.194287, -0.112659, 0.00439213, 0.00155159
62, 0.00000, 191.23, -111.83, -192.887, -109.765, 1.23337, 222.067, -4.98947E-006, -4.98608E-006, -0.147455, 0.315871, 0.34663, -0.0304129, -0.199335, -0.284942, 0.00514954, 0.00447018
63, 0.00000, 190.874, -111.873, -192.773, -109.442, 1.44553, 221.819, -5.2578E-006, -5.4589E-006, -0.164803, 0.336244, 0.372856, -0.0256119, -0.208241, -0.310041, 0.00544606, 0.0048676
64, 0.00000, 189.775, -111.948, -192.441, -108.541, 1.98659, 221.084, -6.82177E-006, -1.26093E-005, -0.48188, 0.549115, 0.714621, 0.141876, -0.233543, -0.68959, 0.0076234, 0.0112085
65, 0.00000, 188.954, -111.774, -191.979, -107.945, 2.23254, 220.412, -8.00445E-006, -1.4927E-005, -0.561527, 0.641448, 0.833721, 0.164373, -0.273284, -0.803906, 0.00909405, 0.0130124
66, 0.00000, 188.289, -111.628, -191.601, -107.464, 2.4288, 219.864, -8.97791E-006, -1.68653E-005, -0.626484, 0.717055, 0.931039, 0.182529, -0.305915, -0.897194, 0.010337, 0.0144752
67, 0.00000, 188.059, -111.555, -191.454, -107.309, 2.47801, 219.665, -9.35567E-006, -1.76373E-005, -0.652161, 0.746824, 0.969393, 0.189755, -0.318708, -0.933998, 0.0108323, 0.0150558
68, 0.00000, 187.827, -111.557, -191.362, -107.111, 2.59475, 219.492, -9.58674E-006, -1.80987E-005, -0.666909, 0.764557, 0.991952, 0.193576, -0.326595, -0.955422, 0.0111393, 0.0153882
69, 0.00000, 188.094, -111.557, -191.47, -107.337, 2.4625, 219.692, -9.3145E-006, -1.75586E-005, -0.649637, 0.743823, 0.965559, 0.189083, -0.317388, -0.930348, 0.0107807, 0.0150008
70, 0.00000, 188.52, -111.75, -191.785, -107.593, 2.42366, 220.081, -8.49827E-006, -1.58844E-005, -0.593301, 0.678997, 0.881809, 0.172969, -0.289726, -0.849805, 0.00971584, 0.0137239
71, 0.00000, 189.576, -111.899, -192.323, -108.401, 2.0394, 220.919, -7.12386E-006, -1.31993E-005, -0.502341, 0.572738, 0.745143, 0.147709, -0.243674, -0.71892, 0.00799547, 0.0116722
72, 0.00000, 190.812, -112.075, -192.956, -109.344, 1.59237, 221.901, -5.5283E-006, -1.01324E-005, -0.394398, 0.447721, 0.583704, 0.117107, -0.189842, -0.563908, 0.00606481, 0.00921226
73, 0.00000, 191.527, -112.21, -193.346, -109.873, 1.36274, 222.483, -4.55234E-006, -8.27947E-006, -0.326604, 0.369934, 0.482832, 0.0974727, -0.156597, -0.466778, 0.00492073, 0.00764982
74, 0.00000, 192.162, -112.267, -193.646, -110.376, 1.10272, 222.975, -3.81606E-006, -6.90591E-006, -0.27544, 0.311214, 0.406648, 0.0826431, -0.131469, -0.393418, 0.00407769, 0.00646622
75, 0.00000, 192.42, -112.336, -193.803, -110.555, 1.03827, 223.193, -3.42636E-006, -6.17766E-006, -0.24772, 0.279717, 0.365623, 0.0744392, -0.118115, -0.3538, 0.00363774, 0.00582154
76, 0.00000, 192.617, -112.331, -193.879, -110.725, 0.936996, 223.338, -3.24372E-006, -5.84315E-006, -0.235029, 0.265137, 0.346703, 0.0707634, -0.111863, -0.335584, 0.00343356, 0.00552671
77, 0.00000, 192.616, -112.332, -193.88, -110.722, 0.939209, 223.338, -3.24218E-006, -5.84005E-006, -0.234917, 0.265016, 0.346542, 0.0707271, -0.111815, -0.335427, 0.00343174, 0.00552421
78, 0.00000, 192.479, -112.311, -193.808, -110.619, 0.987156, 223.228, -3.41778E-006, -6.16507E-006, -0.247376, 0.279199, 0.365008, 0.074403, -0.117841, -0.353251, 0.0036279, 0.0058145
