hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.137521, -0.0452129, 1.58236E-013, 4.4355E-013, -9.18125E-017, 2.49658E-013, -2.38585E-007, 1.21657E-005
2, 0.00000, -0.116534, -0.0383119, -2.34563E-013, -4.65521E-013, 2.70523E-013, 3.23828E-013, -5.94628E-007, 8.93592E-006
3, 0.00000, -0.106702, -0.0350791, -6.52541E-013, -3.97351E-013, -2.19536E-013, 2.33816E-013, -5.10778E-007, 7.48793E-006
4, 0.00000, -0.103305, -0.0339618, -1.1228E-013, 3.40717E-013, 7.68573E-013, -1.56754E-013, -6.01303E-007, 7.07921E-006
5, 0.00000, -0.107579, -0.0353672, -5.23974E-013, 2.72839E-013, -6.72747E-014, 6.85803E-014, -6.10773E-007, 7.66072E-006
6, 0.00000, -0.124115, -0.0408048, -2.6622E-013, 5.26202E-013, 2.82555E-013, 2.43355E-013, -2.80027E-007, 9.95087E-006
7, 0.00000, -0.157331, -0.051728, -7.64531E-013, 2.23218E-013, -8.35921E-013, -1.53882E-014, -8.72831E-008, 1.58571E-005
8, 0.00000, -0.175528, -0.0577122, -2.45962E-013, 2.02157E-014, 5.3175E-013, 1.43513E-013, 1.2974E-006, 1.95089E-005
9, 0.00000, -0.179784, -0.0591034, -6.17377E-013, 8.16691E-014, -1.03424E-012, -5.76202E-013, 1.69751E-005, 1.67807E-005
10, 0.00000, -0.184995, -0.0608131, -2.32305E-013, 8.67635E-014, 4.03332E-013, 3.24899E-013, 2.45626E-005, 1.622E-005
11, 0.00000, -0.186326, -0.061237, 3.9701E-013, 4.76538E-014, -6.40274E-013, -4.212E-013, 5.03065E-005, 1.08505E-005
12, 0.00000, -0.18487, -0.0607576, 5.39937E-013, 5.59022E-013, -8.25118E-013, -8.34367E-014, 5.11054E-005, 1.03375E-005
13, 0.00000, -0.185659, -0.061022, -2.24721E-013, -4.21454E-013, 4.40262E-013, -1.586E-013, 4.19173E-005, 1.25304E-005
14, 0.00000, -0.189295, -0.06223, 1.11807E-012, 6.68477E-013, 8.45732E-014, -3.34359E-013, 1.97153E-005, 1.83118E-005
15, 0.00000, -0.19718, -0.0648295, 4.11917E-013, 3.65768E-013, -2.47526E-013, -4.00023E-013, 7.71334E-006, 2.30014E-005
16, 0.00000, -0.216639, -0.0712359, 1.06878E-012, 4.33516E-013, 4.4236E-013, 1.08402E-013, -1.0806E-007, 3.01948E-005
