hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 193.08, -112.937, -194.47, -110.75, 1.27728, 223.874, 0.0138401, 0.0127265, -0.428629, 0.484881, -1.59522E-012, 1.37235E-012, 1.11514E-012, -6.77236E-015, 0.428629, -0.484881
2, 0.00000, 193.314, -112.933, -194.57, -110.953, 1.15477, 224.053, 0.011494, 0.011621, -0.363117, 0.410315, 1.93928E-012, -1.28669E-012, 1.45151E-012, 1.19993E-012, 0.363117, -0.410315
3, 0.00000, 193.47, -112.917, -194.624, -111.096, 1.062, 224.165, 0.0105038, 0.0106642, -0.332452, 0.375348, 3.40783E-012, -9.63674E-014, 1.03839E-012, -9.84268E-013, 0.332452, -0.375348
4, 0.00000, 193.496, -112.92, -194.638, -111.117, 1.0513, 224.186, 0.0100959, 0.010598, -0.321849, 0.363341, -3.18634E-013, 1.56861E-012, -6.8312E-013, 3.43148E-012, 0.321849, -0.363341
5, 0.00000, 193.434, -112.925, -194.616, -111.061, 1.08668, 224.142, 0.010543, 0.0109496, -0.33518, 0.378512, 1.42744E-012, 2.21653E-012, 3.04506E-013, -3.0162E-013, 0.33518, -0.378512
6, 0.00000, 193.269, -112.922, -194.54, -110.919, 1.1693, 224.012, 0.0124498, 0.0116569, -0.386791, 0.437122, -1.31117E-013, 2.63009E-012, 1.0929E-012, 1.25563E-012, 0.386791, -0.437122
7, 0.00000, 192.817, -112.953, -194.368, -110.514, 1.42451, 223.678, 0.015962, 0.0142483, -0.490486, 0.555603, 2.47902E-012, 2.55795E-012, -9.25926E-014, -3.73657E-012, 0.490486, -0.555603
8, 0.00000, 192.636, -112.93, -194.269, -110.368, 1.50009, 223.527, 0.0187171, 0.0144216, -0.547424, 0.620511, 9.12465E-013, 6.22447E-013, 6.57974E-013, 2.37449E-012, 0.547424, -0.620511
9, 0.00000, 193.739, -112.402, -194.306, -111.565, 0.526488, 224.116, 0.028193, -0.00179812, -0.561857, 0.631042, 2.20807E-012, 1.68812E-012, -2.58182E-012, -4.60867E-012, 0.561857, -0.631042
10, 0.00000, 194.191, -112.163, -194.303, -112.067, 0.108728, 224.348, 0.0327773, -0.00864097, -0.578702, 0.647415, 7.03881E-013, 8.52513E-013, 1.44906E-012, 1.79709E-012, 0.578702, -0.647415
11, 0.00000, 196.087, -111.225, -194.346, -114.147, -1.5992, 225.361, 0.0481061, -0.0344211, -0.584897, 0.644062, -1.62592E-012, -7.09766E-013, -1.84874E-012, -2.85422E-012, 0.584897, -0.644062
12, 0.00000, 196.205, -111.174, -194.356, -114.273, -1.69988, 225.429, 0.0487005, -0.035767, -0.580417, 0.638541, -3.32112E-012, 9.23595E-013, -3.42504E-013, -3.66279E-012, 0.580417, -0.638541
13, 0.00000, 195.467, -111.539, -194.337, -113.463, -1.03395, 225.032, 0.0430661, -0.0261452, -0.582133, 0.644367, 1.80667E-012, -1.11386E-012, -7.13762E-013, 1.95316E-012, 0.582133, -0.644367
14, 0.00000, 193.747, -112.353, -194.268, -111.596, 0.483723, 224.098, 0.0301084, -0.00285724, -0.591766, 0.664352, -5.81357E-012, 1.01447E-013, -1.4912E-012, 3.80612E-013, 0.591766, -0.664352
15, 0.00000, 192.769, -112.765, -194.187, -110.559, 1.30452, 223.546, 0.0240394, 0.0101719, -0.61552, 0.696373, -2.41185E-012, 5.10425E-013, -1.79584E-012, -1.09679E-012, 0.61552, -0.696373
16, 0.00000, 191.959, -113.019, -194.047, -109.741, 1.91472, 223.05, 0.0220849, 0.0195493, -0.675812, 0.768996, -5.1304E-012, -6.67355E-013, 5.02987E-013, 1.97892E-012, 0.675812, -0.768996
17, 0.00000, 191.406, -113.068, -193.847, -109.24, 2.23517, 222.649, 0.0255962, 0.0232727, -0.786035, 0.897084, 1.36002E-012, -2.6027E-012, -1.4766E-014, 1.75282E-012, 0.786035, -0.897084
