hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.393174, -0.161652, -0.393167, -0.161807, -0.393207, -0.16177, 1.77314E-009, -8.80408E-010
2, 0.00000, -0.38454, -0.137194, -0.384538, -0.137196, -0.384535, -0.137192, 1.84461E-009, -5.82058E-010
3, 0.00000, -0.35722, -0.125551, -0.357209, -0.125563, -0.357212, -0.125575, 1.42588E-009, -5.12977E-010
4, 0.00000, -0.361723, -0.121625, -0.36172, -0.121624, -0.361717, -0.121623, 1.45816E-009, -4.52694E-010
5, 0.00000, -0.370392, -0.126671, -0.370393, -0.126671, -0.370389, -0.126663, 1.58517E-009, -4.78747E-010
6, 0.00000, -0.368383, -0.146121, -0.368385, -0.14613, -0.368383, -0.146117, 1.71281E-009, -5.61884E-010
7, 0.00000, -0.421721, -0.185208, -0.421717, -0.185218, -0.421715, -0.185215, 2.93614E-009, -1.02874E-009
8, 0.00000, -0.448586, -0.206664, -0.448587, -0.206671, -0.448582, -0.206653, 3.65935E-009, -1.27275E-009
9, 0.00000, -0.167106, -0.211631, -0.16707, -0.211623, -0.167081, -0.211642, 4.07103E-010, -4.46654E-010
10, 0.00000, -0.0388679, -0.217753, -0.0388451, -0.217744, -0.0388464, -0.217759, 1.03678E-010, -2.94775E-010
11, 0.00000, 0.467325, -0.219231, 0.467364, -0.219212, 0.467359, -0.219271, -2.18559E-009, -1.23737E-009
12, 0.00000, 0.500276, -0.217548, 0.500296, -0.217539, 0.500305, -0.217553, -2.45485E-009, -1.45009E-009
13, 0.00000, 0.296553, -0.218542, 0.296539, -0.218555, 0.296546, -0.218529, -5.95007E-010, -6.88129E-010
14, 0.00000, -0.138983, -0.222823, -0.138998, -0.222829, -0.138992, -0.222819, 3.64837E-010, -3.49947E-010
15, 0.00000, -0.365222, -0.231629, -0.365223, -0.231946, -0.365308, -0.231824, 1.43056E-009, -1.10931E-009
16, 0.00000, -0.536143, -0.254982, -0.536136, -0.255022, -0.536136, -0.255007, 7.0019E-009, -2.43537E-009
17, 0.00000, -0.62077, -0.296511, -0.62076, -0.296532, -0.620754, -0.296523, 1.18582E-008, -3.88964E-009
18, 0.00000, -0.664629, -0.330219, -0.664617, -0.330235, -0.664609, -0.330226, 1.58193E-008, -5.11211E-009
19, 0.00000, -0.680197, -0.343492, -0.680185, -0.343503, -0.680176, -0.343494, 1.75339E-008, -5.62764E-009
20, 0.00000, -0.687915, -0.351181, -0.687904, -0.351187, -0.687892, -0.351174, 1.85297E-008, -5.9074E-009
21, 0.00000, -0.646097, -0.342198, -0.646088, -0.342199, -0.646079, -0.342191, 1.5519E-008, -5.09642E-009
22, 0.00000, -0.598587, -0.313104, -0.59858, -0.313104, -0.598572, -0.313096, 1.16789E-008, -3.90483E-009
23, 0.00000, -0.536623, -0.265731, -0.536617, -0.265727, -0.53661, -0.265721, 7.52825E-009, -2.536E-009
24, 0.00000, -0.491282, -0.209212, -0.491278, -0.209209, -0.491271, -0.209203, 4.79762E-009, -1.55526E-009
25, 0.00000, -0.525997, -0.1619, -0.525988, -0.161904, -0.525981, -0.161898, 4.66906E-009, -1.31918E-009
