hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.767, -109.996, -190.603, -109.415, 0.441187, 220.028, 6.56183E-005, -0.000536577, -1.18124, 1.53654, 1.91803, 0.252114, -0.738805, -1.7856, 0.00201477, -0.00305815
2, 0.00000, 190.189, -110.321, -191.053, -109.619, 0.492804, 220.497, 8.18344E-005, -0.000517207, -1.19977, 1.4173, 1.82421, 0.328556, -0.62609, -1.74255, 0.00164842, -0.00330566
3, 0.00000, 190.581, -110.518, -191.386, -109.855, 0.462589, 220.884, 7.78625E-005, -0.000474314, -1.11679, 1.30641, 1.68715, 0.312343, -0.571893, -1.61599, 0.00153367, -0.00275443
4, 0.00000, 190.599, -110.559, -191.428, -109.852, 0.484835, 220.917, 8.29633E-005, -0.000477614, -1.14307, 1.30116, 1.69576, 0.337769, -0.55413, -1.63613, 0.00143485, -0.00280376
5, 0.00000, 190.456, -110.479, -191.3, -109.769, 0.490467, 220.772, 8.28596E-005, -0.000491901, -1.16646, 1.34173, 1.74244, 0.337662, -0.577453, -1.67642, 0.00147426, -0.00297421
6, 0.00000, 190.199, -110.24, -190.992, -109.662, 0.428138, 220.468, 6.22068E-005, -0.000503874, -1.11648, 1.41536, 1.78097, 0.257469, -0.665999, -1.66962, 0.00151175, -0.00321264
7, 0.00000, 189.193, -109.644, -190.067, -109.096, 0.437929, 219.435, 5.88317E-005, -0.000602171, -1.24394, 1.69984, 2.08966, 0.224952, -0.847887, -1.92013, 0.0021641, -0.00466449
8, 0.00000, 188.832, -109.327, -189.652, -108.939, 0.362214, 219.018, 5.42416E-005, -0.000652834, -1.30464, 1.84977, 2.24916, 0.202215, -0.946926, -2.04658, 0.00239874, -0.00540603
9, 0.00000, 192.71, -109.852, -191.791, -111.901, -1.01834, 222.206, -0.000118392, -0.000305968, -0.181994, 1.20192, 1.13016, -0.444008, -0.948991, -0.756268, 0.000821903, -0.00164857
10, 0.00000, 194.374, -110.018, -192.665, -113.199, -1.6568, 223.554, -0.000195729, -0.000169736, 0.328792, 0.934182, 0.643502, -0.752083, -0.972737, -0.180977, 0.000443103, -0.00112178
11, 0.00000, 200.994, -110.812, -196.278, -118.325, -4.11519, 229.015, -0.000430038, 0.00028935, 2.24426, -0.14657, -1.25262, -1.87198, -0.993804, 2.02288, 0.00216579, -0.0043346
12, 0.00000, 201.393, -110.878, -196.511, -118.626, -4.249, 229.354, -0.000445412, 0.000316046, 2.36265, -0.220552, -1.37616, -1.93774, -0.988622, 2.16305, 0.00212931, -0.00476649
13, 0.00000, 198.817, -110.57, -195.1, -116.627, -3.28792, 227.221, -0.000363266, 0.000151987, 1.60614, 0.20597, -0.626433, -1.49469, -0.980427, 1.29092, 0.000719452, -0.00219529
14, 0.00000, 192.925, -109.767, -191.817, -112.114, -1.17938, 222.332, -0.000149899, -0.000281422, -0.0477944, 1.18217, 1.04621, -0.550184, -0.998848, -0.630457, 0.000430754, -0.00152585
15, 0.00000, 189.688, -109.194, -189.917, -109.703, -0.129359, 219.605, -2.24687E-005, -0.000540857, -0.918187, 1.74966, 1.97091, -0.0828311, -1.05466, -1.6641, 0.0019378, -0.00272549
16, 0.00000, 187.203, -108.523, -188.288, -107.954, 0.498088, 217.425, 6.77398E-005, -0.000814484, -1.5526, 2.26211, 2.72741, 0.209325, -1.17849, -2.46315, 0.00367961, -0.0082907
17, 0.00000, 185.854, -107.808, -187.122, -107.163, 0.570167, 216.088, 8.83618E-005, -0.000977152, -1.80673, 2.64342, 3.1815, 0.237318, -1.3798, -2.86905, 0.00503679, -0.01168
18, 0.00000, 184.965, -107.272, -186.303, -106.669, 0.569774, 215.179, 8.84989E-005, -0.00107949, -1.91407, 2.89539, 3.45099, 0.203323, -1.54282, -3.08454, 0.00589743, -0.0141709
19, 0.00000, 184.627, -107.063, -185.988, -106.484, 0.565468, 214.833, 8.73811E-005, -0.0011186, -1.94968, 2.99106, 3.55068, 0.18597, -1.60721, -3.16184, 0.00621749, -0.0151892
20, 0.00000, 184.443, -106.945, -185.812, -106.385, 0.559801, 214.642, 8.55453E-005, -0.00113986, -1.96505, 3.0434, 3.60313, 0.172936, -1.64444, -3.20055, 0.00636669, -0.0157783
21, 0.00000, 184.948, -107.155, -186.201, -106.706, 0.490398, 215.115, 6.19121E-005, -0.00106713, -1.81287, 2.90057, 3.40485, 0.113421, -1.59758, -2.99977, 0.00560073, -0.0142178
